celula	migrador	seed	n_migracoes	n_pos_migrador	n_pos_lcdc	identica	primeiro_divergente	n_dst_diferentes
geo3-az-realjun-folgada	follow_renewables	42	878	2000	2000	1	-1	0
geo3-az-realjun-folgada	follow_renewables	43	906	2000	2000	1	-1	0
geo3-az-realjun-folgada	follow_renewables	44	869	2000	2000	1	-1	0
geo3-az-realjun-folgada	follow_renewables	45	886	2000	2000	1	-1	0
geo3-az-realjun-folgada	follow_renewables	46	861	2000	2000	1	-1	0
geo3-az-realjun-folgada	follow_renewables	47	890	2000	2000	1	-1	0
geo3-az-realjun-folgada	follow_renewables	48	876	2000	2000	1	-1	0
geo3-az-realjun-folgada	follow_renewables	49	904	2000	2000	1	-1	0
geo3-az-realjun-folgada	follow_renewables	50	851	2000	2000	1	-1	0
geo3-az-realjun-folgada	follow_renewables	51	872	2000	2000	1	-1	0
geo3-az-realjun-folgada	followme_s	42	872	2000	2000	1	-1	0
geo3-az-realjun-folgada	followme_s	43	987	2000	2000	1	-1	0
geo3-az-realjun-folgada	followme_s	44	914	2000	2000	1	-1	0
geo3-az-realjun-folgada	followme_s	45	872	2000	2000	1	-1	0
geo3-az-realjun-folgada	followme_s	46	952	2000	2000	1	-1	0
geo3-az-realjun-folgada	followme_s	47	888	2000	2000	1	-1	0
geo3-az-realjun-folgada	followme_s	48	952	2000	2000	1	-1	0
geo3-az-realjun-folgada	followme_s	49	1030	2000	2000	1	-1	0
geo3-az-realjun-folgada	followme_s	50	946	2000	2000	1	-1	0
geo3-az-realjun-folgada	followme_s	51	981	2000	2000	1	-1	0
geo3-az-realjun-folgada	cnemesis	42	456	2000	2000	1	-1	0
geo3-az-realjun-folgada	cnemesis	43	458	2000	2000	1	-1	0
geo3-az-realjun-folgada	cnemesis	44	460	2000	2000	1	-1	0
geo3-az-realjun-folgada	cnemesis	45	460	2000	2000	1	-1	0
geo3-az-realjun-folgada	cnemesis	46	460	2000	2000	1	-1	0
geo3-az-realjun-folgada	cnemesis	47	459	2000	2000	1	-1	0
geo3-az-realjun-folgada	cnemesis	48	460	2000	2000	1	-1	0
geo3-az-realjun-folgada	cnemesis	49	454	2000	2000	1	-1	0
geo3-az-realjun-folgada	cnemesis	50	460	2000	2000	1	-1	0
geo3-az-realjun-folgada	cnemesis	51	458	2000	2000	1	-1	0
geo3-go-realjun-folgada	follow_renewables	42	550	2000	1994	0	1412	553
geo3-go-realjun-folgada	follow_renewables	43	516	1997	1994	0	1412	548
geo3-go-realjun-folgada	follow_renewables	44	517	1999	1996	0	1412	558
geo3-go-realjun-folgada	follow_renewables	45	510	2000	1995	0	1417	523
geo3-go-realjun-folgada	follow_renewables	46	526	1996	1992	0	1415	558
geo3-go-realjun-folgada	follow_renewables	47	535	2000	1995	0	1413	561
geo3-go-realjun-folgada	follow_renewables	48	509	2000	1995	0	1412	553
geo3-go-realjun-folgada	follow_renewables	49	536	2000	1996	0	1412	524
geo3-go-realjun-folgada	follow_renewables	50	514	1996	1992	0	1416	546
geo3-go-realjun-folgada	follow_renewables	51	550	1997	1993	0	1412	571
geo3-go-realjun-folgada	followme_s	42	1150	1994	1994	0	227	1582
geo3-go-realjun-folgada	followme_s	43	1086	1994	1994	0	225	1586
geo3-go-realjun-folgada	followme_s	44	1149	1996	1996	0	226	1537
geo3-go-realjun-folgada	followme_s	45	1136	1995	1995	0	225	1563
geo3-go-realjun-folgada	followme_s	46	1149	1992	1992	0	238	1538
geo3-go-realjun-folgada	followme_s	47	1146	1996	1995	0	225	1591
geo3-go-realjun-folgada	followme_s	48	1150	1995	1995	0	229	1543
geo3-go-realjun-folgada	followme_s	49	1131	1995	1996	0	226	1570
geo3-go-realjun-folgada	followme_s	50	1143	1992	1992	0	226	1565
geo3-go-realjun-folgada	followme_s	51	1143	1994	1993	0	225	1626
geo3-go-realjun-folgada	cnemesis	42	401	1999	1994	0	304	1366
geo3-go-realjun-folgada	cnemesis	43	394	1997	1994	0	268	1472
geo3-go-realjun-folgada	cnemesis	44	407	2000	1996	0	278	1472
geo3-go-realjun-folgada	cnemesis	45	384	2000	1995	0	284	1440
geo3-go-realjun-folgada	cnemesis	46	415	1996	1992	0	257	1415
geo3-go-realjun-folgada	cnemesis	47	388	2000	1995	0	310	1466
geo3-go-realjun-folgada	cnemesis	48	388	2000	1995	0	234	1429
geo3-go-realjun-folgada	cnemesis	49	413	2000	1996	0	279	1537
geo3-go-realjun-folgada	cnemesis	50	428	1997	1992	0	226	1410
geo3-go-realjun-folgada	cnemesis	51	400	1998	1993	0	225	1223
hetcap-az-anticorr-folgada	follow_renewables	42	0	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	follow_renewables	43	0	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	follow_renewables	44	0	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	follow_renewables	45	0	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	follow_renewables	46	0	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	follow_renewables	47	0	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	follow_renewables	48	0	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	follow_renewables	49	0	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	follow_renewables	50	0	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	follow_renewables	51	0	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	followme_s	42	825	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	followme_s	43	793	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	followme_s	44	770	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	followme_s	45	734	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	followme_s	46	805	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	followme_s	47	738	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	followme_s	48	756	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	followme_s	49	862	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	followme_s	50	760	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	followme_s	51	845	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	cnemesis	42	460	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	cnemesis	43	460	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	cnemesis	44	460	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	cnemesis	45	460	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	cnemesis	46	460	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	cnemesis	47	460	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	cnemesis	48	460	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	cnemesis	49	460	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	cnemesis	50	460	2000	2000	1	-1	0
hetcap-az-anticorr-folgada	cnemesis	51	460	2000	2000	1	-1	0
hetcap-az-realjun-folgada	follow_renewables	42	530	2000	2000	1	-1	0
hetcap-az-realjun-folgada	follow_renewables	43	469	2000	2000	1	-1	0
hetcap-az-realjun-folgada	follow_renewables	44	437	2000	2000	1	-1	0
hetcap-az-realjun-folgada	follow_renewables	45	483	2000	2000	1	-1	0
hetcap-az-realjun-folgada	follow_renewables	46	490	2000	2000	1	-1	0
hetcap-az-realjun-folgada	follow_renewables	47	531	2000	2000	1	-1	0
hetcap-az-realjun-folgada	follow_renewables	48	530	2000	2000	1	-1	0
hetcap-az-realjun-folgada	follow_renewables	49	498	2000	2000	1	-1	0
hetcap-az-realjun-folgada	follow_renewables	50	494	2000	2000	1	-1	0
hetcap-az-realjun-folgada	follow_renewables	51	505	2000	2000	1	-1	0
hetcap-az-realjun-folgada	followme_s	42	952	2000	2000	1	-1	0
hetcap-az-realjun-folgada	followme_s	43	1032	2000	2000	1	-1	0
hetcap-az-realjun-folgada	followme_s	44	952	2000	2000	1	-1	0
hetcap-az-realjun-folgada	followme_s	45	939	2000	2000	1	-1	0
hetcap-az-realjun-folgada	followme_s	46	970	2000	2000	1	-1	0
hetcap-az-realjun-folgada	followme_s	47	975	2000	2000	1	-1	0
hetcap-az-realjun-folgada	followme_s	48	1041	2000	2000	1	-1	0
hetcap-az-realjun-folgada	followme_s	49	881	2000	2000	1	-1	0
hetcap-az-realjun-folgada	followme_s	50	993	2000	2000	1	-1	0
hetcap-az-realjun-folgada	followme_s	51	1029	2000	2000	1	-1	0
hetcap-az-realjun-folgada	cnemesis	42	460	2000	2000	1	-1	0
hetcap-az-realjun-folgada	cnemesis	43	460	2000	2000	1	-1	0
hetcap-az-realjun-folgada	cnemesis	44	460	2000	2000	1	-1	0
hetcap-az-realjun-folgada	cnemesis	45	460	2000	2000	1	-1	0
hetcap-az-realjun-folgada	cnemesis	46	460	2000	2000	1	-1	0
hetcap-az-realjun-folgada	cnemesis	47	449	2000	2000	1	-1	0
hetcap-az-realjun-folgada	cnemesis	48	456	2000	2000	1	-1	0
hetcap-az-realjun-folgada	cnemesis	49	452	2000	2000	1	-1	0
hetcap-az-realjun-folgada	cnemesis	50	460	2000	2000	1	-1	0
hetcap-az-realjun-folgada	cnemesis	51	460	2000	2000	1	-1	0
net100-az-anticorr-folgada	follow_renewables	42	0	2000	2000	1	-1	0
net100-az-anticorr-folgada	follow_renewables	43	0	2000	2000	1	-1	0
net100-az-anticorr-folgada	follow_renewables	44	0	2000	2000	1	-1	0
net100-az-anticorr-folgada	follow_renewables	45	0	2000	2000	1	-1	0
net100-az-anticorr-folgada	follow_renewables	46	0	2000	2000	1	-1	0
net100-az-anticorr-folgada	follow_renewables	47	0	2000	2000	1	-1	0
net100-az-anticorr-folgada	follow_renewables	48	0	2000	2000	1	-1	0
net100-az-anticorr-folgada	follow_renewables	49	0	2000	2000	1	-1	0
net100-az-anticorr-folgada	follow_renewables	50	0	2000	2000	1	-1	0
net100-az-anticorr-folgada	follow_renewables	51	0	2000	2000	1	-1	0
net100-az-anticorr-folgada	followme_s	42	343	2000	2000	1	-1	0
net100-az-anticorr-folgada	followme_s	43	381	2000	2000	1	-1	0
net100-az-anticorr-folgada	followme_s	44	346	2000	2000	1	-1	0
net100-az-anticorr-folgada	followme_s	45	331	2000	2000	1	-1	0
net100-az-anticorr-folgada	followme_s	46	357	2000	2000	1	-1	0
net100-az-anticorr-folgada	followme_s	47	366	2000	2000	1	-1	0
net100-az-anticorr-folgada	followme_s	48	334	2000	2000	1	-1	0
net100-az-anticorr-folgada	followme_s	49	383	2000	2000	1	-1	0
net100-az-anticorr-folgada	followme_s	50	405	2000	2000	1	-1	0
net100-az-anticorr-folgada	followme_s	51	417	2000	2000	1	-1	0
net100-az-anticorr-folgada	cnemesis	42	460	2000	2000	1	-1	0
net100-az-anticorr-folgada	cnemesis	43	460	2000	2000	1	-1	0
net100-az-anticorr-folgada	cnemesis	44	460	2000	2000	1	-1	0
net100-az-anticorr-folgada	cnemesis	45	460	2000	2000	1	-1	0
net100-az-anticorr-folgada	cnemesis	46	460	2000	2000	1	-1	0
net100-az-anticorr-folgada	cnemesis	47	460	2000	2000	1	-1	0
net100-az-anticorr-folgada	cnemesis	48	460	2000	2000	1	-1	0
net100-az-anticorr-folgada	cnemesis	49	460	2000	2000	1	-1	0
net100-az-anticorr-folgada	cnemesis	50	460	2000	2000	1	-1	0
net100-az-anticorr-folgada	cnemesis	51	460	2000	2000	1	-1	0
