celula_real,celula_sintetica,algoritmo,n_real,n_sintetica_pareada,n_sintetica_cheia,dif_pct_real,dif_pct_sintetica_10,dif_pct_sintetica_30,p_holm3_real,p_holm3_sintetica_10,p_holm3_sintetica_30,sig_real,sig_sintetica_10,sig_sintetica_30,classe_real,classe_sintetica_10,direcao_preservada_vs_10,alguma_dif_nula,r_rank_biserial_real
az-em2021-alta,az-realjun-alta,cnemesis,10,10,30,-0.2844693258870764,-0.1945841514933833,-0.1766841721148322,0.005859375,0.009765625,1.0609626770019531e-05,True,True,True,contraste,contraste,True,False,-0.9272727272727272
az-em2021-alta,az-realjun-alta,follow_renewables,10,10,30,-2.195637800946524,-5.764562040826658,-5.677689514593077,0.005859375,0.005859375,5.587935447692871e-09,True,True,True,contraste,contraste,True,False,-1.0
az-em2021-alta,az-realjun-alta,followme_s,10,10,30,-0.7842933790694718,-0.8385332970161563,-0.7782120828887125,0.005859375,0.005859375,5.587935447692871e-09,True,True,True,contraste,contraste,True,False,-1.0
az-em2021-folgada,az-realjun-folgada,cnemesis,10,10,30,-0.5867106345272652,-5.570816312497046,-5.619125061251082,0.005859375,0.005859375,5.587935447692871e-09,True,True,True,contraste,contraste,True,False,-1.0
az-em2021-folgada,az-realjun-folgada,follow_renewables,10,10,30,-5.0251466020112,0.0,0.0,0.005859375,1.0,1.0,True,False,False,contraste,empate_empirico,False,True,-1.0
az-em2021-folgada,az-realjun-folgada,followme_s,10,10,30,-10.571541653549671,-9.254417967685557,-9.991037360931935,0.005859375,0.005859375,5.587935447692871e-09,True,True,True,contraste,contraste,True,False,-1.0
go-em2021-alta,go-realjun-alta,cnemesis,10,10,30,-0.22504547310084796,-0.42896758199592705,-0.25066680523214807,0.275390625,0.005859375,0.023410143330693245,False,True,True,contraste,contraste,True,False,-0.41818181818181815
go-em2021-alta,go-realjun-alta,follow_renewables,10,10,30,-1.1165172799974907,-1.9745031474933528,-1.9315791772132396,0.005859375,0.005859375,5.587935447692871e-09,True,True,True,contraste,contraste,True,False,-1.0
go-em2021-alta,go-realjun-alta,followme_s,10,10,30,-0.9836410236577402,-1.044480020667493,-1.133851570634218,0.01171875,0.005859375,7.450580596923828e-09,True,True,True,contraste,contraste,True,False,-0.9272727272727272
go-em2021-folgada,go-realjun-folgada,cnemesis,10,10,30,-2.092300631722501,-1.8600458124273895,-1.7967165799294127,0.005859375,0.005859375,9.424984455108643e-07,True,True,True,contraste,contraste,True,False,-1.0
go-em2021-folgada,go-realjun-folgada,follow_renewables,10,10,30,-7.297308421041528,0.0,0.0,0.005859375,1.0,1.0,True,False,False,contraste,empate_empirico,False,True,-1.0
go-em2021-folgada,go-realjun-folgada,followme_s,10,10,30,-4.681692797538321,-3.910619547905094,-4.408233450948705,0.005859375,0.005859375,1.1175870895385742e-08,True,True,True,contraste,contraste,True,False,-1.0
