celula_net100,celula_base,algoritmo,classe,n_net100,n_base_pareado,maximo_net100,maximo_base,media_net100,media_base,nao_zero_net100,nao_zero_base,surge_com_rede_restrita,piora_com_rede_restrita
net100-az-anticorr-folgada,az-anticorr-folgada,best_fit,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-anticorr-folgada,az-anticorr-folgada,bfd,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-anticorr-folgada,az-anticorr-folgada,cnemesis,com_migracao,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-anticorr-folgada,az-anticorr-folgada,ffd,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-anticorr-folgada,az-anticorr-folgada,first_fit,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-anticorr-folgada,az-anticorr-folgada,follow_renewables,com_migracao,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-anticorr-folgada,az-anticorr-folgada,followme_s,com_migracao,10,10,1529,1529,621.0,621.0,8,8,False,False
net100-az-anticorr-folgada,az-anticorr-folgada,lowest_carbon_dc,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-anticorr-folgada,az-anticorr-folgada,round_robin,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-anticorr-folgada,az-anticorr-folgada,worst_fit,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-anticorr-folgada,az-anticorr-folgada,wsnb,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-alta,az-realjun-alta,best_fit,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-alta,az-realjun-alta,bfd,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-alta,az-realjun-alta,cnemesis,com_migracao,10,10,16730,16730,13578.0,13544.3,10,10,False,False
net100-az-realjun-alta,az-realjun-alta,ffd,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-alta,az-realjun-alta,first_fit,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-alta,az-realjun-alta,follow_renewables,com_migracao,10,10,40997,41520,35563.2,35789.1,10,10,False,False
net100-az-realjun-alta,az-realjun-alta,followme_s,com_migracao,10,10,6772,8062,4925.3,6104.3,10,10,False,False
net100-az-realjun-alta,az-realjun-alta,lowest_carbon_dc,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-alta,az-realjun-alta,round_robin,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-alta,az-realjun-alta,worst_fit,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-alta,az-realjun-alta,wsnb,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-folgada,az-realjun-folgada,best_fit,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-folgada,az-realjun-folgada,bfd,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-folgada,az-realjun-folgada,cnemesis,com_migracao,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-folgada,az-realjun-folgada,ffd,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-folgada,az-realjun-folgada,first_fit,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-folgada,az-realjun-folgada,follow_renewables,com_migracao,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-folgada,az-realjun-folgada,followme_s,com_migracao,10,10,1529,1529,621.0,621.0,8,8,False,False
net100-az-realjun-folgada,az-realjun-folgada,lowest_carbon_dc,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-folgada,az-realjun-folgada,round_robin,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-folgada,az-realjun-folgada,worst_fit,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-az-realjun-folgada,az-realjun-folgada,wsnb,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-go-realjun-folgada,go-realjun-folgada,best_fit,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-go-realjun-folgada,go-realjun-folgada,bfd,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-go-realjun-folgada,go-realjun-folgada,cnemesis,com_migracao,10,10,1336,1336,577.8,577.8,9,9,False,False
net100-go-realjun-folgada,go-realjun-folgada,ffd,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-go-realjun-folgada,go-realjun-folgada,first_fit,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-go-realjun-folgada,go-realjun-folgada,follow_renewables,com_migracao,10,10,0,0,0.0,0.0,0,0,False,False
net100-go-realjun-folgada,go-realjun-folgada,followme_s,com_migracao,10,10,4382,4933,2201.8,2261.5,10,10,False,False
net100-go-realjun-folgada,go-realjun-folgada,lowest_carbon_dc,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-go-realjun-folgada,go-realjun-folgada,round_robin,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-go-realjun-folgada,go-realjun-folgada,worst_fit,estatico,10,10,0,0,0.0,0.0,0,0,False,False
net100-go-realjun-folgada,go-realjun-folgada,wsnb,estatico,10,10,0,0,0.0,0.0,0,0,False,False
