celula,papel,par,algoritmo,gco2_medio,posto_medio,ha_empate_de_posto_na_celula
az-realjun-folgada,base,hetcap-az-realjun-folgada,best_fit,21480.1861836883,8.0,True
az-realjun-folgada,base,hetcap-az-realjun-folgada,bfd,21495.782966407878,9.0,True
az-realjun-folgada,base,hetcap-az-realjun-folgada,cnemesis,5644.247890579317,2.0,True
az-realjun-folgada,base,hetcap-az-realjun-folgada,ffd,13061.832981948497,7.0,True
az-realjun-folgada,base,hetcap-az-realjun-folgada,first_fit,13029.735543545552,6.0,True
az-realjun-folgada,base,hetcap-az-realjun-folgada,follow_renewables,5977.228299736213,3.5,True
az-realjun-folgada,base,hetcap-az-realjun-folgada,followme_s,5424.070609995839,1.0,True
az-realjun-folgada,base,hetcap-az-realjun-folgada,lowest_carbon_dc,5977.228299736213,3.5,True
az-realjun-folgada,base,hetcap-az-realjun-folgada,round_robin,60715.64624194981,11.0,True
az-realjun-folgada,base,hetcap-az-realjun-folgada,worst_fit,27705.13622800748,10.0,True
az-realjun-folgada,base,hetcap-az-realjun-folgada,wsnb,6481.3812296266005,5.0,True
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,best_fit,25000.59989161952,8.0,False
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,bfd,25831.36496003056,9.0,False
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,cnemesis,10174.372156300009,2.0,False
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,ffd,14776.3856691934,7.0,False
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,first_fit,14574.906950454813,6.0,False
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,follow_renewables,9571.145362569714,1.0,False
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,followme_s,10393.67416534137,3.0,False
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,lowest_carbon_dc,12046.527255798124,5.0,False
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,round_robin,74719.47267293613,11.0,False
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,worst_fit,32806.40410467381,10.0,False
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,wsnb,11369.53108048137,4.0,False
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,best_fit,13049.183830532324,8.0,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,bfd,15361.808411519287,9.0,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,cnemesis,5938.538209560083,2.0,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,ffd,9888.305732569288,7.0,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,first_fit,8837.455271816489,6.0,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,follow_renewables,6395.912470034652,4.5,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,followme_s,5567.996461447881,1.0,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,lowest_carbon_dc,6395.912470034652,4.5,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,round_robin,46453.0555488112,11.0,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,worst_fit,21392.181819788024,10.0,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,wsnb,6199.575228060355,3.0,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,best_fit,10935.652654607371,8.0,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,bfd,13105.532649406316,9.0,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,cnemesis,5023.0334746731405,2.0,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,ffd,8632.768192838248,7.0,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,first_fit,8138.700769281639,6.0,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,follow_renewables,5435.507255502927,3.5,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,followme_s,4727.606326432779,1.0,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,lowest_carbon_dc,5435.507255502927,3.5,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,round_robin,38445.558268840025,11.0,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,worst_fit,18162.190850649156,10.0,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,wsnb,6164.77560484793,5.0,True
