celula,algoritmo,atendimento_pct,posto_total,posto_por_vm,posto_difere
az-anticorr-alta,best_fit,95.32700000000001,7.0,7.0,False
az-anticorr-alta,bfd,94.68233333333333,9.0,9.0,False
az-anticorr-alta,cnemesis,96.18200000000002,3.0,2.0,True
az-anticorr-alta,ffd,94.861,8.0,8.0,False
az-anticorr-alta,first_fit,95.61233333333334,6.0,6.0,False
az-anticorr-alta,follow_renewables,96.81799999999998,1.0,1.0,False
az-anticorr-alta,followme_s,95.80566666666668,2.0,3.0,True
az-anticorr-alta,lowest_carbon_dc,95.51366666666667,4.0,4.0,False
az-anticorr-alta,round_robin,96.43,11.0,11.0,False
az-anticorr-alta,worst_fit,96.54066666666668,10.0,10.0,False
az-anticorr-alta,wsnb,95.62433333333333,5.0,5.0,False
az-anticorr-folgada,best_fit,100.0,8.0,8.0,False
az-anticorr-folgada,bfd,100.0,9.0,9.0,False
az-anticorr-folgada,cnemesis,100.0,2.0,2.0,False
az-anticorr-folgada,ffd,100.0,7.0,7.0,False
az-anticorr-folgada,first_fit,100.0,6.0,6.0,False
az-anticorr-folgada,follow_renewables,100.0,4.5,4.5,False
az-anticorr-folgada,followme_s,100.0,1.0,1.0,False
az-anticorr-folgada,lowest_carbon_dc,100.0,4.5,4.5,False
az-anticorr-folgada,round_robin,100.0,11.0,11.0,False
az-anticorr-folgada,worst_fit,100.0,10.0,10.0,False
az-anticorr-folgada,wsnb,100.0,3.0,3.0,False
az-em2021-alta,best_fit,95.519,8.0,7.0,True
az-em2021-alta,bfd,94.81700000000001,9.0,9.0,False
az-em2021-alta,cnemesis,96.265,3.0,3.0,False
az-em2021-alta,ffd,94.82200000000002,7.0,8.0,True
az-em2021-alta,first_fit,95.66700000000002,6.0,6.0,False
az-em2021-alta,follow_renewables,96.145,1.0,1.0,False
az-em2021-alta,followme_s,95.966,2.0,2.0,False
az-em2021-alta,lowest_carbon_dc,95.656,4.0,4.0,False
az-em2021-alta,round_robin,96.439,11.0,11.0,False
az-em2021-alta,worst_fit,96.581,10.0,10.0,False
az-em2021-alta,wsnb,95.541,5.0,5.0,False
az-em2021-folgada,best_fit,100.0,8.0,8.0,False
az-em2021-folgada,bfd,100.0,9.0,9.0,False
az-em2021-folgada,cnemesis,100.0,4.0,4.0,False
az-em2021-folgada,ffd,100.0,6.0,6.0,False
az-em2021-folgada,first_fit,100.0,7.0,7.0,False
az-em2021-folgada,follow_renewables,100.0,2.0,2.0,False
az-em2021-folgada,followme_s,100.0,1.0,1.0,False
az-em2021-folgada,lowest_carbon_dc,100.0,5.0,5.0,False
az-em2021-folgada,round_robin,100.0,11.0,11.0,False
az-em2021-folgada,worst_fit,100.0,10.0,10.0,False
az-em2021-folgada,wsnb,100.0,3.0,3.0,False
az-flat-alta,best_fit,95.32700000000001,4.0,7.0,True
az-flat-alta,bfd,94.68233333333333,9.0,9.0,False
az-flat-alta,cnemesis,95.61033333333333,1.0,1.0,False
az-flat-alta,ffd,94.861,8.0,8.0,False
