celula,atend_min,atend_max,n_postos_diferem
az-anticorr-alta,94.68233333333333,96.81799999999998,2
az-anticorr-folgada,100.0,100.0,0
az-em2021-alta,94.81700000000001,96.581,2
az-em2021-folgada,100.0,100.0,0
az-flat-alta,94.68233333333333,96.54066666666668,4
az-flat-folgada,100.0,100.0,0
az-realjan-alta,94.68233333333333,96.54066666666668,2
az-realjan-folgada,100.0,100.0,0
az-realjun-alta,94.68233333333333,96.54066666666668,2
az-realjun-folgada,100.0,100.0,0
geo3-az-realjun-folgada,100.0,100.0,0
geo3-go-realjun-folgada,98.245,100.0,0
go-anticorr-alta,91.87592592592593,98.8548148148148,5
go-anticorr-folgada,98.73833333333333,100.0,0
go-em2021-alta,91.83222222222223,98.80444444444444,9
go-em2021-folgada,98.745,100.0,0
go-flat-alta,91.87592592592593,98.80222222222224,9
go-flat-folgada,98.73833333333333,100.0,0
go-realjan-alta,91.87592592592593,98.80222222222224,9
go-realjan-folgada,98.73833333333333,100.0,0
go-realjun-alta,91.87592592592593,98.80222222222224,9
go-realjun-folgada,98.73833333333333,100.0,0
hetcap-az-anticorr-folgada,100.0,100.0,0
hetcap-az-realjun-folgada,100.0,100.0,0
net100-az-anticorr-folgada,100.0,100.0,0
net100-az-realjun-alta,94.81700000000001,96.581,5
net100-az-realjun-folgada,100.0,100.0,0
net100-go-realjun-folgada,98.745,100.0,0
pue-az-realjun-folgada,100.0,100.0,0
pue-go-realjun-folgada,98.745,100.0,0
