celula,algoritmo,n_seeds,media_migrador,media_lcdc,dif_media,dif_pct,dif_min,dif_mediana,dif_max,ic95_bca_lo,ic95_bca_hi,todas_dif_nulas,classe,p_bruto,r_rank_biserial,p_holm3,significativo
az-anticorr-alta,cnemesis,30,48664.03525895125,48892.10513126448,-228.0698723132339,-0.46647586906089805,-388.7029378124498,-259.67832184350846,119.9304728267889,-265.1613953813057,-180.54181753485156,False,contraste,1.862645149230957e-08,-0.978494623655914,1.862645149230957e-08,True
az-anticorr-alta,follow_renewables,30,43230.60697632542,48892.10513126448,-5661.498154939071,-11.579575352174347,-6537.568224615701,-5774.675097609888,-4355.090555026996,-5835.246366786297,-5450.681130635224,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
az-anticorr-alta,followme_s,30,48475.96910911208,48892.10513126448,-416.13602215241116,-0.8511313248533237,-750.0898337968247,-411.5640144250574,-140.42813408846996,-469.25604849207116,-366.7449788505418,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
az-anticorr-folgada,cnemesis,30,5931.539685822406,6387.852436970177,-456.3127511477716,-7.143445401256097,-752.5871947752876,-492.0089669876702,-114.01410566879895,-504.2681467106623,-403.75184376229106,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
az-anticorr-folgada,follow_renewables,30,6387.852436970177,6387.852436970177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,empate_empirico,1.0,0.0,1.0,False
az-anticorr-folgada,followme_s,30,5546.0102356120515,6387.852436970177,-841.8422013581264,-13.178798503326428,-1153.6849102167907,-836.6897127207772,-502.6434847402834,-899.2911305095382,-784.905444724132,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
az-em2021-alta,cnemesis,10,63395.46690723869,63576.32204197531,-180.85513473660393,-0.2844693258870764,-402.6651331366884,-183.50769395543466,94.83284311940224,-257.9163479922783,-90.22138153571156,False,contraste,0.005859375,-0.9272727272727272,0.005859375,True
az-em2021-alta,follow_renewables,10,62180.41628277019,63576.32204197531,-1395.9057592051067,-2.195637800946524,-1684.470702014747,-1494.0559341449189,-805.9676507207259,-1503.2131936121978,-1191.17735975281,False,contraste,0.001953125,-1.0,0.005859375,True
az-em2021-alta,followme_s,10,63077.6971575442,63576.32204197531,-498.6248844310976,-0.7842933790694718,-613.6978024391428,-530.9577228409144,-395.55266655471496,-544.4551051406008,-449.85979546738383,False,contraste,0.001953125,-1.0,0.005859375,True
az-em2021-folgada,cnemesis,10,8269.070459107821,8317.872300461024,-48.801841353202505,-0.5867106345272652,-60.84319489236805,-49.01836583274826,-35.76176804996976,-53.34232742332322,-44.18285014838662,False,contraste,0.001953125,-1.0,0.005859375,True
az-em2021-folgada,follow_renewables,10,7899.887023194775,8317.872300461024,-417.985277266248,-5.0251466020112,-659.7221082659926,-416.2021961411574,-80.08199989980858,-529.1608777505271,-294.1976068927044,False,contraste,0.001953125,-1.0,0.005859375,True
az-em2021-folgada,followme_s,10,7438.544965528716,8317.872300461024,-879.3273349323074,-10.571541653549671,-1226.0534139284337,-934.4076104043997,-588.134267991406,-995.4867742054455,-761.8512249556791,False,contraste,0.001953125,-1.0,0.005859375,True
az-flat-alta,cnemesis,30,67487.50304957581,68593.86753662648,-1106.3644870506653,-1.6129204064195817,-1623.009648559746,-1122.1660896208123,-523.2771735746355,-1210.3667712487306,-1000.082733332257,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
az-flat-alta,follow_renewables,30,68593.86753662648,68593.86753662648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,equivalente_por_construcao,1.0,0.0,1.0,False
az-flat-alta,followme_s,30,68180.92568415968,68593.86753662648,-412.9418524667941,-0.6020098695357847,-595.4516205495602,-395.3186809325707,-253.8131189064734,-448.40156978693693,-380.17221522287633,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
az-flat-folgada,cnemesis,30,21574.817808524705,22909.16186988176,-1334.3440613570579,-5.824499686788171,-2550.7072504483804,-1370.1411504162988,-685.5298654630933,-1491.3501681229254,-1209.0357301773686,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
az-flat-folgada,follow_renewables,30,22909.16186988176,22909.16186988176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,equivalente_por_construcao,1.0,0.0,1.0,False
az-flat-folgada,followme_s,30,21082.11548118105,22909.16186988176,-1827.0463887007177,-7.975177787288242,-2406.2997296903377,-1879.0537881297969,-1001.3500729118714,-1935.555706983069,-1700.7438046529496,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
az-realjan-alta,cnemesis,30,60405.75283766492,60512.66914617041,-106.91630850549869,-0.1766841721148322,-252.96778696244291,-98.52707227756764,95.77401128175552,-139.2080055148884,-71.85946539539394,False,contraste,1.0609626770019531e-05,-0.8408602150537634,1.0609626770019531e-05,True
az-realjan-alta,follow_renewables,30,57076.94767505791,60512.66914617041,-3435.721471112517,-5.677689514593077,-4220.775235666049,-3469.4154427556387,-2512.553428694773,-3587.1971253470792,-3274.5494092639287,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
az-realjan-alta,followme_s,30,60041.75224319645,60512.66914617041,-470.91690297396804,-0.7782120828887125,-710.310114334985,-472.6492667939092,-266.0378106826174,-513.9365057460044,-426.6335416506414,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
az-realjan-folgada,cnemesis,30,5628.393432524473,5963.489357538987,-335.09592501451436,-5.619125061251082,-544.7462302911226,-372.98347259591765,-78.41584843387136,-369.3986494140241,-296.1520526869394,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
az-realjan-folgada,follow_renewables,30,5963.489357538987,5963.489357538987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,empate_empirico,1.0,0.0,1.0,False
az-realjan-folgada,followme_s,30,5367.674907812067,5963.489357538987,-595.81444972692,-9.991037360931935,-829.9610561776581,-619.7463665104619,-358.40734279512253,-634.0912160613688,-555.0810833828828,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
az-realjun-alta,cnemesis,30,60405.75283766492,60512.66914617041,-106.91630850549869,-0.1766841721148322,-252.96778696244291,-98.52707227756764,95.77401128175552,-138.93889522001388,-71.46348450761099,False,contraste,1.0609626770019531e-05,-0.8408602150537634,1.0609626770019531e-05,True
az-realjun-alta,follow_renewables,30,57076.94767505791,60512.66914617041,-3435.721471112517,-5.677689514593077,-4220.775235666049,-3469.4154427556387,-2512.553428694773,-3586.041709764542,-3283.056664278278,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
az-realjun-alta,followme_s,30,60041.75224319645,60512.66914617041,-470.91690297396804,-0.7782120828887125,-710.310114334985,-472.6492667939092,-266.0378106826174,-516.5235193676473,-427.0922838081759,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
az-realjun-folgada,cnemesis,30,5628.393432524473,5963.489357538987,-335.09592501451436,-5.619125061251082,-544.7462302911226,-372.98347259591765,-78.41584843387136,-368.528539559201,-297.17009510689536,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
az-realjun-folgada,follow_renewables,30,5963.489357538987,5963.489357538987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,empate_empirico,1.0,0.0,1.0,False
az-realjun-folgada,followme_s,30,5367.674907812067,5963.489357538987,-595.81444972692,-9.991037360931935,-829.9610561776581,-619.7463665104619,-358.40734279512253,-634.6459540974398,-555.1862781990677,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
geo3-az-realjun-folgada,cnemesis,10,12603.908290055579,13836.14726165345,-1232.2389715978688,-8.905939986725853,-1533.9926963354847,-1202.9833928851212,-1034.5028432355211,-1334.153260943542,-1154.4203603654375,False,contraste,0.001953125,-1.0,0.005859375,True
geo3-az-realjun-folgada,follow_renewables,10,12795.44760676751,13836.14726165345,-1040.6996548859374,-7.521600017731898,-1237.5006575735679,-1011.4014565653988,-797.8866489112479,-1117.008649410344,-960.9073474784824,False,contraste,0.001953125,-1.0,0.005859375,True
geo3-az-realjun-folgada,followme_s,10,12450.77723396325,13836.14726165345,-1385.3700276901977,-10.012686346073503,-1722.5779956800761,-1485.8313369932475,-863.6124061532937,-1539.6844390003482,-1171.7335036169682,False,contraste,0.001953125,-1.0,0.005859375,True
geo3-go-realjun-folgada,cnemesis,10,10265.709006965448,9955.35240628685,310.35660067860283,3.117484826379539,0.20724828835227527,353.96199383096246,540.5675345375275,184.65122995348415,413.52425100877826,False,contraste,0.001953125,1.0,0.005859375,True
geo3-go-realjun-folgada,follow_renewables,10,9982.221371573763,9955.35240628685,26.86896528691377,0.2698946676156426,-186.99950190442723,-1.184037088562036,211.49046222642937,-51.116088526763846,107.6299818356053,False,contraste,0.625,0.2,0.625,False
geo3-go-realjun-folgada,followme_s,10,9456.964127946268,9955.35240628685,-498.388278340579,-5.006234415427068,-845.6741032142545,-555.5552019966035,-215.4082014224041,-624.1121603708665,-370.07545786129486,False,contraste,0.001953125,-1.0,0.005859375,True
go-anticorr-alta,cnemesis,30,49468.41697669573,49593.397068855105,-124.98009215938461,-0.2520095406770848,-943.0915669671813,-148.10119478036358,445.51764858567185,-261.5168527406352,2.46331046285835,False,contraste,0.13473508320748806,-0.3161290322580645,0.13473508320748806,False
go-anticorr-alta,follow_renewables,30,48403.98367250452,49593.397068855105,-1189.4133963505913,-2.3983301541114805,-2729.949277277905,-1136.4851495115217,-102.78332433469768,-1416.851102741285,-1000.8570059117072,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
go-anticorr-alta,followme_s,30,49068.30082207361,49593.397068855105,-525.096246781505,-1.0588027395107966,-1328.023225502715,-553.1805232118095,101.53290350135649,-645.6422720206987,-410.50921962638967,False,contraste,2.60770320892334e-08,-0.9741935483870968,5.21540641784668e-08,True
go-anticorr-folgada,cnemesis,30,4064.6642563337623,4186.034080845277,-121.3698245115148,-2.8993988622043627,-368.495218528396,-121.6159420508136,57.99819130570995,-154.18185527164434,-91.7135470487898,False,contraste,1.6391277313232422e-07,-0.9440860215053763,3.2782554626464844e-07,True
go-anticorr-folgada,follow_renewables,30,4186.034080845277,4186.034080845277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,empate_empirico,1.0,0.0,1.0,False
go-anticorr-folgada,followme_s,30,3874.6260338538855,4186.034080845277,-311.40804699139187,-7.439214324994457,-542.1471413301642,-314.16298623757325,-117.04714167924158,-347.02224851056974,-277.6884339364109,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
go-em2021-alta,cnemesis,10,63572.187532289405,63715.576552982,-143.3890206925913,-0.22504547310084796,-595.0239906408096,-246.63315306424192,479.1384045441082,-316.2523235601444,79.4577200372245,False,contraste,0.275390625,-0.41818181818181815,0.275390625,False
go-em2021-alta,follow_renewables,10,63004.18113071793,63715.576552982,-711.3954222640735,-1.1165172799974907,-1316.5449597226907,-787.3524076377907,-182.47655179812864,-928.9997781498666,-483.90979054675375,False,contraste,0.001953125,-1.0,0.005859375,True
go-em2021-alta,followme_s,10,63088.84400354681,63715.576552982,-626.7325494351833,-0.9836410236577402,-1320.0527459725781,-688.7309153703391,181.80931698599306,-900.4865783067895,-329.3419165295585,False,contraste,0.005859375,-0.9272727272727272,0.01171875,True
go-em2021-folgada,cnemesis,10,5464.121466442981,5580.890473066696,-116.76900662371536,-2.092300631722501,-282.08862367965867,-76.89270714699569,-18.14087529965127,-174.43805951354042,-75.97506632708136,False,contraste,0.001953125,-1.0,0.005859375,True
go-em2021-folgada,follow_renewables,10,5173.635682606495,5580.890473066696,-407.25479046020035,-7.297308421041528,-1010.2704110865661,-331.79178192992094,-42.63905683000576,-619.9107418484997,-259.5232914592299,False,contraste,0.001953125,-1.0,0.005859375,True
go-em2021-folgada,followme_s,10,5319.61032575063,5580.890473066696,-261.28014731606584,-4.681692797538321,-401.095436737598,-302.4570886437009,-113.57364445797703,-324.5300253643398,-192.50017644817837,False,contraste,0.001953125,-1.0,0.005859375,True
go-flat-alta,cnemesis,30,68494.18953511515,68548.19813475943,-54.00859964429401,-0.07878923314383565,-341.6151712842111,-53.11338868994062,249.14517488720594,-121.08648073579356,9.746597020179285,False,contraste,0.11907656863331795,-0.32903225806451614,0.2381531372666359,False
go-flat-alta,follow_renewables,30,68548.19813475943,68548.19813475943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,equivalente_por_construcao,1.0,0.0,1.0,False
go-flat-alta,followme_s,30,68229.8756643016,68548.19813475943,-318.3224704578422,-0.46437758995801703,-1070.941460351154,-249.37031039818248,460.9946593379718,-441.77147419113174,-202.50748293841235,False,contraste,1.218356192111969e-05,-0.8365591397849462,3.655068576335907e-05,True
go-flat-folgada,cnemesis,30,18843.162630404877,18989.90299547732,-146.7403650724455,-0.7727283552074675,-769.3477751426144,-143.33753419459754,106.66816938330157,-218.91763598840885,-100.5527422086123,False,contraste,3.2391399145126343e-06,-0.875268817204301,6.4782798290252686e-06,True
go-flat-folgada,follow_renewables,30,18989.90299547732,18989.90299547732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,equivalente_por_construcao,1.0,0.0,1.0,False
go-flat-folgada,followme_s,30,18439.903441442642,18989.90299547732,-549.9995540346832,-2.896273636393363,-1368.3234357216134,-606.9159333449625,-40.166564661598386,-642.1765101896547,-473.6422200123039,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
go-realjan-alta,cnemesis,30,60858.381907628354,61011.31702684962,-152.93511922126152,-0.25066680523214807,-1140.6565089726791,-187.90600134964916,402.922675195121,-283.6213833021716,-45.040028651202576,False,contraste,0.023410143330693245,-0.47096774193548385,0.023410143330693245,True
go-realjan-alta,follow_renewables,30,59832.83513141541,61011.31702684962,-1178.481895434183,-1.9315791772132396,-2242.500886813308,-1043.7517535624065,-552.3440185265936,-1356.796494594593,-1033.7416054384778,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
go-realjan-alta,followme_s,30,60319.53925047605,61011.31702684962,-691.7777763735565,-1.133851570634218,-1593.7424062082646,-663.509700720635,152.185223507091,-830.2947629467297,-556.6487017764133,False,contraste,3.725290298461914e-09,-0.9956989247311828,7.450580596923828e-09,True
go-realjan-folgada,cnemesis,30,4130.321273487502,4205.889181749452,-75.56790826194992,-1.7967165799294127,-559.7700229274651,-45.72508996597708,37.0478225552165,-137.16267728025062,-49.53246607814365,False,contraste,4.7124922275543213e-07,-0.9225806451612903,9.424984455108643e-07,True
go-realjan-folgada,follow_renewables,30,4205.889181749452,4205.889181749452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,empate_empirico,1.0,0.0,1.0,False
go-realjan-folgada,followme_s,30,4020.483767929741,4205.889181749452,-185.40541381971212,-4.408233450948705,-720.6588491865277,-182.0112010769178,12.97567130452444,-250.64788283473783,-153.28082385107388,False,contraste,3.725290298461914e-09,-0.9956989247311828,1.1175870895385742e-08,True
go-realjun-alta,cnemesis,30,60858.381907628354,61011.31702684962,-152.93511922126152,-0.25066680523214807,-1140.6565089726791,-187.90600134964916,402.922675195121,-282.0540887115763,-43.972200070785135,False,contraste,0.023410143330693245,-0.47096774193548385,0.023410143330693245,True
go-realjun-alta,follow_renewables,30,59832.83513141541,61011.31702684962,-1178.481895434183,-1.9315791772132396,-2242.500886813308,-1043.7517535624065,-552.3440185265936,-1348.2819354525623,-1033.3531663257093,False,contraste,1.862645149230957e-09,-1.0,5.587935447692871e-09,True
go-realjun-alta,followme_s,30,60319.53925047605,61011.31702684962,-691.7777763735565,-1.133851570634218,-1593.7424062082646,-663.509700720635,152.185223507091,-829.4941664340857,-560.1341346961176,False,contraste,3.725290298461914e-09,-0.9956989247311828,7.450580596923828e-09,True
go-realjun-folgada,cnemesis,30,4130.321273487502,4205.889181749452,-75.56790826194992,-1.7967165799294127,-559.7700229274651,-45.72508996597708,37.0478225552165,-138.0651953235777,-49.878396092367666,False,contraste,4.7124922275543213e-07,-0.9225806451612903,9.424984455108643e-07,True
go-realjun-folgada,follow_renewables,30,4205.889181749452,4205.889181749452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,empate_empirico,1.0,0.0,1.0,False
go-realjun-folgada,followme_s,30,4020.483767929741,4205.889181749452,-185.40541381971212,-4.408233450948705,-720.6588491865277,-182.0112010769178,12.97567130452444,-250.89268921761075,-152.53527945633567,False,contraste,3.725290298461914e-09,-0.9956989247311828,1.1175870895385742e-08,True
hetcap-az-anticorr-folgada,cnemesis,10,5023.0334746731405,5435.507255502927,-412.47378082978577,-7.588505753758231,-490.80525501259126,-436.2000478179825,-293.69729720203395,-445.54677969633315,-365.7664301106659,False,contraste,0.001953125,-1.0,0.005859375,True
hetcap-az-anticorr-folgada,follow_renewables,10,5435.507255502927,5435.507255502927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,empate_empirico,1.0,0.0,1.0,False
hetcap-az-anticorr-folgada,followme_s,10,4727.606326432779,5435.507255502927,-707.9009290701483,-13.02364058760968,-836.1794613034981,-727.8565722777148,-431.7732523723125,-751.3831774904733,-605.0017839439492,False,contraste,0.001953125,-1.0,0.005859375,True
hetcap-az-realjun-folgada,cnemesis,10,10174.372156300009,12046.527255798124,-1872.155099498114,-15.541035683931444,-2110.099872449655,-1947.0386071215044,-1613.747588510063,-1979.3200301005063,-1755.4960517609516,False,contraste,0.001953125,-1.0,0.005859375,True
hetcap-az-realjun-folgada,follow_renewables,10,9571.145362569714,12046.527255798124,-2475.38189322841,-20.548510294010097,-2667.9071470319595,-2519.431933096891,-2211.3515666945787,-2555.4170164689262,-2378.1895839442604,False,contraste,0.001953125,-1.0,0.005859375,True
hetcap-az-realjun-folgada,followme_s,10,10393.67416534137,12046.527255798124,-1652.8530904567524,-13.720577352790334,-1952.08763998022,-1690.147859389338,-1372.8529946805102,-1746.273199250059,-1552.6915688542426,False,contraste,0.001953125,-1.0,0.005859375,True
