celula,metrica,algoritmo,media,posto_medio,vencedor
az-anticorr-alta,total_gco2,best_fit,52885.46138647305,7.0,False
az-anticorr-alta,total_gco2,bfd,53243.60252195082,9.0,False
az-anticorr-alta,total_gco2,cnemesis,48664.03525895125,3.0,False
az-anticorr-alta,total_gco2,ffd,52891.73254178553,8.0,False
az-anticorr-alta,total_gco2,first_fit,52847.748235157225,6.0,False
az-anticorr-alta,total_gco2,follow_renewables,43230.60697632542,1.0,True
az-anticorr-alta,total_gco2,followme_s,48475.96910911208,2.0,False
az-anticorr-alta,total_gco2,lowest_carbon_dc,48892.10513126448,4.0,False
az-anticorr-alta,total_gco2,round_robin,57961.67689287796,11.0,False
az-anticorr-alta,total_gco2,worst_fit,55226.00865260796,10.0,False
az-anticorr-alta,total_gco2,wsnb,49022.96746482879,5.0,False
az-anticorr-alta,total_kwh,best_fit,144.36187594725268,4.0,False
az-anticorr-alta,total_kwh,bfd,145.06831831933778,9.0,False
az-anticorr-alta,total_kwh,cnemesis,144.4617189982293,5.0,False
az-anticorr-alta,total_kwh,ffd,144.52476910475295,6.0,False
az-anticorr-alta,total_kwh,first_fit,144.27518225857926,3.0,False
az-anticorr-alta,total_kwh,follow_renewables,138.12839743613776,1.0,True
az-anticorr-alta,total_kwh,followme_s,143.8978132431994,2.0,False
az-anticorr-alta,total_kwh,lowest_carbon_dc,144.6635876705305,8.0,False
az-anticorr-alta,total_kwh,round_robin,159.40002048672028,11.0,False
az-anticorr-alta,total_kwh,worst_fit,150.75585771840682,10.0,False
az-anticorr-alta,total_kwh,wsnb,144.53031431469134,7.0,False
az-anticorr-alta,gco2_por_vm,best_fit,5.5480889219028295,7.0,False
az-anticorr-alta,gco2_por_vm,bfd,5.623678217633487,9.0,False
az-anticorr-alta,gco2_por_vm,cnemesis,5.05975024929513,2.0,False
az-anticorr-alta,gco2_por_vm,ffd,5.575941566671485,8.0,False
az-anticorr-alta,gco2_por_vm,first_fit,5.527484004195767,6.0,False
az-anticorr-alta,gco2_por_vm,follow_renewables,4.465406157224716,1.0,True
az-anticorr-alta,gco2_por_vm,followme_s,5.060075304234317,3.0,False
az-anticorr-alta,gco2_por_vm,lowest_carbon_dc,5.119163764896822,4.0,False
az-anticorr-alta,gco2_por_vm,round_robin,6.010903920862329,11.0,False
az-anticorr-alta,gco2_por_vm,worst_fit,5.720651609039717,10.0,False
az-anticorr-alta,gco2_por_vm,wsnb,5.126876970482043,5.0,False
az-anticorr-folgada,total_gco2,best_fit,13067.43298514617,8.0,False
az-anticorr-folgada,total_gco2,bfd,15281.570267672907,9.0,False
az-anticorr-folgada,total_gco2,cnemesis,5931.539685822406,2.0,False
az-anticorr-folgada,total_gco2,ffd,9894.365426434997,7.0,False
az-anticorr-folgada,total_gco2,first_fit,8916.013107283536,6.0,False
az-anticorr-folgada,total_gco2,follow_renewables,6387.852436970177,4.5,False
az-anticorr-folgada,total_gco2,followme_s,5546.0102356120515,1.0,True
az-anticorr-folgada,total_gco2,lowest_carbon_dc,6387.852436970177,4.5,False
az-anticorr-folgada,total_gco2,round_robin,46502.746919215075,11.0,False
az-anticorr-folgada,total_gco2,worst_fit,21573.171907730182,10.0,False
az-anticorr-folgada,total_gco2,wsnb,6186.408631262936,3.0,False
az-anticorr-folgada,total_kwh,best_fit,45.35104637995434,2.0,False
az-anticorr-folgada,total_kwh,bfd,47.29409616476342,7.0,False
az-anticorr-folgada,total_kwh,cnemesis,46.418105353608745,6.0,False
az-anticorr-folgada,total_kwh,ffd,46.27933495967997,5.0,False
az-anticorr-folgada,total_kwh,first_fit,44.919800074774656,1.0,True
az-anticorr-folgada,total_kwh,follow_renewables,47.72367415347146,8.5,False
az-anticorr-folgada,total_kwh,followme_s,45.83542919496885,4.0,False
az-anticorr-folgada,total_kwh,lowest_carbon_dc,47.72367415347146,8.5,False
az-anticorr-folgada,total_kwh,round_robin,131.8991683511138,11.0,False
az-anticorr-folgada,total_kwh,worst_fit,61.571565760142114,10.0,False
az-anticorr-folgada,total_kwh,wsnb,45.52694442022146,3.0,False
az-anticorr-folgada,gco2_por_vm,best_fit,6.533716492573086,8.0,False
az-anticorr-folgada,gco2_por_vm,bfd,7.640785133836454,9.0,False
az-anticorr-folgada,gco2_por_vm,cnemesis,2.9657698429112025,2.0,False
az-anticorr-folgada,gco2_por_vm,ffd,4.947182713217499,7.0,False
az-anticorr-folgada,gco2_por_vm,first_fit,4.458006553641767,6.0,False
az-anticorr-folgada,gco2_por_vm,follow_renewables,3.193926218485089,4.5,False
az-anticorr-folgada,gco2_por_vm,followme_s,2.7730051178060253,1.0,True
az-anticorr-folgada,gco2_por_vm,lowest_carbon_dc,3.193926218485089,4.5,False
az-anticorr-folgada,gco2_por_vm,round_robin,23.25137345960754,11.0,False
az-anticorr-folgada,gco2_por_vm,worst_fit,10.78658595386509,10.0,False
az-anticorr-folgada,gco2_por_vm,wsnb,3.093204315631468,3.0,False
az-em2021-alta,total_gco2,best_fit,66652.50168051374,8.0,False
az-em2021-alta,total_gco2,bfd,67012.57307437257,9.0,False
az-em2021-alta,total_gco2,cnemesis,63395.46690723869,3.0,False
az-em2021-alta,total_gco2,ffd,66199.04302152157,7.0,False
az-em2021-alta,total_gco2,first_fit,66082.94384648207,6.0,False
az-em2021-alta,total_gco2,follow_renewables,62180.41628277019,1.0,True
az-em2021-alta,total_gco2,followme_s,63077.6971575442,2.0,False
az-em2021-alta,total_gco2,lowest_carbon_dc,63576.32204197531,4.0,False
