celula,n_tratamentos_declarados,n_classes_estruturais,n_pares_declarados,n_pares_colapsados,colapsou
az-anticorr-alta,11,11,55,55,False
az-anticorr-folgada,11,11,55,55,False
az-em2021-alta,11,11,55,55,False
az-em2021-folgada,11,11,55,55,False
az-flat-alta,11,10,55,45,True
az-flat-folgada,11,10,55,45,True
az-realjan-alta,11,11,55,55,False
az-realjan-folgada,11,11,55,55,False
az-realjun-alta,11,11,55,55,False
az-realjun-folgada,11,11,55,55,False
geo3-az-realjun-folgada,11,11,55,55,False
geo3-go-realjun-folgada,11,11,55,55,False
go-anticorr-alta,11,11,55,55,False
go-anticorr-folgada,11,11,55,55,False
go-em2021-alta,11,11,55,55,False
go-em2021-folgada,11,11,55,55,False
go-flat-alta,11,10,55,45,True
go-flat-folgada,11,10,55,45,True
go-realjan-alta,11,11,55,55,False
go-realjan-folgada,11,11,55,55,False
go-realjun-alta,11,11,55,55,False
go-realjun-folgada,11,11,55,55,False
hetcap-az-anticorr-folgada,11,11,55,55,False
hetcap-az-realjun-folgada,11,11,55,55,False
net100-az-anticorr-folgada,11,11,55,55,False
net100-az-realjun-alta,11,11,55,55,False
net100-az-realjun-folgada,11,11,55,55,False
net100-go-realjun-folgada,11,11,55,55,False
pue-az-realjun-folgada,11,11,55,55,False
pue-go-realjun-folgada,11,11,55,55,False
