metrica,papel_da_metrica,celula,redundante_por_construcao,tau_b_10_vs_30,p_nao_corrigido,pares_invertidos,pares_com_empate_em_um_lado,pares_avaliados,vencedor_10_seeds,vencedor_30_seeds,vencedor_mudou
total_gco2,primária,az-anticorr-alta,False,0.9636363636363636,5.511463844797178e-07,1,0,55,follow_renewables,follow_renewables,False
total_gco2,primária,az-anticorr-folgada,False,0.9999999999999999,2.3434607292951027e-05,0,1,55,followme_s,followme_s,False
total_gco2,primária,az-flat-alta,False,1.0,3.487191774862723e-05,0,3,55,cnemesis,cnemesis,False
total_gco2,primária,az-flat-folgada,False,1.0,3.487191774862723e-05,0,3,55,followme_s,followme_s,False
total_gco2,primária,az-realjan-alta,True,0.9636363636363636,5.511463844797178e-07,1,0,55,follow_renewables,follow_renewables,False
total_gco2,primária,az-realjan-folgada,True,0.9629629629629629,4.6465836804030796e-05,1,1,55,followme_s,followme_s,False
total_gco2,primária,az-realjun-alta,False,0.9636363636363636,5.511463844797178e-07,1,0,55,follow_renewables,follow_renewables,False
total_gco2,primária,az-realjun-folgada,False,0.9629629629629629,4.6465836804030796e-05,1,1,55,followme_s,followme_s,False
total_gco2,primária,go-anticorr-alta,False,0.9272727272727274,3.2567740901074234e-06,2,0,55,follow_renewables,follow_renewables,False
total_gco2,primária,go-anticorr-folgada,False,0.9999999999999999,2.3434607292951027e-05,0,1,55,followme_s,followme_s,False
total_gco2,primária,go-flat-alta,False,0.6153846153846154,0.01086164074659632,10,3,55,followme_s,followme_s,False
total_gco2,primária,go-flat-folgada,False,0.7307692307692308,0.002488767860610417,7,3,55,ffd,ffd,False
total_gco2,primária,go-realjan-alta,True,0.9636363636363636,5.511463844797178e-07,1,0,55,follow_renewables,follow_renewables,False
total_gco2,primária,go-realjan-folgada,True,0.9999999999999999,2.3434607292951027e-05,0,1,55,followme_s,followme_s,False
total_gco2,primária,go-realjun-alta,False,0.9636363636363636,5.511463844797178e-07,1,0,55,follow_renewables,follow_renewables,False
total_gco2,primária,go-realjun-folgada,False,0.9999999999999999,2.3434607292951027e-05,0,1,55,followme_s,followme_s,False
gco2_por_vm,secundária,az-anticorr-alta,False,0.9636363636363636,5.511463844797178e-07,1,0,55,follow_renewables,follow_renewables,False
gco2_por_vm,secundária,az-anticorr-folgada,False,0.9999999999999999,2.3434607292951027e-05,0,1,55,followme_s,followme_s,False
gco2_por_vm,secundária,az-flat-alta,False,1.0,3.487191774862723e-05,0,3,55,cnemesis,cnemesis,False
gco2_por_vm,secundária,az-flat-folgada,False,1.0,3.487191774862723e-05,0,3,55,followme_s,followme_s,False
gco2_por_vm,secundária,az-realjan-alta,True,0.9636363636363636,5.511463844797178e-07,1,0,55,follow_renewables,follow_renewables,False
gco2_por_vm,secundária,az-realjan-folgada,True,0.9629629629629629,4.6465836804030796e-05,1,1,55,followme_s,followme_s,False
gco2_por_vm,secundária,az-realjun-alta,False,0.9636363636363636,5.511463844797178e-07,1,0,55,follow_renewables,follow_renewables,False
gco2_por_vm,secundária,az-realjun-folgada,False,0.9629629629629629,4.6465836804030796e-05,1,1,55,followme_s,followme_s,False
gco2_por_vm,secundária,go-anticorr-alta,False,1.0,5.010421677088344e-08,0,0,55,follow_renewables,follow_renewables,False
gco2_por_vm,secundária,go-anticorr-folgada,False,0.9999999999999999,2.3434607292951027e-05,0,1,55,followme_s,followme_s,False
gco2_por_vm,secundária,go-flat-alta,False,0.9615384615384616,6.89519968809999e-05,1,3,55,best_fit,best_fit,False
gco2_por_vm,secundária,go-flat-folgada,False,0.7307692307692308,0.002488767860610417,7,3,55,ffd,ffd,False
gco2_por_vm,secundária,go-realjan-alta,True,1.0,5.010421677088344e-08,0,0,55,follow_renewables,follow_renewables,False
gco2_por_vm,secundária,go-realjan-folgada,True,0.9999999999999999,2.3434607292951027e-05,0,1,55,followme_s,followme_s,False
gco2_por_vm,secundária,go-realjun-alta,False,1.0,5.010421677088344e-08,0,0,55,follow_renewables,follow_renewables,False
gco2_por_vm,secundária,go-realjun-folgada,False,0.9999999999999999,2.3434607292951027e-05,0,1,55,followme_s,followme_s,False
