celula,tau_b_gco2_kwh,p_nao_corrigido,eh_pue,eh_flat
go-anticorr-folgada,0.037037037037037035,0.8755259328487163,False,False
pue-az-realjun-folgada,0.07407407407407407,0.754062847918717,True,False
pue-go-realjun-folgada,0.25925925925925924,0.2728585025608301,True,False
net100-az-anticorr-folgada,0.2962962962962963,0.21015227556934157,False,False
az-anticorr-folgada,0.3333333333333333,0.15860164569939683,False,False
geo3-go-realjun-folgada,0.45454545454545453,0.06017015392015392,False,False
hetcap-az-anticorr-folgada,0.5555555555555556,0.018791055544434044,False,False
go-anticorr-alta,0.5636363636363636,0.016540504248837583,False,False
az-anticorr-alta,0.6727272727272727,0.0031063111271444604,False,False
net100-az-realjun-alta,0.7454545454545454,0.000759529822029822,False,False
go-realjan-alta,0.7818181818181819,0.0003334435626102293,False,False
go-realjun-alta,0.7818181818181819,0.0003334435626102293,False,False
go-em2021-folgada,0.8181818181818182,0.00013227513227513228,False,False
net100-az-realjun-folgada,0.8518518518518519,0.0003148112129061931,False,False
az-realjan-folgada,0.8518518518518519,0.0003148112129061931,False,False
az-realjun-folgada,0.8518518518518519,0.0003148112129061931,False,False
az-em2021-folgada,0.8545454545454545,4.624619207952541e-05,False,False
hetcap-az-realjun-folgada,0.8909090909090909,1.3728555395222063e-05,False,False
go-em2021-alta,0.8909090909090909,1.3728555395222063e-05,False,False
go-realjan-folgada,0.9259259259259258,8.999895879346697e-05,False,False
go-realjun-folgada,0.9259259259259258,8.999895879346697e-05,False,False
az-realjun-alta,0.9272727272727274,3.2567740901074234e-06,False,False
az-realjan-alta,0.9272727272727274,3.2567740901074234e-06,False,False
net100-go-realjun-folgada,0.9629629629629629,4.6465836804030796e-05,False,False
geo3-az-realjun-folgada,0.9636363636363636,5.511463844797178e-07,False,False
az-em2021-alta,0.9636363636363636,5.511463844797178e-07,False,False
az-flat-folgada,1.0,3.487191774862723e-05,False,True
az-flat-alta,1.0,3.487191774862723e-05,False,True
go-flat-folgada,1.0,3.487191774862723e-05,False,True
go-flat-alta,1.0,3.487191774862723e-05,False,True
