celula,papel,par,algoritmo,alocacoes_media,alocacoes_no_limpo_media,frac_limpo_media,no_subconjunto_antigo
az-realjun-folgada,base,hetcap-az-realjun-folgada,best_fit,2000.0,207.8,0.10389999999999999,False
az-realjun-folgada,base,hetcap-az-realjun-folgada,bfd,2000.0,207.8,0.10389999999999999,True
az-realjun-folgada,base,hetcap-az-realjun-folgada,cnemesis,2000.0,683.2,0.3416,True
az-realjun-folgada,base,hetcap-az-realjun-folgada,ffd,2000.0,536.8,0.2684,True
az-realjun-folgada,base,hetcap-az-realjun-folgada,first_fit,2000.0,456.4,0.22820000000000001,True
az-realjun-folgada,base,hetcap-az-realjun-folgada,follow_renewables,2000.0,683.2,0.3416,True
az-realjun-folgada,base,hetcap-az-realjun-folgada,followme_s,2000.0,683.2,0.3416,False
az-realjun-folgada,base,hetcap-az-realjun-folgada,lowest_carbon_dc,2000.0,683.2,0.3416,True
az-realjun-folgada,base,hetcap-az-realjun-folgada,round_robin,2000.0,219.0,0.1095,False
az-realjun-folgada,base,hetcap-az-realjun-folgada,worst_fit,2000.0,219.2,0.1096,False
az-realjun-folgada,base,hetcap-az-realjun-folgada,wsnb,2000.0,692.1,0.34605,True
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,best_fit,2000.0,82.6,0.041299999999999996,False
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,bfd,2000.0,83.4,0.0417,True
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,cnemesis,2000.0,212.1,0.10605,True
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,ffd,2000.0,313.7,0.15685,True
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,first_fit,2000.0,314.0,0.157,True
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,follow_renewables,2000.0,212.1,0.10605,True
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,followme_s,2000.0,212.1,0.10605,False
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,lowest_carbon_dc,2000.0,212.1,0.10605,True
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,round_robin,2000.0,87.0,0.0435,False
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,worst_fit,2000.0,87.7,0.04384999999999999,False
hetcap-az-realjun-folgada,hetcap,hetcap-az-realjun-folgada,wsnb,2000.0,240.7,0.12034999999999998,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,best_fit,2000.0,207.8,0.10389999999999999,False
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,bfd,2000.0,207.8,0.10389999999999999,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,cnemesis,2000.0,0.0,0.0,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,ffd,2000.0,536.8,0.2684,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,first_fit,2000.0,456.4,0.22820000000000001,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,follow_renewables,2000.0,0.0,0.0,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,followme_s,2000.0,0.0,0.0,False
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,lowest_carbon_dc,2000.0,0.0,0.0,True
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,round_robin,2000.0,219.0,0.1095,False
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,worst_fit,2000.0,219.2,0.1096,False
az-anticorr-folgada,base,hetcap-az-anticorr-folgada,wsnb,2000.0,0.0,0.0,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,best_fit,2000.0,82.6,0.041299999999999996,False
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,bfd,2000.0,83.4,0.0417,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,cnemesis,2000.0,0.0,0.0,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,ffd,2000.0,313.7,0.15685,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,first_fit,2000.0,314.0,0.157,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,follow_renewables,2000.0,0.0,0.0,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,followme_s,2000.0,0.0,0.0,False
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,lowest_carbon_dc,2000.0,0.0,0.0,True
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,round_robin,2000.0,87.0,0.0435,False
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,worst_fit,2000.0,87.7,0.04384999999999999,False
hetcap-az-anticorr-folgada,hetcap,hetcap-az-anticorr-folgada,wsnb,2000.0,0.0,0.0,True
