celula_hetcap,celula_base,algoritmo,grupo,gco2_hetcap,gco2_base,delta_pct_vs_base,p_bruto_wsr,r_rank_biserial,no_subconjunto_antigo,p_holm11,significativo
hetcap-az-realjun-folgada,az-realjun-folgada,best_fit,generico,25000.59989161952,21480.1861836883,16.389121015182656,0.001953125,1.0,False,0.021484375,True
hetcap-az-realjun-folgada,az-realjun-folgada,bfd,generico,25831.36496003056,21495.782966407878,20.16945370353818,0.001953125,1.0,True,0.021484375,True
hetcap-az-realjun-folgada,az-realjun-folgada,cnemesis,carbon_aware,10174.372156300009,5644.247890579317,80.26090195793522,0.001953125,1.0,True,0.021484375,True
hetcap-az-realjun-folgada,az-realjun-folgada,ffd,generico,14776.3856691934,13061.832981948497,13.12643248167712,0.001953125,1.0,True,0.021484375,True
hetcap-az-realjun-folgada,az-realjun-folgada,first_fit,generico,14574.906950454813,13029.735543545552,11.858808659203234,0.001953125,1.0,True,0.021484375,True
hetcap-az-realjun-folgada,az-realjun-folgada,follow_renewables,carbon_aware,9571.145362569714,5977.228299736213,60.12681601925943,0.001953125,1.0,True,0.021484375,True
hetcap-az-realjun-folgada,az-realjun-folgada,followme_s,carbon_aware,10393.67416534137,5424.070609995839,91.62129169534066,0.001953125,1.0,False,0.021484375,True
hetcap-az-realjun-folgada,az-realjun-folgada,lowest_carbon_dc,carbon_aware,12046.527255798124,5977.228299736213,101.54035703019345,0.001953125,1.0,True,0.021484375,True
hetcap-az-realjun-folgada,az-realjun-folgada,round_robin,generico,74719.47267293613,60715.64624194981,23.064609038634845,0.001953125,1.0,False,0.021484375,True
hetcap-az-realjun-folgada,az-realjun-folgada,worst_fit,generico,32806.40410467381,27705.13622800748,18.412715370478477,0.001953125,1.0,False,0.021484375,True
hetcap-az-realjun-folgada,az-realjun-folgada,wsnb,carbon_aware,11369.53108048137,6481.3812296266005,75.41833565522856,0.001953125,1.0,True,0.021484375,True
hetcap-az-anticorr-folgada,az-anticorr-folgada,best_fit,generico,10935.652654607371,13049.183830532324,-16.19665416146363,0.001953125,-1.0,False,0.021484375,True
hetcap-az-anticorr-folgada,az-anticorr-folgada,bfd,generico,13105.532649406316,15361.808411519287,-14.68756608382818,0.001953125,-1.0,True,0.021484375,True
hetcap-az-anticorr-folgada,az-anticorr-folgada,cnemesis,carbon_aware,5023.0334746731405,5938.538209560083,-15.416331470480866,0.001953125,-1.0,True,0.021484375,True
hetcap-az-anticorr-folgada,az-anticorr-folgada,ffd,generico,8632.768192838248,9888.305732569288,-12.697195795591693,0.001953125,-1.0,True,0.021484375,True
hetcap-az-anticorr-folgada,az-anticorr-folgada,first_fit,generico,8138.700769281639,8837.455271816489,-7.906738773131296,0.001953125,-1.0,True,0.021484375,True
hetcap-az-anticorr-folgada,az-anticorr-folgada,follow_renewables,carbon_aware,5435.507255502927,6395.912470034652,-15.015921794291243,0.001953125,-1.0,True,0.021484375,True
hetcap-az-anticorr-folgada,az-anticorr-folgada,followme_s,carbon_aware,4727.606326432779,5567.996461447881,-15.093223223718981,0.001953125,-1.0,False,0.021484375,True
hetcap-az-anticorr-folgada,az-anticorr-folgada,lowest_carbon_dc,carbon_aware,5435.507255502927,6395.912470034652,-15.015921794291243,0.001953125,-1.0,True,0.021484375,True
hetcap-az-anticorr-folgada,az-anticorr-folgada,round_robin,generico,38445.558268840025,46453.0555488112,-17.23782684554988,0.001953125,-1.0,False,0.021484375,True
hetcap-az-anticorr-folgada,az-anticorr-folgada,worst_fit,generico,18162.190850649156,21392.181819788024,-15.098931919843197,0.001953125,-1.0,False,0.021484375,True
hetcap-az-anticorr-folgada,az-anticorr-folgada,wsnb,carbon_aware,6164.77560484793,6199.575228060355,-0.5613227024799371,0.009765625,-0.8909090909090909,True,0.021484375,True
