celula,regime,algoritmo,execucoes,execucoes_sem_migracao,denominador_das_medias,migracoes_media,frac_intra_media,frac_intra_min,frac_intra_max,execucoes_100pct_intra,execucoes_0pct_intra,max_migracoes_por_vm,vms_com_mais_de_2_migracoes_media
az-anticorr-alta,alta,cnemesis,30,0,30,460.0,0.09188405797101448,0.08695652173913043,0.13043478260869565,0,0,1,0.0
az-anticorr-folgada,moderada,cnemesis,30,0,30,460.0,1.0,1.0,1.0,30,0,20,63.766666666666666
az-em2021-alta,alta,cnemesis,10,0,10,460.0,0.09086956521739128,0.08695652173913043,0.12608695652173912,0,0,1,0.0
az-em2021-folgada,moderada,cnemesis,10,0,10,460.0,1.0,1.0,1.0,10,0,15,68.9
az-flat-alta,alta,cnemesis,30,0,30,460.0,1.0,1.0,1.0,30,0,7,24.166666666666668
az-flat-folgada,moderada,cnemesis,30,0,30,460.0,1.0,1.0,1.0,30,0,18,67.83333333333333
az-realjan-alta,alta,cnemesis,30,0,30,384.73333333333335,0.1101395345986337,0.0963855421686747,0.16085790884718498,0,0,3,0.03333333333333333
az-realjan-folgada,moderada,cnemesis,30,0,30,460.0,1.0,1.0,1.0,30,0,20,63.766666666666666
az-realjun-alta,alta,cnemesis,30,0,30,384.73333333333335,0.1101395345986337,0.0963855421686747,0.16085790884718498,0,0,3,0.03333333333333333
az-realjun-folgada,moderada,cnemesis,30,0,30,460.0,1.0,1.0,1.0,30,0,20,63.766666666666666
geo3-az-realjun-folgada,moderada,cnemesis,10,0,10,458.5,0.023301779792696087,0.0,0.043478260869565216,0,1,3,0.1
geo3-go-realjun-folgada,moderada,cnemesis,10,0,10,401.8,0.4182187632719274,0.3788659793814433,0.4648910411622276,0,0,5,9.6
go-anticorr-alta,alta,cnemesis,30,0,30,446.3,0.17397828242595204,0.14153132250580047,0.2108695652173913,0,0,3,0.16666666666666666
go-anticorr-folgada,moderada,cnemesis,30,0,30,460.0,1.0,1.0,1.0,30,0,12,49.6
go-em2021-alta,alta,cnemesis,10,0,10,445.1,0.1740404938457861,0.14583333333333334,0.20869565217391303,0,0,3,0.3
go-em2021-folgada,moderada,cnemesis,10,0,10,460.0,1.0,1.0,1.0,10,0,16,62.0
