celula,regime,algoritmo,execucoes,execucoes_sem_migracao,denominador_das_medias,migracoes_media,frac_intra_media,frac_intra_min,frac_intra_max,execucoes_100pct_intra,execucoes_0pct_intra,max_migracoes_por_vm,vms_com_mais_de_2_migracoes_media
az-anticorr-folgada,moderada,cnemesis,10,0,10,460.0,1.0,1.0,1.0,10,0,20,61.5
az-realjun-alta,alta,cnemesis,10,0,10,384.3,0.10589539303187016,0.0975609756097561,0.12234042553191489,0,0,2,0.0
az-realjun-folgada,moderada,cnemesis,10,0,10,460.0,1.0,1.0,1.0,10,0,20,61.5
go-realjun-folgada,moderada,cnemesis,10,0,10,460.0,1.0,1.0,1.0,10,0,16,62.0
net100-az-anticorr-folgada,moderada,cnemesis,10,0,10,460.0,1.0,1.0,1.0,10,0,20,61.5
net100-az-realjun-alta,alta,cnemesis,10,0,10,327.8,0.125345088589271,0.10666666666666667,0.15081967213114755,0,0,2,0.0
net100-az-realjun-folgada,moderada,cnemesis,10,0,10,460.0,1.0,1.0,1.0,10,0,20,61.5
net100-go-realjun-folgada,moderada,cnemesis,10,0,10,460.0,1.0,1.0,1.0,10,0,16,62.0
az-anticorr-folgada,moderada,follow_renewables,10,10,0,0.0,,,,0,0,0,0.0
az-realjun-alta,alta,follow_renewables,10,0,10,2902.9,0.0,0.0,0.0,0,10,2,0.0
az-realjun-folgada,moderada,follow_renewables,10,10,0,0.0,,,,0,0,0,0.0
go-realjun-folgada,moderada,follow_renewables,10,10,0,0.0,,,,0,0,0,0.0
net100-az-anticorr-folgada,moderada,follow_renewables,10,10,0,0.0,,,,0,0,0,0.0
net100-az-realjun-alta,alta,follow_renewables,10,0,10,2851.2,0.0,0.0,0.0,0,10,2,0.0
net100-az-realjun-folgada,moderada,follow_renewables,10,10,0,0.0,,,,0,0,0,0.0
net100-go-realjun-folgada,moderada,follow_renewables,10,10,0,0.0,,,,0,0,0,0.0
az-anticorr-folgada,moderada,followme_s,10,0,10,791.6,0.5164982660767545,0.37555886736214605,0.619625137816979,0,0,12,96.2
az-realjun-alta,alta,followme_s,10,0,10,1070.5,0.18082378661917592,0.14193548387096774,0.23479087452471484,0,0,6,30.0
az-realjun-folgada,moderada,followme_s,10,0,10,940.9,0.6987624310351463,0.6471935853379153,0.7527862208713273,0,0,20,114.3
go-realjun-folgada,moderada,followme_s,10,0,10,1138.3,0.9381128425944976,0.8868445262189513,0.9669565217391304,0,0,21,133.7
net100-az-anticorr-folgada,moderada,followme_s,10,0,10,366.3,0.311809804388273,0.18731117824773413,0.4244604316546763,0,0,10,18.3
net100-az-realjun-alta,alta,followme_s,10,0,10,743.9,0.13583204070107657,0.1065989847715736,0.18694362017804153,0,0,5,3.2
net100-az-realjun-folgada,moderada,followme_s,10,0,10,434.3,0.4641028195435992,0.34408602150537637,0.589098532494759,0,0,18,23.6
net100-go-realjun-folgada,moderada,followme_s,10,0,10,1006.5,0.9313565234331829,0.8569620253164557,0.9690909090909091,0,0,21,112.7
