celula_azure,celula_google,rho_spearman,p_nao_corrigido,tau_b
az-flat-folgada,go-flat-folgada,0.6759259259259258,0.022421428936062197,0.576923076923077
az-flat-alta,go-flat-alta,0.7685185185185185,0.005717873013260917,0.6538461538461539
az-anticorr-alta,go-anticorr-alta,0.8636363636363636,0.0006116938500931701,0.7818181818181819
az-em2021-folgada,go-em2021-folgada,0.9,0.00015997142806871366,0.7454545454545454
az-anticorr-folgada,go-anticorr-folgada,0.9269406392694064,4.054100104760445e-05,0.8518518518518519
az-em2021-alta,go-em2021-alta,0.9636363636363637,1.8520398640703137e-06,0.8909090909090909
az-realjan-alta,go-realjan-alta,0.9818181818181818,8.403066433955256e-08,0.9272727272727274
az-realjun-alta,go-realjun-alta,0.9818181818181818,8.403066433955256e-08,0.9272727272727274
az-realjan-folgada,go-realjan-folgada,0.9908675799086759,3.840276041493663e-09,0.9629629629629629
az-realjun-folgada,go-realjun-folgada,0.9908675799086759,3.840276041493663e-09,0.9629629629629629
