celula_azure,celula_google,rho_spearman,p_nao_corrigido,tau_b,p_holm10
az-flat-folgada,go-flat-folgada,0.6759259259259258,0.0224214289360621,0.576923076923077,0.0224214289360621
az-flat-alta,go-flat-alta,0.7685185185185185,0.0057178730132609,0.6538461538461539,0.0114357460265218
az-anticorr-alta,go-anticorr-alta,0.8636363636363636,0.0006116938500931,0.7818181818181819,0.0018350815502793001
az-em2021-folgada,go-em2021-folgada,0.9,0.0001599714280687,0.7454545454545454,0.0006398857122748
az-anticorr-folgada,go-anticorr-folgada,0.9269406392694064,4.054100104760445e-05,0.8518518518518519,0.00020270500523802225
az-em2021-alta,go-em2021-alta,0.9636363636363636,1.8520398640703137e-06,0.8909090909090909,1.1112239184421882e-05
az-realjan-alta,go-realjan-alta,0.9818181818181818,8.403066433955256e-08,0.9272727272727274,6.722453147164205e-07
az-realjun-alta,go-realjun-alta,0.9818181818181818,8.403066433955256e-08,0.9272727272727274,6.722453147164205e-07
az-realjan-folgada,go-realjan-folgada,0.990867579908676,3.840276041493663e-09,0.9629629629629628,3.840276041493663e-08
az-realjun-folgada,go-realjun-folgada,0.990867579908676,3.840276041493663e-09,0.9629629629629628,3.840276041493663e-08
