celula,melhores_ca,melhores_gb,topo_unico,vantagem_pct,p_bruto,r_rank_biserial
az-anticorr-alta,follow_renewables,first_fit,True,18.19782598122876,1.862645149230957e-09,-1.0
az-anticorr-folgada,followme_s,first_fit,True,37.797195126580874,1.862645149230957e-09,-1.0
az-em2021-alta,follow_renewables,first_fit,True,5.9054989632088475,0.001953125,-1.0
az-em2021-folgada,followme_s,ffd,True,63.79352749619645,0.001953125,-1.0
az-flat-alta,cnemesis,first_fit,True,1.5222496590386185,1.862645149230957e-09,-1.0
az-flat-folgada,followme_s,first_fit,True,1.1941261111416601,0.000283263623714447,-0.7204301075268817
az-realjan-alta,follow_renewables,ffd,True,10.085584974037829,1.862645149230957e-09,-1.0
az-realjan-folgada,followme_s,first_fit,True,58.742254855254025,1.862645149230957e-09,-1.0
az-realjun-alta,follow_renewables,ffd,True,10.085584974037829,1.862645149230957e-09,-1.0
az-realjun-folgada,followme_s,first_fit,True,58.742254855254025,1.862645149230957e-09,-1.0
geo3-az-realjun-folgada,followme_s,first_fit,True,2.895157312008516,0.01953125,-0.8181818181818182
geo3-go-realjun-folgada,followme_s,ffd,True,6.395024955546245,0.001953125,-1.0
go-anticorr-alta,follow_renewables,bfd,True,8.47568641414901,1.862645149230957e-09,-1.0
go-anticorr-folgada,followme_s,ffd,True,28.298240300773497,1.862645149230957e-09,-1.0
go-em2021-alta,follow_renewables,first_fit,True,4.399374062207222,0.001953125,-1.0
go-em2021-folgada,follow_renewables,bfd,True,72.8766080154933,0.001953125,-1.0
go-flat-alta,followme_s,first_fit,True,0.4025986151542658,4.4075772166252136e-05,-0.7935483870967742
go-flat-folgada,followme_s,ffd,True,-5.323193869474303,1.862645149230957e-09,1.0
go-realjan-alta,follow_renewables,first_fit,True,5.448020919717555,1.862645149230957e-09,-1.0
go-realjan-folgada,followme_s,ffd,True,65.99020801474988,1.862645149230957e-09,-1.0
go-realjun-alta,follow_renewables,first_fit,True,5.448020919717555,1.862645149230957e-09,-1.0
go-realjun-folgada,followme_s,ffd,True,65.99020801474988,1.862645149230957e-09,-1.0
hetcap-az-anticorr-folgada,followme_s,first_fit,True,41.91202674170732,0.001953125,-1.0
hetcap-az-realjun-folgada,follow_renewables,first_fit,True,34.3313449951662,0.001953125,-1.0
net100-az-anticorr-folgada,cnemesis,first_fit,True,32.80262216999657,0.001953125,-1.0
net100-az-realjun-alta,followme_s,first_fit,True,4.842418187748957,0.001953125,-1.0
net100-az-realjun-folgada,cnemesis,first_fit,True,56.68179241461836,0.001953125,-1.0
net100-go-realjun-folgada,followme_s,ffd,True,65.64481722373067,0.001953125,-1.0
pue-az-realjun-folgada,followme_s,first_fit,True,51.44844168832953,0.001953125,-1.0
pue-go-realjun-folgada,followme_s,ffd,True,58.22397557066809,0.001953125,-1.0
