celula,metrica,vencedores,n_vencedores,houve_empate_no_topo,n_postos_distintos
az-anticorr-alta,total_gco2,follow_renewables,1,False,11
az-anticorr-alta,total_kwh,follow_renewables,1,False,11
az-anticorr-alta,gco2_por_vm,follow_renewables,1,False,11
az-anticorr-folgada,total_gco2,followme_s,1,False,10
az-anticorr-folgada,total_kwh,first_fit,1,False,10
az-anticorr-folgada,gco2_por_vm,followme_s,1,False,10
az-em2021-alta,total_gco2,follow_renewables,1,False,11
az-em2021-alta,total_kwh,follow_renewables,1,False,11
az-em2021-alta,gco2_por_vm,follow_renewables,1,False,11
az-em2021-folgada,total_gco2,followme_s,1,False,11
az-em2021-folgada,total_kwh,followme_s,1,False,11
az-em2021-folgada,gco2_por_vm,followme_s,1,False,11
az-flat-alta,total_gco2,cnemesis,1,False,9
az-flat-alta,total_kwh,cnemesis,1,False,9
az-flat-alta,gco2_por_vm,cnemesis,1,False,9
az-flat-folgada,total_gco2,followme_s,1,False,9
az-flat-folgada,total_kwh,followme_s,1,False,9
az-flat-folgada,gco2_por_vm,followme_s,1,False,9
az-realjan-alta,total_gco2,follow_renewables,1,False,11
az-realjan-alta,total_kwh,follow_renewables,1,False,11
az-realjan-alta,gco2_por_vm,follow_renewables,1,False,11
az-realjan-folgada,total_gco2,followme_s,1,False,10
az-realjan-folgada,total_kwh,followme_s,1,False,10
az-realjan-folgada,gco2_por_vm,followme_s,1,False,10
az-realjun-alta,total_gco2,follow_renewables,1,False,11
az-realjun-alta,total_kwh,follow_renewables,1,False,11
az-realjun-alta,gco2_por_vm,follow_renewables,1,False,11
az-realjun-folgada,total_gco2,followme_s,1,False,10
az-realjun-folgada,total_kwh,followme_s,1,False,10
az-realjun-folgada,gco2_por_vm,followme_s,1,False,10
geo3-az-realjun-folgada,total_gco2,followme_s,1,False,11
geo3-az-realjun-folgada,total_kwh,followme_s,1,False,11
geo3-az-realjun-folgada,gco2_por_vm,followme_s,1,False,11
geo3-go-realjun-folgada,total_gco2,followme_s,1,False,11
geo3-go-realjun-folgada,total_kwh,worst_fit,1,False,11
geo3-go-realjun-folgada,gco2_por_vm,followme_s,1,False,11
go-anticorr-alta,total_gco2,follow_renewables,1,False,11
go-anticorr-alta,total_kwh,follow_renewables,1,False,11
go-anticorr-alta,gco2_por_vm,follow_renewables,1,False,11
go-anticorr-folgada,total_gco2,followme_s,1,False,10
go-anticorr-folgada,total_kwh,ffd,1,False,10
go-anticorr-folgada,gco2_por_vm,followme_s,1,False,10
go-em2021-alta,total_gco2,follow_renewables,1,False,11
go-em2021-alta,total_kwh,follow_renewables,1,False,11
go-em2021-alta,gco2_por_vm,cnemesis,1,False,11
go-em2021-folgada,total_gco2,follow_renewables,1,False,11
go-em2021-folgada,total_kwh,followme_s,1,False,11
go-em2021-folgada,gco2_por_vm,follow_renewables,1,False,11
go-flat-alta,total_gco2,followme_s,1,False,9
go-flat-alta,total_kwh,followme_s,1,False,9
go-flat-alta,gco2_por_vm,best_fit,1,False,9
go-flat-folgada,total_gco2,ffd,1,False,9
go-flat-folgada,total_kwh,ffd,1,False,9
go-flat-folgada,gco2_por_vm,ffd,1,False,9
go-realjan-alta,total_gco2,follow_renewables,1,False,11
go-realjan-alta,total_kwh,follow_renewables,1,False,11
go-realjan-alta,gco2_por_vm,follow_renewables,1,False,11
go-realjan-folgada,total_gco2,followme_s,1,False,10
go-realjan-folgada,total_kwh,followme_s,1,False,10
go-realjan-folgada,gco2_por_vm,followme_s,1,False,10
go-realjun-alta,total_gco2,follow_renewables,1,False,11
go-realjun-alta,total_kwh,follow_renewables,1,False,11
go-realjun-alta,gco2_por_vm,follow_renewables,1,False,11
go-realjun-folgada,total_gco2,followme_s,1,False,10
go-realjun-folgada,total_kwh,followme_s,1,False,10
go-realjun-folgada,gco2_por_vm,followme_s,1,False,10
hetcap-az-anticorr-folgada,total_gco2,followme_s,1,False,10
hetcap-az-anticorr-folgada,total_kwh,wsnb,1,False,10
hetcap-az-anticorr-folgada,gco2_por_vm,followme_s,1,False,10
hetcap-az-realjun-folgada,total_gco2,follow_renewables,1,False,11
hetcap-az-realjun-folgada,total_kwh,follow_renewables,1,False,11
hetcap-az-realjun-folgada,gco2_por_vm,follow_renewables,1,False,11
net100-az-anticorr-folgada,total_gco2,cnemesis,1,False,10
net100-az-anticorr-folgada,total_kwh,first_fit,1,False,10
net100-az-anticorr-folgada,gco2_por_vm,cnemesis,1,False,10
net100-az-realjun-alta,total_gco2,followme_s,1,False,11
net100-az-realjun-alta,total_kwh,followme_s,1,False,11
net100-az-realjun-alta,gco2_por_vm,follow_renewables,1,False,11
net100-az-realjun-folgada,total_gco2,cnemesis,1,False,10
net100-az-realjun-folgada,total_kwh,cnemesis,1,False,10
net100-az-realjun-folgada,gco2_por_vm,cnemesis,1,False,10
net100-go-realjun-folgada,total_gco2,followme_s,1,False,10
net100-go-realjun-folgada,total_kwh,followme_s,1,False,10
net100-go-realjun-folgada,gco2_por_vm,followme_s,1,False,10
pue-az-realjun-folgada,total_gco2,followme_s,1,False,10
pue-az-realjun-folgada,total_kwh,best_fit,1,False,10
pue-az-realjun-folgada,gco2_por_vm,followme_s,1,False,10
pue-go-realjun-folgada,total_gco2,followme_s,1,False,10
pue-go-realjun-folgada,total_kwh,ffd,1,False,10
pue-go-realjun-folgada,gco2_por_vm,followme_s,1,False,10
