celula,n_seeds,vms_submetidas_constantes,dispersao_demanda_admitida_pct,dispersao_emissao_sem_rr_pct,razao_denominador_sobre_numerador,postos_diferem_N0_N1,postos_diferem_N0_N2,postos_diferem_N1_N2,vencedor_N0,vencedor_N1,vencedor_N2
az-anticorr-alta,30,True,6.551366885228445,21.720566032099217,0.3016204492804959,2,4,6,follow_renewables,follow_renewables,follow_renewables
az-em2021-alta,10,True,6.551740792352771,10.689814797081,0.61289563165695,2,4,4,follow_renewables,follow_renewables,follow_renewables
az-flat-alta,30,True,6.551366885228445,5.755599856056499,1.1382596165601362,4,9,9,cnemesis,cnemesis,ffd
az-realjan-alta,30,True,6.551366885228445,16.886843492356387,0.3879568664323701,2,3,4,follow_renewables,follow_renewables,follow_renewables
az-realjun-alta,30,True,6.551366885228445,16.886843492356387,0.3879568664323701,2,3,4,follow_renewables,follow_renewables,follow_renewables
geo3-go-realjun-folgada,10,True,51.76279259414004,20.69074956598325,2.501735977668057,0,10,10,followme_s,followme_s,ffd
go-anticorr-alta,30,True,44.732905639145216,9.574454025614891,4.672110338560258,5,11,11,follow_renewables,follow_renewables,bfd
go-anticorr-folgada,30,True,38.762543620387646,84.00631848899596,0.46142414425011585,0,0,0,followme_s,followme_s,followme_s
go-em2021-alta,10,True,44.561297337293155,5.559776205951392,8.014944430603713,9,11,11,follow_renewables,cnemesis,bfd
go-em2021-folgada,10,True,38.58063327598061,83.33018068313852,0.4629851148731185,0,0,0,follow_renewables,follow_renewables,follow_renewables
go-flat-alta,30,True,44.732905639145216,0.816195912477852,54.80657885597911,9,11,11,followme_s,best_fit,bfd
go-flat-folgada,30,True,38.762543620387646,45.29461331458155,0.8557870524508694,0,0,0,ffd,ffd,ffd
go-realjan-alta,30,True,44.732905639145216,8.710123572578954,5.135737198950024,9,11,11,follow_renewables,follow_renewables,bfd
go-realjan-folgada,30,True,38.762543620387646,86.9359793307732,0.4458745840189398,0,0,0,followme_s,followme_s,followme_s
go-realjun-alta,30,True,44.732905639145216,8.710123572578954,5.135737198950024,9,11,11,follow_renewables,follow_renewables,bfd
go-realjun-folgada,30,True,38.762543620387646,86.9359793307732,0.4458745840189398,0,0,0,followme_s,followme_s,followme_s
net100-az-realjun-alta,10,True,6.551740792352771,12.080196696239701,0.5423538173341319,5,6,8,followme_s,follow_renewables,follow_renewables
net100-go-realjun-folgada,10,True,38.58063327598061,86.75309538543907,0.4447176565235978,0,0,0,followme_s,followme_s,followme_s
pue-go-realjun-folgada,10,True,38.58063327598061,83.59320156103665,0.4615283606264376,0,0,0,followme_s,followme_s,followme_s
