t_seconds,gco2_per_kwh
0,888.6357169032894
3600,896.3434028107127
7200,874.5262667851612
10800,824.6711105922543
14400,750.1754807369973
18000,656.116131284177
21600,548.9030514585788
25200,435.8426354723251
28800,324.639763833708
32400,222.87272847346424
36000,137.47678467341757
39600,74.27152488007084
43200,37.56428309671048
46800,29.8565971892873
50400,51.673733214838876
54000,101.52888940774574
57600,176.02451926300256
61200,270.083868715823
64800,377.2969485414216
68400,490.3573645276751
72000,601.5602361662922
75600,703.3272715265356
79200,788.7232153265826
82800,851.9284751199293
86400,888.6357169032894
90000,896.3434028107127
93600,874.5262667851612
97200,824.6711105922541
100800,750.1754807369973
104400,656.1161312841771
108000,548.9030514585788
111600,435.8426354723246
115200,324.63976383370823
118800,222.87272847346418
122400,137.4767846734175
126000,74.2715248800709
129600,37.5642830967106
133200,29.856597189287356
136800,51.67373321483893
140400,101.52888940774551
144000,176.02451926300273
147600,270.0838687158229
151200,377.2969485414211
154800,490.3573645276754
158400,601.5602361662917
162000,703.3272715265358
165600,788.7232153265825
169200,851.9284751199291
172800,888.6357169032897
176400,896.3434028107129
180000,874.5262667851614
183600,824.6711105922541
187200,750.1754807369973
190800,656.1161312841765
194400,548.903051458579
198000,435.8426354723255
201600,324.63976383370766
205200,222.87272847346492
208800,137.47678467341757
212400,74.2715248800713
216000,37.56428309671094
219600,29.856597189287243
223200,51.67373321483865
226800,101.52888940774585
230400,176.02451926300205
234000,270.0838687158214
237600,377.29694854142025
241200,490.35736452767446
244800,601.5602361662909
248400,703.327271526535
252000,788.7232153265815
255600,851.9284751199286
259200,888.6357169032894
262800,896.3434028107129
266400,874.5262667851614
270000,824.671110592255
273600,750.175480736998
277200,656.1161312841787
280800,548.9030514585784
284400,435.8426354723256
288000,324.6397638337092
291600,222.872728473465
295200,137.47678467341865
298800,74.27152488007067
302400,37.56428309671065
306000,29.856597189287243
309600,51.67373321483865
313200,101.52888940774494
316800,176.02451926300085
320400,270.08386871582275
324000,377.2969485414202
327600,490.3573645276744
331200,601.5602361662908
334800,703.3272715265337
338400,788.7232153265825
342000,851.9284751199286
345600,888.6357169032894
349200,896.3434028107129
352800,874.5262667851619
356400,824.6711105922543
360000,750.175480736998
363600,656.1161312841774
367200,548.90305145858
370800,435.84263547232723
374400,324.6397638337093
378000,222.87272847346512
381600,137.47678467341768
385200,74.27152488007141
388800,37.564283096710994
392400,29.856597189287243
396000,51.67373321483865
399600,101.52888940774574
403200,176.02451926300193
406800,270.0838687158212
410400,377.2969485414201
414000,490.3573645276743
417600,601.5602361662922
421200,703.3272715265349
424800,788.7232153265822
428400,851.928475119928
432000,888.635716903289
435600,896.3434028107129
439200,874.5262667851614
442800,824.6711105922543
446400,750.1754807369971
450000,656.1161312841762
453600,548.9030514585801
457200,435.84263547232274
460800,324.63976383370795
464400,222.8727284734639
468000,137.47678467341672
471600,74.27152488007147
475200,37.564283096710085
478800,29.8565971892873
482400,51.67373321483905
486000,101.52888940774653
489600,176.02451926300182
493200,270.0838687158225
496800,377.29694854142144
500400,490.3573645276757
504000,601.5602361662935
507600,703.3272715265348
511200,788.7232153265822
514800,851.9284751199293
518400,888.6357169032897
522000,896.3434028107126
525600,874.5262667851615
529200,824.6711105922544
532800,750.1754807369971
536400,656.1161312841762
540000,548.9030514585771
543600,435.8426354723259
547200,324.63976383370806
550800,222.872728473464
554400,137.47678467341683
558000,74.27152488007016
561600,37.56428309671071
565200,29.8565971892873
568800,51.67373321483899
572400,101.52888940774477
576000,176.02451926300176
579600,270.0838687158224
583200,377.2969485414244
586800,490.3573645276756
590400,601.5602361662934
594000,703.3272715265373
597600,788.7232153265821
601200,851.9284751199293
604800,888.6357169032897
608400,896.3434028107129
612000,874.5262667851615
615600,824.6711105922544
619200,750.1754807369948
622800,656.1161312841763
626400,548.9030514585772
630000,435.84263547232297
633600,324.6397638337081
637200,222.8727284734641
640800,137.4767846734169
644400,74.27152488007152
648000,37.56428309671071
651600,29.8565971892873
655200,51.673733214837966
658800,101.52888940774642
662400,176.02451926300398
666000,270.08386871582513
669600,377.2969485414213
673200,490.3573645276755
676800,601.5602361662933
680400,703.3272715265347
684000,788.7232153265821
687600,851.9284751199292
691200,888.635716903289
694800,896.3434028107129
698400,874.5262667851606
702000,824.6711105922528
705600,750.1754807369973
709200,656.1161312841764
712800,548.9030514585774
716400,435.84263547232615
720000,324.63976383370823
723600,222.87272847346415
727200,137.476784673419
730800,74.27152488007158
734400,37.56428309671014
738000,29.856597189287527
741600,51.67373321483893
745200,101.52888940774636
748800,176.02451926300392
752400,270.08386871582223
756000,377.29694854142116
759600,490.3573645276754
763200,601.5602361662902
766800,703.3272715265346
770400,788.723215326582
774000,851.9284751199305
777600,888.6357169032897
781200,896.3434028107126
784800,874.5262667851606
788400,824.6711105922545
792000,750.1754807369973
795600,656.1161312841765
799200,548.9030514585804
802800,435.84263547232626
806400,324.63976383370834
810000,222.87272847346685
813600,137.476784673417
817200,74.27152488007027
820800,37.56428309671014
824400,29.856597189287243
828000,51.67373321483893
831600,101.52888940774625
835200,176.02451926300154
838800,270.0838687158222
842400,377.29694854142105
846000,490.3573645276722
849600,601.5602361662931
853200,703.3272715265371
856800,788.7232153265841
860400,851.9284751199291
864000,888.6357169032897
867600,896.3434028107129
871200,874.5262667851607
874800,824.6711105922546
878400,750.1754807369997
882000,656.1161312841766
885600,548.9030514585805
889200,435.84263547232325
892800,324.63976383370846
896400,222.8727284734618
900000,137.47678467341711
903600,74.2715248800717
907200,37.56428309671014
910800,29.856597189287243
914400,51.67373321483791
918000,101.52888940774625
921600,176.02451926300142
925200,270.0838687158193
928800,377.29694854142093
932400,490.35736452767827
936000,601.560236166293
939600,703.3272715265343
943200,788.723215326584
946800,851.9284751199291
950400,888.635716903289
954000,896.3434028107126
957600,874.5262667851616
961200,824.6711105922564
964800,750.1754807369975
968400,656.1161312841739
972000,548.9030514585777
975600,435.84263547232644
979200,324.6397638337056
982800,222.87272847346443
986400,137.47678467341916
990000,74.27152488007039
993600,37.56428309671077
997200,29.856597189287072
1000800,51.673733214838876
1004400,101.52888940774784
1008000,176.02451926300364
1011600,270.08386871582195
1015200,377.29694854142383
1018800,490.3573645276751
1022400,601.56023616629
1026000,703.3272715265368
1029600,788.7232153265818
1033200,851.9284751199276
1036800,888.6357169032896
1040400,896.3434028107129
1044000,874.5262667851607
1047600,824.6711105922548
1051200,750.1754807369953
1054800,656.1161312841768
1058400,548.9030514585808
1062000,435.8426354723235
1065600,324.6397638337087
1069200,222.87272847346708
1072800,137.47678467341723
1076400,74.27152488007175
1080000,37.5642830967102
1083600,29.856597189287243
1087200,51.67373321483984
1090800,101.52888940774614
1094400,176.0245192630013
