t_seconds,gco2_per_kwh
0,438.0
3600,410.37
7200,400.23
10800,408.27
14400,433.95
18000,475.5
21600,530.11
25200,594.04
28800,662.95
32400,732.13
36000,796.88
39600,852.77
43200,896.0
46800,923.63
50400,933.77
54000,925.73
57600,900.05
61200,858.5
64800,803.89
68400,739.96
72000,671.05
75600,601.87
79200,537.12
82800,481.23
86400,438.0
90000,410.37
93600,400.23
97200,408.27
100800,433.95
104400,475.5
108000,530.11
111600,594.04
115200,662.95
118800,732.13
122400,796.88
126000,852.77
129600,896.0
133200,923.63
136800,933.77
140400,925.73
144000,900.05
147600,858.5
151200,803.89
154800,739.96
158400,671.05
162000,601.87
165600,537.12
169200,481.23
172800,438.0
176400,410.37
180000,400.23
183600,408.27
187200,433.95
190800,475.5
194400,530.11
198000,594.04
201600,662.95
205200,732.13
208800,796.88
212400,852.77
216000,896.0
219600,923.63
223200,933.77
226800,925.73
230400,900.05
234000,858.5
237600,803.89
241200,739.96
244800,671.05
248400,601.87
252000,537.12
255600,481.23
259200,438.0
262800,410.37
266400,400.23
270000,408.27
273600,433.95
277200,475.5
280800,530.11
284400,594.04
288000,662.95
291600,732.13
295200,796.88
298800,852.77
302400,896.0
306000,923.63
309600,933.77
313200,925.73
316800,900.05
320400,858.5
324000,803.89
327600,739.96
331200,671.05
334800,601.87
338400,537.12
342000,481.23
345600,438.0
349200,410.37
352800,400.23
356400,408.27
360000,433.95
363600,475.5
367200,530.11
370800,594.04
374400,662.95
378000,732.13
381600,796.88
385200,852.77
388800,896.0
392400,923.63
396000,933.77
399600,925.73
403200,900.05
406800,858.5
410400,803.89
414000,739.96
417600,671.05
421200,601.87
424800,537.12
428400,481.23
432000,438.0
435600,410.37
439200,400.23
442800,408.27
446400,433.95
450000,475.5
453600,530.11
457200,594.04
460800,662.95
464400,732.13
468000,796.88
471600,852.77
475200,896.0
478800,923.63
482400,933.77
486000,925.73
489600,900.05
493200,858.5
496800,803.89
500400,739.96
504000,671.05
507600,601.87
511200,537.12
514800,481.23
518400,438.0
522000,410.37
525600,400.23
529200,408.27
532800,433.95
536400,475.5
540000,530.11
543600,594.04
547200,662.95
550800,732.13
554400,796.88
558000,852.77
561600,896.0
565200,923.63
568800,933.77
572400,925.73
576000,900.05
579600,858.5
583200,803.89
586800,739.96
590400,671.05
594000,601.87
597600,537.12
601200,481.23
604800,438.0
608400,410.37
612000,400.23
615600,408.27
619200,433.95
622800,475.5
626400,530.11
630000,594.04
633600,662.95
637200,732.13
640800,796.88
644400,852.77
648000,896.0
651600,923.63
655200,933.77
658800,925.73
662400,900.05
666000,858.5
669600,803.89
673200,739.96
676800,671.05
680400,601.87
684000,537.12
687600,481.23
691200,438.0
694800,410.37
698400,400.23
702000,408.27
705600,433.95
709200,475.5
712800,530.11
716400,594.04
720000,662.95
723600,732.13
727200,796.88
730800,852.77
734400,896.0
738000,923.63
741600,933.77
745200,925.73
748800,900.05
752400,858.5
756000,803.89
759600,739.96
763200,671.05
766800,601.87
770400,537.12
774000,481.23
777600,438.0
781200,410.37
784800,400.23
788400,408.27
792000,433.95
795600,475.5
799200,530.11
802800,594.04
806400,662.95
810000,732.13
813600,796.88
817200,852.77
820800,896.0
824400,923.63
828000,933.77
831600,925.73
835200,900.05
838800,858.5
842400,803.89
846000,739.96
849600,671.05
853200,601.87
856800,537.12
860400,481.23
864000,438.0
867600,410.37
871200,400.23
874800,408.27
878400,433.95
882000,475.5
885600,530.11
889200,594.04
892800,662.95
896400,732.13
900000,796.88
903600,852.77
907200,896.0
910800,923.63
914400,933.77
918000,925.73
921600,900.05
925200,858.5
928800,803.89
932400,739.96
936000,671.05
939600,601.87
943200,537.12
946800,481.23
950400,438.0
954000,410.37
957600,400.23
961200,408.27
964800,433.95
968400,475.5
972000,530.11
975600,594.04
979200,662.95
982800,732.13
986400,796.88
990000,852.77
993600,896.0
997200,923.63
1000800,933.77
1004400,925.73
1008000,900.05
1011600,858.5
1015200,803.89
1018800,739.96
1022400,671.05
1026000,601.87
1029600,537.12
1033200,481.23
1036800,438.0
1040400,410.37
1044000,400.23
1047600,408.27
1051200,433.95
1054800,475.5
1058400,530.11
1062000,594.04
1065600,662.95
1069200,732.13
1072800,796.88
1076400,852.77
1080000,896.0
1083600,923.63
1087200,933.77
1090800,925.73
1094400,900.05
1098000,858.5
1101600,803.89
1105200,739.96
1108800,671.05
1112400,601.87
1116000,537.12
1119600,481.23
1123200,438.0
1126800,410.37
1130400,400.23
1134000,408.27
1137600,433.95
1141200,475.5
1144800,530.11
1148400,594.04
1152000,662.95
1155600,732.13
1159200,796.88
1162800,852.77
1166400,896.0
1170000,923.63
1173600,933.77
1177200,925.73
1180800,900.05
1184400,858.5
1188000,803.89
1191600,739.96
1195200,671.05
1198800,601.87
1202400,537.12
1206000,481.23
1209600,438.0
1213200,410.37
1216800,400.23
1220400,408.27
1224000,433.95
1227600,475.5
1231200,530.11
1234800,594.04
1238400,662.95
1242000,732.13
1245600,796.88
1249200,852.77
1252800,896.0
1256400,923.63
1260000,933.77
1263600,925.73
1267200,900.05
1270800,858.5
1274400,803.89
1278000,739.96
1281600,671.05
1285200,601.87
1288800,537.12
1292400,481.23
1296000,438.0
1299600,410.37
1303200,400.23
1306800,408.27
1310400,433.95
1314000,475.5
1317600,530.11
1321200,594.04
1324800,662.95
1328400,732.13
1332000,796.88
1335600,852.77
1339200,896.0
1342800,923.63
1346400,933.77
1350000,925.73
1353600,900.05
1357200,858.5
1360800,803.89
1364400,739.96
1368000,671.05
1371600,601.87
1375200,537.12
1378800,481.23
1382400,438.0
1386000,410.37
1389600,400.23
1393200,408.27
1396800,433.95
1400400,475.5
1404000,530.11
1407600,594.04
1411200,662.95
1414800,732.13
1418400,796.88
1422000,852.77
1425600,896.0
1429200,923.63
1432800,933.77
1436400,925.73
1440000,900.05
1443600,858.5
1447200,803.89
1450800,739.96
1454400,671.05
1458000,601.87
1461600,537.12
1465200,481.23
1468800,438.0
1472400,410.37
1476000,400.23
1479600,408.27
1483200,433.95
1486800,475.5
1490400,530.11
1494000,594.04
1497600,662.95
1501200,732.13
1504800,796.88
1508400,852.77
1512000,896.0
1515600,923.63
1519200,933.77
1522800,925.73
1526400,900.05
1530000,858.5
1533600,803.89
1537200,739.96
1540800,671.05
1544400,601.87
1548000,537.12
1551600,481.23
1555200,438.0
1558800,410.37
1562400,400.23
1566000,408.27
1569600,433.95
1573200,475.5
1576800,530.11
1580400,594.04
1584000,662.95
1587600,732.13
1591200,796.88
1594800,852.77
1598400,896.0
1602000,923.63
1605600,933.77
1609200,925.73
1612800,900.05
1616400,858.5
1620000,803.89
1623600,739.96
1627200,671.05
1630800,601.87
1634400,537.12
1638000,481.23
1641600,438.0
1645200,410.37
1648800,400.23
1652400,408.27
1656000,433.95
1659600,475.5
1663200,530.11
1666800,594.04
1670400,662.95
1674000,732.13
1677600,796.88
1681200,852.77
1684800,896.0
1688400,923.63
1692000,933.77
1695600,925.73
1699200,900.05
1702800,858.5
1706400,803.89
1710000,739.96
1713600,671.05
1717200,601.87
1720800,537.12
1724400,481.23
1728000,438.0
1731600,410.37
1735200,400.23
1738800,408.27
1742400,433.95
1746000,475.5
1749600,530.11
1753200,594.04
1756800,662.95
1760400,732.13
1764000,796.88
1767600,852.77
1771200,896.0
1774800,923.63
1778400,933.77
1782000,925.73
1785600,900.05
1789200,858.5
1792800,803.89
1796400,739.96
1800000,671.05
1803600,601.87
1807200,537.12
1810800,481.23
1814400,438.0
1818000,410.37
1821600,400.23
1825200,408.27
1828800,433.95
1832400,475.5
1836000,530.11
1839600,594.04
1843200,662.95
1846800,732.13
1850400,796.88
1854000,852.77
1857600,896.0
1861200,923.63
1864800,933.77
1868400,925.73
1872000,900.05
1875600,858.5
1879200,803.89
1882800,739.96
1886400,671.05
1890000,601.87
1893600,537.12
1897200,481.23
1900800,438.0
1904400,410.37
1908000,400.23
1911600,408.27
1915200,433.95
1918800,475.5
1922400,530.11
1926000,594.04
1929600,662.95
1933200,732.13
1936800,796.88
1940400,852.77
1944000,896.0
1947600,923.63
1951200,933.77
1954800,925.73
1958400,900.05
1962000,858.5
1965600,803.89
1969200,739.96
1972800,671.05
1976400,601.87
1980000,537.12
1983600,481.23
1987200,438.0
1990800,410.37
1994400,400.23
1998000,408.27
2001600,433.95
2005200,475.5
2008800,530.11
2012400,594.04
2016000,662.95
2019600,732.13
2023200,796.88
2026800,852.77
2030400,896.0
2034000,923.63
2037600,933.77
2041200,925.73
2044800,900.05
2048400,858.5
2052000,803.89
2055600,739.96
2059200,671.05
2062800,601.87
2066400,537.12
2070000,481.23
2073600,438.0
2077200,410.37
2080800,400.23
2084400,408.27
2088000,433.95
2091600,475.5
2095200,530.11
2098800,594.04
2102400,662.95
2106000,732.13
2109600,796.88
2113200,852.77
2116800,896.0
2120400,923.63
2124000,933.77
2127600,925.73
2131200,900.05
2134800,858.5
2138400,803.89
2142000,739.96
2145600,671.05
2149200,601.87
2152800,537.12
2156400,481.23
2160000,438.0
2163600,410.37
2167200,400.23
2170800,408.27
2174400,433.95
2178000,475.5
