t_seconds,gco2_per_kwh
0,650.78
3600,601.57
7200,547.48
10800,492.2
14400,439.5
18000,392.97
21600,355.77
25200,330.45
28800,318.72
32400,321.4
36000,338.29
39600,368.24
43200,409.22
46800,458.43
50400,512.52
54000,567.8
57600,620.5
61200,667.03
64800,704.23
68400,729.55
72000,741.28
75600,738.6
79200,721.71
82800,691.76
86400,650.78
90000,601.57
93600,547.48
97200,492.2
100800,439.5
104400,392.97
108000,355.77
111600,330.45
115200,318.72
118800,321.4
122400,338.29
126000,368.24
129600,409.22
133200,458.43
136800,512.52
140400,567.8
144000,620.5
147600,667.03
151200,704.23
154800,729.55
158400,741.28
162000,738.6
165600,721.71
169200,691.76
172800,650.78
176400,601.57
180000,547.48
183600,492.2
187200,439.5
190800,392.97
194400,355.77
198000,330.45
201600,318.72
205200,321.4
208800,338.29
212400,368.24
216000,409.22
219600,458.43
223200,512.52
226800,567.8
230400,620.5
234000,667.03
237600,704.23
241200,729.55
244800,741.28
248400,738.6
252000,721.71
255600,691.76
259200,650.78
262800,601.57
266400,547.48
270000,492.2
273600,439.5
277200,392.97
280800,355.77
284400,330.45
288000,318.72
291600,321.4
295200,338.29
298800,368.24
302400,409.22
306000,458.43
309600,512.52
313200,567.8
316800,620.5
320400,667.03
324000,704.23
327600,729.55
331200,741.28
334800,738.6
338400,721.71
342000,691.76
345600,650.78
349200,601.57
352800,547.48
356400,492.2
360000,439.5
363600,392.97
367200,355.77
370800,330.45
374400,318.72
378000,321.4
381600,338.29
385200,368.24
388800,409.22
392400,458.43
396000,512.52
399600,567.8
403200,620.5
406800,667.03
410400,704.23
414000,729.55
417600,741.28
421200,738.6
424800,721.71
428400,691.76
432000,650.78
435600,601.57
439200,547.48
442800,492.2
446400,439.5
450000,392.97
453600,355.77
457200,330.45
460800,318.72
464400,321.4
468000,338.29
471600,368.24
475200,409.22
478800,458.43
482400,512.52
486000,567.8
489600,620.5
493200,667.03
496800,704.23
500400,729.55
504000,741.28
507600,738.6
511200,721.71
514800,691.76
518400,650.78
522000,601.57
525600,547.48
529200,492.2
532800,439.5
536400,392.97
540000,355.77
543600,330.45
547200,318.72
550800,321.4
554400,338.29
558000,368.24
561600,409.22
565200,458.43
568800,512.52
572400,567.8
576000,620.5
579600,667.03
583200,704.23
586800,729.55
590400,741.28
594000,738.6
597600,721.71
601200,691.76
604800,650.78
608400,601.57
612000,547.48
615600,492.2
619200,439.5
622800,392.97
626400,355.77
630000,330.45
633600,318.72
637200,321.4
640800,338.29
644400,368.24
648000,409.22
651600,458.43
655200,512.52
658800,567.8
662400,620.5
666000,667.03
