t_seconds,gco2_per_kwh
0,475.0
3600,475.0
7200,475.0
10800,475.0
14400,475.0
18000,475.0
21600,475.0
25200,475.0
28800,475.0
32400,475.0
36000,475.0
39600,475.0
43200,475.0
46800,475.0
50400,475.0
54000,475.0
57600,475.0
61200,475.0
64800,475.0
68400,475.0
72000,475.0
75600,475.0
79200,475.0
82800,475.0
86400,475.0
90000,475.0
93600,475.0
97200,475.0
100800,475.0
104400,475.0
108000,475.0
111600,475.0
115200,475.0
118800,475.0
122400,475.0
126000,475.0
129600,475.0
133200,475.0
136800,475.0
140400,475.0
144000,475.0
147600,475.0
151200,475.0
154800,475.0
158400,475.0
162000,475.0
165600,475.0
169200,475.0
172800,475.0
176400,475.0
180000,475.0
183600,475.0
187200,475.0
190800,475.0
194400,475.0
198000,475.0
201600,475.0
205200,475.0
208800,475.0
212400,475.0
216000,475.0
219600,475.0
223200,475.0
226800,475.0
230400,475.0
234000,475.0
237600,475.0
241200,475.0
244800,475.0
248400,475.0
252000,475.0
255600,475.0
259200,475.0
262800,475.0
266400,475.0
270000,475.0
273600,475.0
277200,475.0
280800,475.0
284400,475.0
288000,475.0
291600,475.0
295200,475.0
298800,475.0
302400,475.0
306000,475.0
309600,475.0
313200,475.0
316800,475.0
320400,475.0
324000,475.0
327600,475.0
331200,475.0
334800,475.0
338400,475.0
342000,475.0
345600,475.0
349200,475.0
352800,475.0
356400,475.0
360000,475.0
363600,475.0
367200,475.0
370800,475.0
374400,475.0
378000,475.0
381600,475.0
385200,475.0
388800,475.0
392400,475.0
396000,475.0
399600,475.0
403200,475.0
406800,475.0
410400,475.0
414000,475.0
417600,475.0
421200,475.0
424800,475.0
428400,475.0
432000,475.0
435600,475.0
439200,475.0
442800,475.0
446400,475.0
450000,475.0
453600,475.0
457200,475.0
460800,475.0
464400,475.0
468000,475.0
471600,475.0
475200,475.0
478800,475.0
482400,475.0
486000,475.0
489600,475.0
493200,475.0
496800,475.0
500400,475.0
504000,475.0
507600,475.0
511200,475.0
514800,475.0
518400,475.0
522000,475.0
525600,475.0
529200,475.0
532800,475.0
536400,475.0
540000,475.0
543600,475.0
547200,475.0
550800,475.0
554400,475.0
558000,475.0
561600,475.0
565200,475.0
568800,475.0
572400,475.0
576000,475.0
579600,475.0
583200,475.0
586800,475.0
590400,475.0
594000,475.0
