t_seconds,gco2_per_kwh
0,1218.55
3600,1163.89
7200,1091.28
10800,1005.68
14400,912.92
18000,819.32
21600,731.26
25200,654.73
28800,594.97
32400,556.03
36000,540.57
39600,549.65
43200,582.65
46800,637.31
50400,709.92
54000,795.52
57600,888.28
61200,981.88
64800,1069.94
68400,1146.47
72000,1206.23
75600,1245.17
79200,1260.63
82800,1251.55
86400,1218.55
90000,1163.89
93600,1091.28
97200,1005.68
100800,912.92
104400,819.32
108000,731.26
111600,654.73
115200,594.97
118800,556.03
122400,540.57
126000,549.65
129600,582.65
133200,637.31
136800,709.92
140400,795.52
144000,888.28
147600,981.88
151200,1069.94
154800,1146.47
158400,1206.23
162000,1245.17
165600,1260.63
169200,1251.55
172800,1218.55
176400,1163.89
180000,1091.28
183600,1005.68
187200,912.92
190800,819.32
194400,731.26
198000,654.73
201600,594.97
205200,556.03
208800,540.57
212400,549.65
216000,582.65
219600,637.31
223200,709.92
226800,795.52
230400,888.28
234000,981.88
237600,1069.94
241200,1146.47
244800,1206.23
248400,1245.17
252000,1260.63
255600,1251.55
259200,1218.55
262800,1163.89
266400,1091.28
270000,1005.68
273600,912.92
277200,819.32
280800,731.26
284400,654.73
288000,594.97
291600,556.03
295200,540.57
298800,549.65
302400,582.65
306000,637.31
309600,709.92
313200,795.52
316800,888.28
320400,981.88
324000,1069.94
327600,1146.47
331200,1206.23
334800,1245.17
338400,1260.63
342000,1251.55
345600,1218.55
349200,1163.89
352800,1091.28
356400,1005.68
360000,912.92
363600,819.32
367200,731.26
370800,654.73
374400,594.97
378000,556.03
381600,540.57
385200,549.65
388800,582.65
392400,637.31
396000,709.92
399600,795.52
403200,888.28
406800,981.88
410400,1069.94
414000,1146.47
417600,1206.23
421200,1245.17
424800,1260.63
428400,1251.55
432000,1218.55
435600,1163.89
439200,1091.28
442800,1005.68
446400,912.92
450000,819.32
453600,731.26
457200,654.73
460800,594.97
464400,556.03
468000,540.57
471600,549.65
475200,582.65
478800,637.31
482400,709.92
486000,795.52
489600,888.28
493200,981.88
496800,1069.94
500400,1146.47
504000,1206.23
507600,1245.17
511200,1260.63
514800,1251.55
518400,1218.55
522000,1163.89
525600,1091.28
529200,1005.68
532800,912.92
536400,819.32
540000,731.26
543600,654.73
547200,594.97
550800,556.03
554400,540.57
558000,549.65
561600,582.65
565200,637.31
568800,709.92
572400,795.52
576000,888.28
579600,981.88
583200,1069.94
586800,1146.47
590400,1206.23
594000,1245.17
597600,1260.63
601200,1251.55
604800,1218.55
608400,1163.89
612000,1091.28
615600,1005.68
619200,912.92
622800,819.32
626400,731.26
630000,654.73
633600,594.97
637200,556.03
640800,540.57
644400,549.65
648000,582.65
651600,637.31
655200,709.92
658800,795.52
662400,888.28
666000,981.88
669600,1069.94
673200,1146.47
676800,1206.23
680400,1245.17
684000,1260.63
687600,1251.55
691200,1218.55
694800,1163.89
698400,1091.28
702000,1005.68
705600,912.92
709200,819.32
712800,731.26
716400,654.73
720000,594.97
723600,556.03
727200,540.57
730800,549.65
734400,582.65
738000,637.31
741600,709.92
745200,795.52
748800,888.28
752400,981.88
756000,1069.94
759600,1146.47
763200,1206.23
766800,1245.17
770400,1260.63
774000,1251.55
777600,1218.55
781200,1163.89
784800,1091.28
788400,1005.68
792000,912.92
795600,819.32
799200,731.26
802800,654.73
806400,594.97
810000,556.03
813600,540.57
817200,549.65
820800,582.65
824400,637.31
828000,709.92
831600,795.52
835200,888.28
838800,981.88
842400,1069.94
846000,1146.47
849600,1206.23
853200,1245.17
856800,1260.63
860400,1251.55
864000,1218.55
867600,1163.89
871200,1091.28
874800,1005.68
878400,912.92
882000,819.32
885600,731.26
889200,654.73
892800,594.97
896400,556.03
900000,540.57
903600,549.65
907200,582.65
910800,637.31
914400,709.92
918000,795.52
921600,888.28
925200,981.88
928800,1069.94
932400,1146.47
936000,1206.23
939600,1245.17
943200,1260.63
946800,1251.55
950400,1218.55
954000,1163.89
957600,1091.28
961200,1005.68
964800,912.92
968400,819.32
972000,731.26
975600,654.73
979200,594.97
982800,556.03
986400,540.57
990000,549.65
993600,582.65
997200,637.31
1000800,709.92
1004400,795.52
1008000,888.28
1011600,981.88
1015200,1069.94
1018800,1146.47
1022400,1206.23
1026000,1245.17
1029600,1260.63
1033200,1251.55
1036800,1218.55
1040400,1163.89
1044000,1091.28
1047600,1005.68
1051200,912.92
1054800,819.32
1058400,731.26
1062000,654.73
1065600,594.97
1069200,556.03
1072800,540.57
1076400,549.65
1080000,582.65
1083600,637.31
1087200,709.92
1090800,795.52
1094400,888.28
1098000,981.88
1101600,1069.94
1105200,1146.47
1108800,1206.23
1112400,1245.17
1116000,1260.63
1119600,1251.55
1123200,1218.55
1126800,1163.89
1130400,1091.28
1134000,1005.68
1137600,912.92
1141200,819.32
1144800,731.26
1148400,654.73
1152000,594.97
1155600,556.03
1159200,540.57
1162800,549.65
1166400,582.65
1170000,637.31
1173600,709.92
1177200,795.52
1180800,888.28
1184400,981.88
1188000,1069.94
1191600,1146.47
1195200,1206.23
1198800,1245.17
1202400,1260.63
1206000,1251.55
1209600,1218.55
1213200,1163.89
1216800,1091.28
1220400,1005.68
1224000,912.92
1227600,819.32
1231200,731.26
1234800,654.73
1238400,594.97
1242000,556.03
1245600,540.57
1249200,549.65
1252800,582.65
1256400,637.31
1260000,709.92
1263600,795.52
1267200,888.28
1270800,981.88
1274400,1069.94
1278000,1146.47
1281600,1206.23
1285200,1245.17
1288800,1260.63
1292400,1251.55
1296000,1218.55
1299600,1163.89
1303200,1091.28
1306800,1005.68
1310400,912.92
1314000,819.32
1317600,731.26
1321200,654.73
1324800,594.97
1328400,556.03
1332000,540.57
1335600,549.65
1339200,582.65
1342800,637.31
1346400,709.92
1350000,795.52
1353600,888.28
1357200,981.88
1360800,1069.94
1364400,1146.47
1368000,1206.23
1371600,1245.17
1375200,1260.63
1378800,1251.55
1382400,1218.55
1386000,1163.89
1389600,1091.28
1393200,1005.68
1396800,912.92
1400400,819.32
1404000,731.26
1407600,654.73
1411200,594.97
1414800,556.03
1418400,540.57
1422000,549.65
1425600,582.65
1429200,637.31
1432800,709.92
1436400,795.52
1440000,888.28
1443600,981.88
1447200,1069.94
1450800,1146.47
1454400,1206.23
1458000,1245.17
1461600,1260.63
1465200,1251.55
1468800,1218.55
1472400,1163.89
1476000,1091.28
1479600,1005.68
1483200,912.92
1486800,819.32
1490400,731.26
1494000,654.73
1497600,594.97
1501200,556.03
1504800,540.57
1508400,549.65
1512000,582.65
1515600,637.31
1519200,709.92
1522800,795.52
1526400,888.28
1530000,981.88
1533600,1069.94
1537200,1146.47
1540800,1206.23
1544400,1245.17
1548000,1260.63
1551600,1251.55
1555200,1218.55
1558800,1163.89
1562400,1091.28
1566000,1005.68
1569600,912.92
1573200,819.32
