t_seconds,gco2_per_kwh
0,91.0
3600,90.18
7200,87.65
10800,83.57
14400,78.23
18000,71.98
21600,65.26
25200,58.53
28800,52.23
32400,46.8
36000,42.62
39600,39.96
43200,39.0
46800,39.82
50400,42.35
54000,46.43
57600,51.77
61200,58.02
64800,64.74
68400,71.47
72000,77.77
75600,83.2
79200,87.38
82800,90.04
86400,91.0
90000,90.18
93600,87.65
97200,83.57
100800,78.23
104400,71.98
108000,65.26
111600,58.53
115200,52.23
118800,46.8
122400,42.62
126000,39.96
129600,39.0
133200,39.82
136800,42.35
140400,46.43
144000,51.77
147600,58.02
151200,64.74
154800,71.47
158400,77.77
162000,83.2
165600,87.38
169200,90.04
172800,91.0
176400,90.18
180000,87.65
183600,83.57
187200,78.23
190800,71.98
194400,65.26
198000,58.53
201600,52.23
205200,46.8
208800,42.62
212400,39.96
216000,39.0
219600,39.82
223200,42.35
226800,46.43
230400,51.77
234000,58.02
237600,64.74
241200,71.47
244800,77.77
248400,83.2
252000,87.38
255600,90.04
259200,91.0
262800,90.18
266400,87.65
270000,83.57
273600,78.23
277200,71.98
280800,65.26
284400,58.53
288000,52.23
291600,46.8
295200,42.62
298800,39.96
302400,39.0
306000,39.82
309600,42.35
313200,46.43
316800,51.77
320400,58.02
324000,64.74
327600,71.47
331200,77.77
334800,83.2
338400,87.38
342000,90.04
345600,91.0
349200,90.18
352800,87.65
356400,83.57
360000,78.23
363600,71.98
367200,65.26
370800,58.53
374400,52.23
378000,46.8
381600,42.62
385200,39.96
388800,39.0
392400,39.82
396000,42.35
399600,46.43
403200,51.77
406800,58.02
410400,64.74
414000,71.47
417600,77.77
421200,83.2
424800,87.38
428400,90.04
432000,91.0
435600,90.18
439200,87.65
442800,83.57
446400,78.23
450000,71.98
453600,65.26
457200,58.53
460800,52.23
464400,46.8
468000,42.62
471600,39.96
475200,39.0
478800,39.82
482400,42.35
486000,46.43
489600,51.77
493200,58.02
496800,64.74
500400,71.47
504000,77.77
507600,83.2
511200,87.38
514800,90.04
518400,91.0
522000,90.18
525600,87.65
529200,83.57
532800,78.23
536400,71.98
540000,65.26
543600,58.53
547200,52.23
550800,46.8
554400,42.62
558000,39.96
561600,39.0
565200,39.82
568800,42.35
572400,46.43
576000,51.77
579600,58.02
583200,64.74
586800,71.47
590400,77.77
594000,83.2
597600,87.38
601200,90.04
604800,91.0
608400,90.18
612000,87.65
615600,83.57
619200,78.23
622800,71.98
626400,65.26
630000,58.53
633600,52.23
637200,46.8
640800,42.62
644400,39.96
648000,39.0
651600,39.82
655200,42.35
658800,46.43
662400,51.77
666000,58.02
669600,64.74
673200,71.47
676800,77.77
680400,83.2
684000,87.38
687600,90.04
691200,91.0
694800,90.18
698400,87.65
702000,83.57
705600,78.23
709200,71.98
712800,65.26
716400,58.53
720000,52.23
723600,46.8
727200,42.62
730800,39.96
734400,39.0
738000,39.82
741600,42.35
745200,46.43
748800,51.77
752400,58.02
756000,64.74
759600,71.47
763200,77.77
766800,83.2
770400,87.38
774000,90.04
777600,91.0
781200,90.18
784800,87.65
788400,83.57
792000,78.23
795600,71.98
799200,65.26
802800,58.53
806400,52.23
810000,46.8
813600,42.62
817200,39.96
820800,39.0
824400,39.82
828000,42.35
831600,46.43
835200,51.77
838800,58.02
842400,64.74
846000,71.47
849600,77.77
853200,83.2
856800,87.38
860400,90.04
864000,91.0
867600,90.18
871200,87.65
874800,83.57
878400,78.23
882000,71.98
885600,65.26
889200,58.53
892800,52.23
896400,46.8
900000,42.62
903600,39.96
907200,39.0
910800,39.82
914400,42.35
918000,46.43
921600,51.77
925200,58.02
928800,64.74
932400,71.47
936000,77.77
939600,83.2
943200,87.38
946800,90.04
950400,91.0
954000,90.18
957600,87.65
961200,83.57
964800,78.23
968400,71.98
972000,65.26
975600,58.53
979200,52.23
982800,46.8
986400,42.62
990000,39.96
993600,39.0
997200,39.82
1000800,42.35
1004400,46.43
1008000,51.77
1011600,58.02
1015200,64.74
1018800,71.47
1022400,77.77
1026000,83.2
1029600,87.38
1033200,90.04
1036800,91.0
1040400,90.18
1044000,87.65
1047600,83.57
1051200,78.23
1054800,71.98
1058400,65.26
1062000,58.53
1065600,52.23
1069200,46.8
1072800,42.62
1076400,39.96
1080000,39.0
1083600,39.82
1087200,42.35
1090800,46.43
1094400,51.77
1098000,58.02
1101600,64.74
1105200,71.47
1108800,77.77
1112400,83.2
1116000,87.38
1119600,90.04
1123200,91.0
1126800,90.18
1130400,87.65
1134000,83.57
1137600,78.23
1141200,71.98
1144800,65.26
1148400,58.53
1152000,52.23
1155600,46.8
1159200,42.62
1162800,39.96
1166400,39.0
1170000,39.82
1173600,42.35
1177200,46.43
1180800,51.77
1184400,58.02
1188000,64.74
1191600,71.47
1195200,77.77
1198800,83.2
1202400,87.38
1206000,90.04
1209600,91.0
1213200,90.18
1216800,87.65
1220400,83.57
1224000,78.23
1227600,71.98
1231200,65.26
1234800,58.53
1238400,52.23
1242000,46.8
1245600,42.62
1249200,39.96
1252800,39.0
1256400,39.82
1260000,42.35
1263600,46.43
1267200,51.77
1270800,58.02
1274400,64.74
1278000,71.47
1281600,77.77
1285200,83.2
1288800,87.38
1292400,90.04
1296000,91.0
1299600,90.18
1303200,87.65
1306800,83.57
1310400,78.23
1314000,71.98
1317600,65.26
1321200,58.53
1324800,52.23
1328400,46.8
1332000,42.62
1335600,39.96
1339200,39.0
1342800,39.82
1346400,42.35
1350000,46.43
