t_seconds,gco2_per_kwh
0,58.72
3600,57.71
7200,55.64
10800,52.64
14400,48.91
18000,44.71
21600,40.33
25200,36.06
28800,32.19
32400,29.0
36000,26.69
39600,25.42
43200,25.28
46800,26.29
50400,28.36
54000,31.36
57600,35.09
61200,39.29
64800,43.67
68400,47.94
72000,51.81
75600,55.0
79200,57.31
82800,58.58
86400,58.72
90000,57.71
93600,55.64
97200,52.64
100800,48.91
104400,44.71
108000,40.33
111600,36.06
115200,32.19
118800,29.0
122400,26.69
126000,25.42
129600,25.28
133200,26.29
136800,28.36
140400,31.36
144000,35.09
147600,39.29
151200,43.67
154800,47.94
158400,51.81
162000,55.0
165600,57.31
169200,58.58
172800,58.72
176400,57.71
180000,55.64
183600,52.64
187200,48.91
190800,44.71
194400,40.33
198000,36.06
201600,32.19
205200,29.0
208800,26.69
212400,25.42
216000,25.28
219600,26.29
223200,28.36
226800,31.36
230400,35.09
234000,39.29
237600,43.67
241200,47.94
244800,51.81
248400,55.0
252000,57.31
255600,58.58
259200,58.72
262800,57.71
266400,55.64
270000,52.64
273600,48.91
277200,44.71
280800,40.33
284400,36.06
288000,32.19
291600,29.0
295200,26.69
298800,25.42
302400,25.28
306000,26.29
309600,28.36
313200,31.36
316800,35.09
320400,39.29
324000,43.67
327600,47.94
331200,51.81
334800,55.0
338400,57.31
342000,58.58
345600,58.72
349200,57.71
352800,55.64
356400,52.64
360000,48.91
363600,44.71
367200,40.33
370800,36.06
374400,32.19
378000,29.0
381600,26.69
385200,25.42
388800,25.28
392400,26.29
396000,28.36
399600,31.36
403200,35.09
406800,39.29
410400,43.67
414000,47.94
417600,51.81
421200,55.0
424800,57.31
428400,58.58
432000,58.72
435600,57.71
439200,55.64
442800,52.64
446400,48.91
450000,44.71
453600,40.33
457200,36.06
460800,32.19
464400,29.0
468000,26.69
471600,25.42
475200,25.28
478800,26.29
482400,28.36
486000,31.36
489600,35.09
493200,39.29
496800,43.67
500400,47.94
504000,51.81
507600,55.0
511200,57.31
514800,58.58
518400,58.72
522000,57.71
525600,55.64
529200,52.64
532800,48.91
536400,44.71
540000,40.33
543600,36.06
547200,32.19
550800,29.0
554400,26.69
558000,25.42
561600,25.28
565200,26.29
568800,28.36
572400,31.36
576000,35.09
579600,39.29
583200,43.67
586800,47.94
590400,51.81
594000,55.0
597600,57.31
601200,58.58
604800,58.72
608400,57.71
612000,55.64
615600,52.64
619200,48.91
622800,44.71
626400,40.33
630000,36.06
633600,32.19
637200,29.0
640800,26.69
644400,25.42
648000,25.28
651600,26.29
655200,28.36
658800,31.36
662400,35.09
666000,39.29
669600,43.67
673200,47.94
676800,51.81
680400,55.0
684000,57.31
687600,58.58
691200,58.72
694800,57.71
698400,55.64
702000,52.64
705600,48.91
709200,44.71
712800,40.33
716400,36.06
720000,32.19
723600,29.0
727200,26.69
730800,25.42
734400,25.28
738000,26.29
741600,28.36
745200,31.36
748800,35.09
752400,39.29
756000,43.67
759600,47.94
763200,51.81
766800,55.0
770400,57.31
774000,58.58
777600,58.72
781200,57.71
784800,55.64
788400,52.64
792000,48.91
795600,44.71
799200,40.33
802800,36.06
806400,32.19
810000,29.0
813600,26.69
817200,25.42
820800,25.28
824400,26.29
828000,28.36
831600,31.36
835200,35.09
838800,39.29
842400,43.67
846000,47.94
849600,51.81
853200,55.0
856800,57.31
860400,58.58
864000,58.72
867600,57.71
871200,55.64
874800,52.64
878400,48.91
882000,44.71
885600,40.33
889200,36.06
892800,32.19
896400,29.0
900000,26.69
903600,25.42
907200,25.28
910800,26.29
914400,28.36
918000,31.36
921600,35.09
925200,39.29
928800,43.67
932400,47.94
936000,51.81
939600,55.0
943200,57.31
946800,58.58
950400,58.72
954000,57.71
957600,55.64
961200,52.64
964800,48.91
968400,44.71
972000,40.33
975600,36.06
979200,32.19
982800,29.0
986400,26.69
990000,25.42
993600,25.28
997200,26.29
