t_seconds,gco2_per_kwh
0,86.76
3600,85.58
7200,82.78
10800,78.57
14400,73.23
18000,67.13
21600,60.67
25200,54.31
28800,48.47
32400,43.55
36000,39.89
39600,37.74
43200,37.24
46800,38.42
50400,41.22
54000,45.43
57600,50.77
61200,56.87
64800,63.33
68400,69.69
72000,75.53
75600,80.45
79200,84.11
82800,86.26
86400,86.76
90000,85.58
93600,82.78
97200,78.57
100800,73.23
104400,67.13
108000,60.67
111600,54.31
115200,48.47
118800,43.55
122400,39.89
126000,37.74
129600,37.24
133200,38.42
136800,41.22
140400,45.43
144000,50.77
147600,56.87
151200,63.33
154800,69.69
158400,75.53
162000,80.45
165600,84.11
169200,86.26
172800,86.76
176400,85.58
180000,82.78
183600,78.57
187200,73.23
190800,67.13
194400,60.67
198000,54.31
201600,48.47
205200,43.55
208800,39.89
212400,37.74
216000,37.24
219600,38.42
223200,41.22
226800,45.43
230400,50.77
234000,56.87
237600,63.33
241200,69.69
244800,75.53
248400,80.45
252000,84.11
255600,86.26
259200,86.76
262800,85.58
266400,82.78
270000,78.57
273600,73.23
277200,67.13
280800,60.67
284400,54.31
288000,48.47
291600,43.55
295200,39.89
298800,37.74
302400,37.24
306000,38.42
309600,41.22
313200,45.43
316800,50.77
320400,56.87
324000,63.33
327600,69.69
331200,75.53
334800,80.45
338400,84.11
342000,86.26
345600,86.76
349200,85.58
352800,82.78
356400,78.57
360000,73.23
363600,67.13
367200,60.67
370800,54.31
374400,48.47
378000,43.55
381600,39.89
385200,37.74
388800,37.24
392400,38.42
396000,41.22
399600,45.43
403200,50.77
406800,56.87
410400,63.33
414000,69.69
417600,75.53
421200,80.45
424800,84.11
428400,86.26
432000,86.76
435600,85.58
439200,82.78
442800,78.57
446400,73.23
450000,67.13
453600,60.67
457200,54.31
460800,48.47
464400,43.55
468000,39.89
471600,37.74
475200,37.24
478800,38.42
482400,41.22
486000,45.43
489600,50.77
493200,56.87
496800,63.33
500400,69.69
504000,75.53
507600,80.45
511200,84.11
514800,86.26
518400,86.76
522000,85.58
525600,82.78
529200,78.57
532800,73.23
536400,67.13
540000,60.67
543600,54.31
547200,48.47
550800,43.55
554400,39.89
558000,37.74
561600,37.24
565200,38.42
568800,41.22
572400,45.43
576000,50.77
579600,56.87
583200,63.33
586800,69.69
590400,75.53
594000,80.45
597600,84.11
601200,86.26
604800,86.76
608400,85.58
612000,82.78
615600,78.57
619200,73.23
622800,67.13
626400,60.67
630000,54.31
633600,48.47
637200,43.55
640800,39.89
644400,37.74
648000,37.24
651600,38.42
655200,41.22
658800,45.43
662400,50.77
666000,56.87
669600,63.33
673200,69.69
676800,75.53
680400,80.45
684000,84.11
687600,86.26
691200,86.76
694800,85.58
698400,82.78
702000,78.57
705600,73.23
709200,67.13
712800,60.67
716400,54.31
720000,48.47
723600,43.55
727200,39.89
730800,37.74
734400,37.24
738000,38.42
741600,41.22
745200,45.43
748800,50.77
752400,56.87
756000,63.33
759600,69.69
763200,75.53
766800,80.45
770400,84.11
774000,86.26
777600,86.76
781200,85.58
784800,82.78
788400,78.57
792000,73.23
795600,67.13
799200,60.67
802800,54.31
806400,48.47
810000,43.55
813600,39.89
817200,37.74
820800,37.24
824400,38.42
828000,41.22
831600,45.43
835200,50.77
838800,56.87
842400,63.33
846000,69.69
849600,75.53
853200,80.45
856800,84.11
860400,86.26
864000,86.76
867600,85.58
871200,82.78
874800,78.57
878400,73.23
882000,67.13
885600,60.67
889200,54.31
892800,48.47
896400,43.55
900000,39.89
903600,37.74
907200,37.24
910800,38.42
914400,41.22
918000,45.43
921600,50.77
925200,56.87
928800,63.33
932400,69.69
936000,75.53
939600,80.45
943200,84.11
946800,86.26
950400,86.76
954000,85.58
957600,82.78
961200,78.57
964800,73.23
968400,67.13
972000,60.67
975600,54.31
979200,48.47
982800,43.55
986400,39.89
990000,37.74
993600,37.24
997200,38.42
1000800,41.22
1004400,45.43
1008000,50.77
1011600,56.87
1015200,63.33
1018800,69.69
1022400,75.53
1026000,80.45
1029600,84.11
1033200,86.26
1036800,86.76
1040400,85.58
1044000,82.78
1047600,78.57
1051200,73.23
1054800,67.13
1058400,60.67
1062000,54.31
1065600,48.47
1069200,43.55
1072800,39.89
1076400,37.74
1080000,37.24
1083600,38.42
1087200,41.22
1090800,45.43
1094400,50.77
1098000,56.87
1101600,63.33
1105200,69.69
1108800,75.53
1112400,80.45
1116000,84.11
1119600,86.26
1123200,86.76
1126800,85.58
1130400,82.78
1134000,78.57
1137600,73.23
1141200,67.13
1144800,60.67
1148400,54.31
1152000,48.47
1155600,43.55
1159200,39.89
1162800,37.74
1166400,37.24
1170000,38.42
1173600,41.22
1177200,45.43
1180800,50.77
1184400,56.87
1188000,63.33
1191600,69.69
1195200,75.53
1198800,80.45
1202400,84.11
1206000,86.26
1209600,86.76
1213200,85.58
1216800,82.78
1220400,78.57
1224000,73.23
1227600,67.13
1231200,60.67
1234800,54.31
1238400,48.47
1242000,43.55
1245600,39.89
1249200,37.74
1252800,37.24
1256400,38.42
1260000,41.22
1263600,45.43
1267200,50.77
1270800,56.87
1274400,63.33
1278000,69.69
1281600,75.53
1285200,80.45
1288800,84.11
1292400,86.26
1296000,86.76
1299600,85.58
1303200,82.78
1306800,78.57
1310400,73.23
1314000,67.13
1317600,60.67
1321200,54.31
1324800,48.47
1328400,43.55
1332000,39.89
1335600,37.74
1339200,37.24
1342800,38.42
1346400,41.22
1350000,45.43
1353600,50.77
1357200,56.87
1360800,63.33
1364400,69.69
1368000,75.53
1371600,80.45
1375200,84.11
1378800,86.26
1382400,86.76
1386000,85.58
1389600,82.78
1393200,78.57
1396800,73.23
1400400,67.13
1404000,60.67
1407600,54.31
1411200,48.47
1414800,43.55
1418400,39.89
1422000,37.74
1425600,37.24
1429200,38.42
1432800,41.22
1436400,45.43
1440000,50.77
1443600,56.87
1447200,63.33
1450800,69.69
1454400,75.53
1458000,80.45
1461600,84.11
1465200,86.26
1468800,86.76
1472400,85.58
1476000,82.78
1479600,78.57
1483200,73.23
1486800,67.13
1490400,60.67
1494000,54.31
1497600,48.47
1501200,43.55
1504800,39.89
1508400,37.74
1512000,37.24
1515600,38.42
1519200,41.22
1522800,45.43
1526400,50.77
1530000,56.87
1533600,63.33
1537200,69.69
1540800,75.53
1544400,80.45
1548000,84.11
1551600,86.26
1555200,86.76
1558800,85.58
1562400,82.78
1566000,78.57
1569600,73.23
1573200,67.13
1576800,60.67
1580400,54.31
1584000,48.47
1587600,43.55
1591200,39.89
1594800,37.74
1598400,37.24
1602000,38.42
1605600,41.22
1609200,45.43
1612800,50.77
1616400,56.87
1620000,63.33
1623600,69.69
1627200,75.53
1630800,80.45
1634400,84.11
1638000,86.26
1641600,86.76
1645200,85.58
1648800,82.78
1652400,78.57
1656000,73.23
1659600,67.13
1663200,60.67
1666800,54.31
1670400,48.47
1674000,43.55
1677600,39.89
1681200,37.74
1684800,37.24
1688400,38.42
1692000,41.22
1695600,45.43
1699200,50.77
1702800,56.87
1706400,63.33
1710000,69.69
1713600,75.53
1717200,80.45
1720800,84.11
1724400,86.26
1728000,86.76
1731600,85.58
1735200,82.78
1738800,78.57
1742400,73.23
1746000,67.13
1749600,60.67
1753200,54.31
1756800,48.47
1760400,43.55
1764000,39.89
1767600,37.74
1771200,37.24
1774800,38.42
1778400,41.22
1782000,45.43
1785600,50.77
1789200,56.87
1792800,63.33
1796400,69.69
1800000,75.53
1803600,80.45
1807200,84.11
1810800,86.26
1814400,86.76
1818000,85.58
1821600,82.78
1825200,78.57
1828800,73.23
1832400,67.13
1836000,60.67
1839600,54.31
1843200,48.47
1846800,43.55
1850400,39.89
1854000,37.74
1857600,37.24
1861200,38.42
1864800,41.22
1868400,45.43
1872000,50.77
1875600,56.87
1879200,63.33
1882800,69.69
1886400,75.53
1890000,80.45
1893600,84.11
1897200,86.26
1900800,86.76
1904400,85.58
1908000,82.78
1911600,78.57
1915200,73.23
1918800,67.13
1922400,60.67
1926000,54.31
1929600,48.47
1933200,43.55
1936800,39.89
1940400,37.74
1944000,37.24
1947600,38.42
1951200,41.22
1954800,45.43
1958400,50.77
1962000,56.87
1965600,63.33
1969200,69.69
1972800,75.53
1976400,80.45
1980000,84.11
1983600,86.26
1987200,86.76
1990800,85.58
1994400,82.78
1998000,78.57
2001600,73.23
2005200,67.13
2008800,60.67
2012400,54.31
2016000,48.47
2019600,43.55
2023200,39.89
2026800,37.74
2030400,37.24
2034000,38.42
2037600,41.22
2041200,45.43
2044800,50.77
2048400,56.87
2052000,63.33
2055600,69.69
2059200,75.53
2062800,80.45
2066400,84.11
2070000,86.26
2073600,86.76
2077200,85.58
2080800,82.78
2084400,78.57
2088000,73.23
2091600,67.13
2095200,60.67
2098800,54.31
2102400,48.47
2106000,43.55
2109600,39.89
