t_seconds,gco2_per_kwh
0,95.1
3600,93.59
7200,90.33
10800,85.55
14400,79.57
18000,72.8
21600,65.71
25200,58.77
28800,52.46
32400,47.22
36000,43.38
39600,41.23
43200,40.9
46800,42.41
50400,45.67
54000,50.45
57600,56.43
61200,63.2
64800,70.29
68400,77.23
72000,83.54
75600,88.78
79200,92.62
82800,94.77
86400,95.1
90000,93.59
93600,90.33
97200,85.55
100800,79.57
104400,72.8
108000,65.71
111600,58.77
115200,52.46
118800,47.22
122400,43.38
126000,41.23
129600,40.9
133200,42.41
136800,45.67
140400,50.45
144000,56.43
147600,63.2
151200,70.29
154800,77.23
158400,83.54
162000,88.78
165600,92.62
169200,94.77
172800,95.1
176400,93.59
180000,90.33
183600,85.55
187200,79.57
190800,72.8
194400,65.71
198000,58.77
201600,52.46
205200,47.22
208800,43.38
212400,41.23
216000,40.9
219600,42.41
223200,45.67
226800,50.45
230400,56.43
234000,63.2
237600,70.29
241200,77.23
244800,83.54
248400,88.78
252000,92.62
255600,94.77
259200,95.1
262800,93.59
266400,90.33
270000,85.55
273600,79.57
277200,72.8
280800,65.71
284400,58.77
288000,52.46
291600,47.22
295200,43.38
298800,41.23
302400,40.9
306000,42.41
309600,45.67
313200,50.45
316800,56.43
320400,63.2
324000,70.29
327600,77.23
331200,83.54
334800,88.78
338400,92.62
342000,94.77
345600,95.1
349200,93.59
352800,90.33
356400,85.55
360000,79.57
363600,72.8
367200,65.71
370800,58.77
374400,52.46
378000,47.22
381600,43.38
385200,41.23
388800,40.9
392400,42.41
396000,45.67
399600,50.45
403200,56.43
406800,63.2
410400,70.29
414000,77.23
417600,83.54
421200,88.78
424800,92.62
428400,94.77
432000,95.1
435600,93.59
439200,90.33
442800,85.55
446400,79.57
450000,72.8
453600,65.71
457200,58.77
460800,52.46
464400,47.22
468000,43.38
471600,41.23
475200,40.9
478800,42.41
482400,45.67
486000,50.45
489600,56.43
493200,63.2
496800,70.29
500400,77.23
504000,83.54
507600,88.78
511200,92.62
514800,94.77
518400,95.1
522000,93.59
525600,90.33
529200,85.55
532800,79.57
536400,72.8
540000,65.71
543600,58.77
547200,52.46
550800,47.22
554400,43.38
558000,41.23
561600,40.9
565200,42.41
568800,45.67
572400,50.45
576000,56.43
579600,63.2
583200,70.29
586800,77.23
590400,83.54
594000,88.78
597600,92.62
601200,94.77
604800,95.1
608400,93.59
612000,90.33
615600,85.55
619200,79.57
622800,72.8
626400,65.71
630000,58.77
633600,52.46
637200,47.22
640800,43.38
644400,41.23
648000,40.9
651600,42.41
655200,45.67
658800,50.45
662400,56.43
666000,63.2
669600,70.29
673200,77.23
676800,83.54
680400,88.78
684000,92.62
687600,94.77
691200,95.1
694800,93.59
698400,90.33
702000,85.55
705600,79.57
709200,72.8
712800,65.71
716400,58.77
720000,52.46
723600,47.22
727200,43.38
730800,41.23
734400,40.9
738000,42.41
741600,45.67
745200,50.45
748800,56.43
752400,63.2
756000,70.29
759600,77.23
763200,83.54
766800,88.78
770400,92.62
774000,94.77
777600,95.1
781200,93.59
784800,90.33
788400,85.55
792000,79.57
795600,72.8
799200,65.71
802800,58.77
806400,52.46
810000,47.22
813600,43.38
817200,41.23
820800,40.9
824400,42.41
828000,45.67
831600,50.45
835200,56.43
838800,63.2
842400,70.29
846000,77.23
849600,83.54
853200,88.78
856800,92.62
860400,94.77
864000,95.1
867600,93.59
871200,90.33
874800,85.55
878400,79.57
882000,72.8
885600,65.71
889200,58.77
892800,52.46
896400,47.22
900000,43.38
903600,41.23
907200,40.9
910800,42.41
914400,45.67
918000,50.45
921600,56.43
925200,63.2
928800,70.29
932400,77.23
936000,83.54
939600,88.78
943200,92.62
946800,94.77
950400,95.1
954000,93.59
957600,90.33
961200,85.55
964800,79.57
968400,72.8
972000,65.71
975600,58.77
979200,52.46
982800,47.22
986400,43.38
990000,41.23
993600,40.9
997200,42.41
1000800,45.67
1004400,50.45
1008000,56.43
1011600,63.2
1015200,70.29
1018800,77.23
1022400,83.54
1026000,88.78
1029600,92.62
1033200,94.77
1036800,95.1
1040400,93.59
1044000,90.33
1047600,85.55
1051200,79.57
1054800,72.8
1058400,65.71
1062000,58.77
1065600,52.46
1069200,47.22
1072800,43.38
1076400,41.23
1080000,40.9
1083600,42.41
1087200,45.67
1090800,50.45
1094400,56.43
1098000,63.2
1101600,70.29
1105200,77.23
1108800,83.54
1112400,88.78
1116000,92.62
1119600,94.77
1123200,95.1
1126800,93.59
1130400,90.33
1134000,85.55
1137600,79.57
1141200,72.8
1144800,65.71
1148400,58.77
1152000,52.46
1155600,47.22
1159200,43.38
1162800,41.23
1166400,40.9
1170000,42.41
1173600,45.67
1177200,50.45
1180800,56.43
1184400,63.2
1188000,70.29
1191600,77.23
1195200,83.54
1198800,88.78
1202400,92.62
1206000,94.77
1209600,95.1
1213200,93.59
1216800,90.33
1220400,85.55
1224000,79.57
1227600,72.8
1231200,65.71
1234800,58.77
1238400,52.46
1242000,47.22
1245600,43.38
1249200,41.23
1252800,40.9
1256400,42.41
1260000,45.67
1263600,50.45
1267200,56.43
1270800,63.2
1274400,70.29
1278000,77.23
1281600,83.54
1285200,88.78
1288800,92.62
1292400,94.77
1296000,95.1
1299600,93.59
1303200,90.33
1306800,85.55
1310400,79.57
1314000,72.8
1317600,65.71
1321200,58.77
1324800,52.46
1328400,47.22
1332000,43.38
1335600,41.23
1339200,40.9
1342800,42.41
1346400,45.67
1350000,50.45
1353600,56.43
1357200,63.2
1360800,70.29
1364400,77.23
1368000,83.54
1371600,88.78
1375200,92.62
1378800,94.77
1382400,95.1
1386000,93.59
1389600,90.33
1393200,85.55
1396800,79.57
1400400,72.8
1404000,65.71
1407600,58.77
1411200,52.46
1414800,47.22
1418400,43.38
1422000,41.23
1425600,40.9
1429200,42.41
1432800,45.67
1436400,50.45
1440000,56.43
1443600,63.2
1447200,70.29
1450800,77.23
1454400,83.54
1458000,88.78
1461600,92.62
1465200,94.77
1468800,95.1
1472400,93.59
1476000,90.33
1479600,85.55
1483200,79.57
1486800,72.8
1490400,65.71
1494000,58.77
1497600,52.46
1501200,47.22
1504800,43.38
1508400,41.23
1512000,40.9
1515600,42.41
1519200,45.67
1522800,50.45
1526400,56.43
1530000,63.2
1533600,70.29
1537200,77.23
1540800,83.54
1544400,88.78
1548000,92.62
1551600,94.77
1555200,95.1
1558800,93.59
1562400,90.33
1566000,85.55
1569600,79.57
1573200,72.8
1576800,65.71
1580400,58.77
1584000,52.46
1587600,47.22
1591200,43.38
1594800,41.23
1598400,40.9
1602000,42.41
1605600,45.67
1609200,50.45
1612800,56.43
1616400,63.2
1620000,70.29
1623600,77.23
1627200,83.54
1630800,88.78
1634400,92.62
1638000,94.77
1641600,95.1
1645200,93.59
1648800,90.33
1652400,85.55
1656000,79.57
1659600,72.8
1663200,65.71
1666800,58.77
1670400,52.46
1674000,47.22
1677600,43.38
1681200,41.23
1684800,40.9
1688400,42.41
1692000,45.67
1695600,50.45
1699200,56.43
1702800,63.2
1706400,70.29
1710000,77.23
1713600,83.54
1717200,88.78
1720800,92.62
