t_seconds,gco2_per_kwh
0,109.02
3600,107.09
7200,103.18
10800,97.56
14400,90.6
18000,82.78
21600,74.64
25200,66.73
28800,59.58
32400,53.69
36000,49.46
39600,47.17
43200,46.98
46800,48.91
50400,52.82
54000,58.44
57600,65.4
61200,73.22
64800,81.36
68400,89.27
72000,96.42
75600,102.31
79200,106.54
82800,108.83
86400,109.02
90000,107.09
93600,103.18
97200,97.56
100800,90.6
104400,82.78
108000,74.64
111600,66.73
115200,59.58
118800,53.69
122400,49.46
126000,47.17
129600,46.98
133200,48.91
136800,52.82
140400,58.44
144000,65.4
147600,73.22
151200,81.36
154800,89.27
158400,96.42
162000,102.31
165600,106.54
169200,108.83
172800,109.02
176400,107.09
180000,103.18
183600,97.56
187200,90.6
190800,82.78
194400,74.64
198000,66.73
201600,59.58
205200,53.69
208800,49.46
212400,47.17
216000,46.98
219600,48.91
223200,52.82
226800,58.44
230400,65.4
234000,73.22
237600,81.36
241200,89.27
244800,96.42
248400,102.31
252000,106.54
255600,108.83
259200,109.02
262800,107.09
266400,103.18
270000,97.56
273600,90.6
277200,82.78
280800,74.64
284400,66.73
288000,59.58
291600,53.69
295200,49.46
298800,47.17
302400,46.98
306000,48.91
309600,52.82
313200,58.44
316800,65.4
320400,73.22
324000,81.36
327600,89.27
331200,96.42
334800,102.31
338400,106.54
342000,108.83
345600,109.02
349200,107.09
352800,103.18
356400,97.56
360000,90.6
363600,82.78
367200,74.64
370800,66.73
374400,59.58
378000,53.69
381600,49.46
385200,47.17
388800,46.98
392400,48.91
396000,52.82
399600,58.44
403200,65.4
406800,73.22
410400,81.36
414000,89.27
417600,96.42
421200,102.31
424800,106.54
428400,108.83
432000,109.02
435600,107.09
439200,103.18
442800,97.56
446400,90.6
450000,82.78
453600,74.64
457200,66.73
460800,59.58
464400,53.69
468000,49.46
471600,47.17
475200,46.98
478800,48.91
482400,52.82
486000,58.44
489600,65.4
493200,73.22
496800,81.36
500400,89.27
504000,96.42
507600,102.31
511200,106.54
514800,108.83
518400,109.02
522000,107.09
525600,103.18
529200,97.56
532800,90.6
536400,82.78
540000,74.64
543600,66.73
547200,59.58
550800,53.69
554400,49.46
558000,47.17
561600,46.98
565200,48.91
568800,52.82
572400,58.44
576000,65.4
579600,73.22
583200,81.36
586800,89.27
590400,96.42
594000,102.31
597600,106.54
601200,108.83
604800,109.02
608400,107.09
612000,103.18
615600,97.56
619200,90.6
622800,82.78
626400,74.64
630000,66.73
633600,59.58
637200,53.69
640800,49.46
644400,47.17
648000,46.98
651600,48.91
655200,52.82
658800,58.44
662400,65.4
666000,73.22
669600,81.36
673200,89.27
676800,96.42
