t_seconds,gco2_per_kwh
0,81.19
3600,80.56
7200,78.4
10800,74.84
14400,70.14
18000,64.61
21600,58.63
25200,52.6
28800,46.95
32400,42.04
36000,38.23
39600,35.76
43200,34.81
46800,35.44
50400,37.6
54000,41.16
57600,45.86
61200,51.39
64800,57.37
68400,63.4
72000,69.05
75600,73.96
79200,77.77
82800,80.24
86400,81.19
90000,80.56
93600,78.4
97200,74.84
100800,70.14
104400,64.61
108000,58.63
111600,52.6
115200,46.95
118800,42.04
122400,38.23
126000,35.76
129600,34.81
133200,35.44
136800,37.6
140400,41.16
144000,45.86
147600,51.39
151200,57.37
154800,63.4
158400,69.05
162000,73.96
165600,77.77
169200,80.24
172800,81.19
176400,80.56
180000,78.4
183600,74.84
187200,70.14
190800,64.61
194400,58.63
198000,52.6
201600,46.95
205200,42.04
208800,38.23
212400,35.76
216000,34.81
219600,35.44
223200,37.6
226800,41.16
230400,45.86
234000,51.39
237600,57.37
241200,63.4
244800,69.05
248400,73.96
252000,77.77
255600,80.24
259200,81.19
262800,80.56
266400,78.4
270000,74.84
273600,70.14
277200,64.61
280800,58.63
284400,52.6
288000,46.95
291600,42.04
295200,38.23
298800,35.76
302400,34.81
306000,35.44
309600,37.6
313200,41.16
316800,45.86
320400,51.39
324000,57.37
327600,63.4
331200,69.05
334800,73.96
338400,77.77
342000,80.24
345600,81.19
349200,80.56
352800,78.4
356400,74.84
360000,70.14
363600,64.61
367200,58.63
370800,52.6
374400,46.95
378000,42.04
381600,38.23
385200,35.76
388800,34.81
392400,35.44
396000,37.6
399600,41.16
403200,45.86
406800,51.39
410400,57.37
414000,63.4
417600,69.05
421200,73.96
424800,77.77
428400,80.24
432000,81.19
435600,80.56
439200,78.4
442800,74.84
446400,70.14
450000,64.61
453600,58.63
457200,52.6
460800,46.95
464400,42.04
468000,38.23
471600,35.76
475200,34.81
478800,35.44
482400,37.6
486000,41.16
489600,45.86
493200,51.39
496800,57.37
500400,63.4
504000,69.05
507600,73.96
511200,77.77
514800,80.24
518400,81.19
522000,80.56
525600,78.4
529200,74.84
532800,70.14
536400,64.61
540000,58.63
543600,52.6
547200,46.95
550800,42.04
554400,38.23
558000,35.76
561600,34.81
565200,35.44
568800,37.6
572400,41.16
576000,45.86
579600,51.39
583200,57.37
586800,63.4
590400,69.05
594000,73.96
597600,77.77
601200,80.24
604800,81.19
608400,80.56
612000,78.4
615600,74.84
619200,70.14
622800,64.61
626400,58.63
630000,52.6
633600,46.95
637200,42.04
640800,38.23
644400,35.76
648000,34.81
651600,35.44
655200,37.6
658800,41.16
662400,45.86
666000,51.39
669600,57.37
673200,63.4
676800,69.05
680400,73.96
684000,77.77
687600,80.24
691200,81.19
694800,80.56
698400,78.4
702000,74.84
705600,70.14
709200,64.61
712800,58.63
716400,52.6
720000,46.95
723600,42.04
727200,38.23
730800,35.76
734400,34.81
738000,35.44
741600,37.6
745200,41.16
748800,45.86
752400,51.39
756000,57.37
759600,63.4
763200,69.05
766800,73.96
770400,77.77
774000,80.24
777600,81.19
781200,80.56
784800,78.4
788400,74.84
792000,70.14
795600,64.61
799200,58.63
802800,52.6
806400,46.95
810000,42.04
813600,38.23
817200,35.76
820800,34.81
824400,35.44
828000,37.6
831600,41.16
835200,45.86
838800,51.39
842400,57.37
846000,63.4
849600,69.05
853200,73.96
856800,77.77
860400,80.24
864000,81.19
867600,80.56
871200,78.4
874800,74.84
878400,70.14
882000,64.61
885600,58.63
889200,52.6
892800,46.95
896400,42.04
900000,38.23
903600,35.76
907200,34.81
910800,35.44
914400,37.6
918000,41.16
921600,45.86
925200,51.39
928800,57.37
932400,63.4
936000,69.05
939600,73.96
943200,77.77
946800,80.24
950400,81.19
954000,80.56
957600,78.4
961200,74.84
964800,70.14
968400,64.61
972000,58.63
975600,52.6
979200,46.95
982800,42.04
986400,38.23
990000,35.76
993600,34.81
997200,35.44
1000800,37.6
1004400,41.16
1008000,45.86
1011600,51.39
1015200,57.37
1018800,63.4
1022400,69.05
1026000,73.96
1029600,77.77
1033200,80.24
1036800,81.19
1040400,80.56
1044000,78.4
1047600,74.84
1051200,70.14
1054800,64.61
1058400,58.63
1062000,52.6
1065600,46.95
1069200,42.04
1072800,38.23
1076400,35.76
1080000,34.81
1083600,35.44
1087200,37.6
1090800,41.16
1094400,45.86
1098000,51.39
1101600,57.37
1105200,63.4
1108800,69.05
1112400,73.96
1116000,77.77
1119600,80.24
1123200,81.19
1126800,80.56
1130400,78.4
1134000,74.84
1137600,70.14
1141200,64.61
1144800,58.63
1148400,52.6
1152000,46.95
1155600,42.04
1159200,38.23
1162800,35.76
1166400,34.81
1170000,35.44
1173600,37.6
1177200,41.16
1180800,45.86
1184400,51.39
1188000,57.37
1191600,63.4
1195200,69.05
1198800,73.96
1202400,77.77
1206000,80.24
1209600,81.19
1213200,80.56
1216800,78.4
1220400,74.84
1224000,70.14
1227600,64.61
1231200,58.63
1234800,52.6
1238400,46.95
1242000,42.04
1245600,38.23
