t_seconds,gco2_per_kwh
0,76.99
3600,76.41
7200,74.37
10800,71.01
14400,66.55
18000,61.31
21600,55.64
25200,49.93
28800,44.56
32400,39.91
36000,36.28
39600,33.93
43200,33.01
46800,33.59
50400,35.63
54000,38.99
57600,43.45
61200,48.69
64800,54.36
68400,60.07
72000,65.44
75600,70.09
79200,73.72
82800,76.07
86400,76.99
90000,76.41
93600,74.37
97200,71.01
100800,66.55
104400,61.31
108000,55.64
111600,49.93
115200,44.56
118800,39.91
122400,36.28
126000,33.93
129600,33.01
133200,33.59
136800,35.63
140400,38.99
144000,43.45
147600,48.69
151200,54.36
154800,60.07
158400,65.44
162000,70.09
165600,73.72
169200,76.07
172800,76.99
176400,76.41
180000,74.37
183600,71.01
187200,66.55
190800,61.31
194400,55.64
198000,49.93
201600,44.56
205200,39.91
208800,36.28
212400,33.93
216000,33.01
219600,33.59
223200,35.63
226800,38.99
230400,43.45
234000,48.69
237600,54.36
241200,60.07
244800,65.44
248400,70.09
252000,73.72
255600,76.07
259200,76.99
262800,76.41
266400,74.37
270000,71.01
273600,66.55
277200,61.31
280800,55.64
284400,49.93
288000,44.56
291600,39.91
295200,36.28
298800,33.93
302400,33.01
306000,33.59
309600,35.63
313200,38.99
316800,43.45
320400,48.69
324000,54.36
327600,60.07
331200,65.44
334800,70.09
338400,73.72
342000,76.07
345600,76.99
349200,76.41
352800,74.37
356400,71.01
360000,66.55
363600,61.31
367200,55.64
370800,49.93
374400,44.56
378000,39.91
381600,36.28
385200,33.93
388800,33.01
392400,33.59
396000,35.63
399600,38.99
403200,43.45
406800,48.69
410400,54.36
414000,60.07
417600,65.44
421200,70.09
424800,73.72
428400,76.07
432000,76.99
435600,76.41
439200,74.37
442800,71.01
446400,66.55
450000,61.31
453600,55.64
457200,49.93
460800,44.56
464400,39.91
468000,36.28
471600,33.93
475200,33.01
478800,33.59
482400,35.63
486000,38.99
489600,43.45
493200,48.69
496800,54.36
500400,60.07
504000,65.44
507600,70.09
511200,73.72
514800,76.07
518400,76.99
522000,76.41
525600,74.37
529200,71.01
532800,66.55
536400,61.31
540000,55.64
543600,49.93
547200,44.56
550800,39.91
554400,36.28
558000,33.93
561600,33.01
565200,33.59
568800,35.63
572400,38.99
576000,43.45
579600,48.69
583200,54.36
586800,60.07
590400,65.44
594000,70.09
597600,73.72
601200,76.07
604800,76.99
608400,76.41
612000,74.37
615600,71.01
619200,66.55
622800,61.31
626400,55.64
630000,49.93
633600,44.56
637200,39.91
640800,36.28
644400,33.93
648000,33.01
651600,33.59
655200,35.63
658800,38.99
662400,43.45
666000,48.69
669600,54.36
673200,60.07
676800,65.44
680400,70.09
684000,73.72
687600,76.07
691200,76.99
694800,76.41
698400,74.37
702000,71.01
705600,66.55
709200,61.31
712800,55.64
716400,49.93
720000,44.56
723600,39.91
727200,36.28
730800,33.93
734400,33.01
738000,33.59
741600,35.63
745200,38.99
748800,43.45
752400,48.69
756000,54.36
759600,60.07
763200,65.44
766800,70.09
770400,73.72
774000,76.07
777600,76.99
781200,76.41
784800,74.37
788400,71.01
792000,66.55
795600,61.31
799200,55.64
802800,49.93
806400,44.56
810000,39.91
813600,36.28
817200,33.93
820800,33.01
824400,33.59
828000,35.63
831600,38.99
835200,43.45
838800,48.69
842400,54.36
846000,60.07
849600,65.44
853200,70.09
856800,73.72
860400,76.07
864000,76.99
867600,76.41
871200,74.37
874800,71.01
878400,66.55
882000,61.31
885600,55.64
889200,49.93
892800,44.56
896400,39.91
900000,36.28
903600,33.93
907200,33.01
910800,33.59
914400,35.63
918000,38.99
921600,43.45
925200,48.69
928800,54.36
932400,60.07
936000,65.44
939600,70.09
943200,73.72
946800,76.07
950400,76.99
954000,76.41
957600,74.37
961200,71.01
964800,66.55
968400,61.31
972000,55.64
975600,49.93
979200,44.56
982800,39.91
986400,36.28
990000,33.93
993600,33.01
997200,33.59
1000800,35.63
1004400,38.99
1008000,43.45
1011600,48.69
1015200,54.36
1018800,60.07
1022400,65.44
1026000,70.09
1029600,73.72
1033200,76.07
1036800,76.99
1040400,76.41
1044000,74.37
1047600,71.01
1051200,66.55
1054800,61.31
1058400,55.64
1062000,49.93
1065600,44.56
1069200,39.91
1072800,36.28
1076400,33.93
1080000,33.01
1083600,33.59
1087200,35.63
1090800,38.99
1094400,43.45
1098000,48.69
1101600,54.36
1105200,60.07
1108800,65.44
1112400,70.09
1116000,73.72
1119600,76.07
1123200,76.99
1126800,76.41
1130400,74.37
1134000,71.01
1137600,66.55
1141200,61.31
1144800,55.64
1148400,49.93
1152000,44.56
1155600,39.91
1159200,36.28
1162800,33.93
1166400,33.01
1170000,33.59
1173600,35.63
1177200,38.99
1180800,43.45
1184400,48.69
1188000,54.36
1191600,60.07
1195200,65.44
1198800,70.09
1202400,73.72
1206000,76.07
1209600,76.99
1213200,76.41
1216800,74.37
1220400,71.01
1224000,66.55
1227600,61.31
1231200,55.64
1234800,49.93
1238400,44.56
1242000,39.91
1245600,36.28
1249200,33.93
1252800,33.01
1256400,33.59
1260000,35.63
1263600,38.99
1267200,43.45
1270800,48.69
1274400,54.36
1278000,60.07
1281600,65.44
1285200,70.09
1288800,73.72
1292400,76.07
1296000,76.99
1299600,76.41
1303200,74.37
1306800,71.01
1310400,66.55
1314000,61.31
1317600,55.64
1321200,49.93
1324800,44.56
1328400,39.91
1332000,36.28
1335600,33.93
1339200,33.01
1342800,33.59
1346400,35.63
1350000,38.99
1353600,43.45
1357200,48.69
1360800,54.36
1364400,60.07
1368000,65.44
1371600,70.09
1375200,73.72
1378800,76.07
1382400,76.99
1386000,76.41
1389600,74.37
1393200,71.01
1396800,66.55
