t_seconds,gco2_per_kwh
0,100.58
3600,98.69
7200,94.99
10800,89.71
14400,83.23
18000,75.98
21600,68.47
25200,61.19
28800,54.65
32400,49.29
36000,45.48
39600,43.48
43200,43.42
46800,45.31
50400,49.01
54000,54.29
57600,60.77
61200,68.02
64800,75.53
68400,82.81
72000,89.35
75600,94.71
79200,98.52
82800,100.52
86400,100.58
90000,98.69
93600,94.99
97200,89.71
100800,83.23
104400,75.98
108000,68.47
111600,61.19
115200,54.65
118800,49.29
122400,45.48
126000,43.48
129600,43.42
133200,45.31
136800,49.01
140400,54.29
144000,60.77
147600,68.02
151200,75.53
154800,82.81
158400,89.35
162000,94.71
165600,98.52
169200,100.52
172800,100.58
176400,98.69
180000,94.99
183600,89.71
187200,83.23
190800,75.98
194400,68.47
198000,61.19
201600,54.65
205200,49.29
208800,45.48
212400,43.48
216000,43.42
219600,45.31
223200,49.01
226800,54.29
230400,60.77
234000,68.02
237600,75.53
241200,82.81
244800,89.35
248400,94.71
252000,98.52
255600,100.52
259200,100.58
262800,98.69
266400,94.99
270000,89.71
273600,83.23
277200,75.98
280800,68.47
284400,61.19
288000,54.65
291600,49.29
295200,45.48
298800,43.48
302400,43.42
306000,45.31
309600,49.01
313200,54.29
316800,60.77
320400,68.02
324000,75.53
327600,82.81
331200,89.35
334800,94.71
338400,98.52
342000,100.52
345600,100.58
349200,98.69
352800,94.99
356400,89.71
360000,83.23
363600,75.98
367200,68.47
370800,61.19
374400,54.65
378000,49.29
381600,45.48
385200,43.48
388800,43.42
392400,45.31
396000,49.01
399600,54.29
403200,60.77
406800,68.02
410400,75.53
414000,82.81
417600,89.35
421200,94.71
424800,98.52
428400,100.52
432000,100.58
435600,98.69
439200,94.99
442800,89.71
446400,83.23
450000,75.98
453600,68.47
457200,61.19
460800,54.65
464400,49.29
468000,45.48
471600,43.48
475200,43.42
478800,45.31
482400,49.01
486000,54.29
489600,60.77
493200,68.02
496800,75.53
500400,82.81
504000,89.35
507600,94.71
511200,98.52
514800,100.52
518400,100.58
522000,98.69
525600,94.99
529200,89.71
532800,83.23
536400,75.98
540000,68.47
543600,61.19
547200,54.65
550800,49.29
554400,45.48
558000,43.48
561600,43.42
565200,45.31
568800,49.01
572400,54.29
576000,60.77
579600,68.02
583200,75.53
586800,82.81
590400,89.35
594000,94.71
597600,98.52
601200,100.52
604800,100.58
608400,98.69
612000,94.99
615600,89.71
619200,83.23
622800,75.98
626400,68.47
630000,61.19
633600,54.65
637200,49.29
640800,45.48
644400,43.48
648000,43.42
651600,45.31
655200,49.01
658800,54.29
662400,60.77
666000,68.02
669600,75.53
673200,82.81
676800,89.35
680400,94.71
684000,98.52
687600,100.52
691200,100.58
694800,98.69
698400,94.99
702000,89.71
705600,83.23
709200,75.98
712800,68.47
716400,61.19
720000,54.65
723600,49.29
727200,45.48
730800,43.48
734400,43.42
738000,45.31
741600,49.01
745200,54.29
748800,60.77
752400,68.02
756000,75.53
759600,82.81
763200,89.35
766800,94.71
770400,98.52
774000,100.52
777600,100.58
781200,98.69
784800,94.99
788400,89.71
792000,83.23
795600,75.98
799200,68.47
802800,61.19
806400,54.65
810000,49.29
813600,45.48
817200,43.48
820800,43.42
824400,45.31
828000,49.01
831600,54.29
835200,60.77
838800,68.02
842400,75.53
846000,82.81
849600,89.35
853200,94.71
856800,98.52
860400,100.52
864000,100.58
867600,98.69
871200,94.99
874800,89.71
878400,83.23
882000,75.98
885600,68.47
889200,61.19
892800,54.65
896400,49.29
900000,45.48
903600,43.48
907200,43.42
910800,45.31
914400,49.01
918000,54.29
921600,60.77
925200,68.02
928800,75.53
932400,82.81
936000,89.35
939600,94.71
943200,98.52
946800,100.52
950400,100.58
954000,98.69
957600,94.99
961200,89.71
964800,83.23
968400,75.98
972000,68.47
975600,61.19
979200,54.65
982800,49.29
986400,45.48
990000,43.48
993600,43.42
997200,45.31
1000800,49.01
1004400,54.29
1008000,60.77
1011600,68.02
1015200,75.53
1018800,82.81
1022400,89.35
1026000,94.71
1029600,98.52
1033200,100.52
1036800,100.58
1040400,98.69
1044000,94.99
1047600,89.71
1051200,83.23
1054800,75.98
1058400,68.47
1062000,61.19
1065600,54.65
1069200,49.29
1072800,45.48
1076400,43.48
1080000,43.42
1083600,45.31
1087200,49.01
1090800,54.29
1094400,60.77
1098000,68.02
1101600,75.53
1105200,82.81
1108800,89.35
1112400,94.71
1116000,98.52
1119600,100.52
1123200,100.58
1126800,98.69
1130400,94.99
1134000,89.71
1137600,83.23
1141200,75.98
1144800,68.47
1148400,61.19
1152000,54.65
1155600,49.29
1159200,45.48
1162800,43.48
1166400,43.42
1170000,45.31
1173600,49.01
1177200,54.29
1180800,60.77
1184400,68.02
1188000,75.53
1191600,82.81
1195200,89.35
1198800,94.71
1202400,98.52
1206000,100.52
1209600,100.58
1213200,98.69
1216800,94.99
1220400,89.71
1224000,83.23
1227600,75.98
1231200,68.47
1234800,61.19
1238400,54.65
1242000,49.29
1245600,45.48
1249200,43.48
1252800,43.42
1256400,45.31
1260000,49.01
1263600,54.29
1267200,60.77
1270800,68.02
1274400,75.53
1278000,82.81
1281600,89.35
1285200,94.71
1288800,98.52
1292400,100.52
1296000,100.58
1299600,98.69
1303200,94.99
1306800,89.71
1310400,83.23
1314000,75.98
1317600,68.47
1321200,61.19
1324800,54.65
1328400,49.29
1332000,45.48
1335600,43.48
1339200,43.42
1342800,45.31
1346400,49.01
1350000,54.29
1353600,60.77
1357200,68.02
1360800,75.53
1364400,82.81
1368000,89.35
1371600,94.71
1375200,98.52
1378800,100.52
1382400,100.58
1386000,98.69
1389600,94.99
1393200,89.71
1396800,83.23
1400400,75.98
1404000,68.47
1407600,61.19
1411200,54.65
1414800,49.29
1418400,45.48
1422000,43.48
1425600,43.42
1429200,45.31
1432800,49.01
1436400,54.29
1440000,60.77
1443600,68.02
1447200,75.53
1450800,82.81
1454400,89.35
1458000,94.71
1461600,98.52
1465200,100.52
1468800,100.58
1472400,98.69
1476000,94.99
1479600,89.71
1483200,83.23
1486800,75.98
1490400,68.47
1494000,61.19
1497600,54.65
1501200,49.29
1504800,45.48
1508400,43.48
1512000,43.42
1515600,45.31
1519200,49.01
1522800,54.29
1526400,60.77
1530000,68.02
1533600,75.53
1537200,82.81
1540800,89.35
1544400,94.71
1548000,98.52
1551600,100.52
1555200,100.58
1558800,98.69
1562400,94.99
1566000,89.71
1569600,83.23
1573200,75.98
1576800,68.47
1580400,61.19
1584000,54.65
1587600,49.29
1591200,45.48
1594800,43.48
1598400,43.42
1602000,45.31
1605600,49.01
1609200,54.29
1612800,60.77
1616400,68.02
1620000,75.53
1623600,82.81
1627200,89.35
1630800,94.71
1634400,98.52
1638000,100.52
1641600,100.58
1645200,98.69
1648800,94.99
1652400,89.71
1656000,83.23
1659600,75.98
1663200,68.47
1666800,61.19
1670400,54.65
1674000,49.29
1677600,45.48
1681200,43.48
1684800,43.42
1688400,45.31
1692000,49.01
1695600,54.29
1699200,60.77
1702800,68.02
1706400,75.53
1710000,82.81
1713600,89.35
1717200,94.71
1720800,98.52
1724400,100.52
1728000,100.58
1731600,98.69
1735200,94.99
1738800,89.71
1742400,83.23
1746000,75.98
1749600,68.47
1753200,61.19
1756800,54.65
1760400,49.29
1764000,45.48
1767600,43.48
1771200,43.42
1774800,45.31
1778400,49.01
1782000,54.29
1785600,60.77
1789200,68.02
1792800,75.53
1796400,82.81
1800000,89.35
1803600,94.71
1807200,98.52
1810800,100.52
1814400,100.58
1818000,98.69
1821600,94.99
1825200,89.71
1828800,83.23
1832400,75.98
1836000,68.47
1839600,61.19
1843200,54.65
1846800,49.29
1850400,45.48
1854000,43.48
1857600,43.42
1861200,45.31
1864800,49.01
1868400,54.29
1872000,60.77
1875600,68.02
1879200,75.53
1882800,82.81
1886400,89.35
1890000,94.71
1893600,98.52
1897200,100.52
1900800,100.58
1904400,98.69
1908000,94.99
1911600,89.71
1915200,83.23
1918800,75.98
1922400,68.47
1926000,61.19
1929600,54.65
1933200,49.29
1936800,45.48
1940400,43.48
1944000,43.42
1947600,45.31
1951200,49.01
1954800,54.29
1958400,60.77
1962000,68.02
1965600,75.53
1969200,82.81
1972800,89.35
1976400,94.71
1980000,98.52
1983600,100.52
1987200,100.58
1990800,98.69
1994400,94.99
1998000,89.71
2001600,83.23
2005200,75.98
2008800,68.47
2012400,61.19
2016000,54.65
2019600,49.29
2023200,45.48
2026800,43.48
2030400,43.42
2034000,45.31
2037600,49.01
2041200,54.29
2044800,60.77
2048400,68.02
2052000,75.53
2055600,82.81
2059200,89.35
2062800,94.71
2066400,98.52
2070000,100.52
2073600,100.58
2077200,98.69
2080800,94.99
2084400,89.71
2088000,83.23
2091600,75.98
2095200,68.47
2098800,61.19
2102400,54.65
2106000,49.29
2109600,45.48
2113200,43.48
2116800,43.42
2120400,45.31
2124000,49.01
2127600,54.29
2131200,60.77
2134800,68.02
2138400,75.53
2142000,82.81
2145600,89.35
2149200,94.71
2152800,98.52
2156400,100.52
2160000,100.58
2163600,98.69
2167200,94.99
2170800,89.71
2174400,83.23
2178000,75.98
2181600,68.47
2185200,61.19
2188800,54.65
2192400,49.29
2196000,45.48
2199600,43.48
2203200,43.42
2206800,45.31
2210400,49.01
2214000,54.29
2217600,60.77
2221200,68.02
2224800,75.53
2228400,82.81
2232000,89.35
2235600,94.71
2239200,98.52
2242800,100.52
2246400,100.58
2250000,98.69
2253600,94.99
2257200,89.71
2260800,83.23
2264400,75.98
2268000,68.47
2271600,61.19
2275200,54.65
2278800,49.29
2282400,45.48
2286000,43.48
2289600,43.42
2293200,45.31
2296800,49.01
2300400,54.29
2304000,60.77
2307600,68.02
2311200,75.53
2314800,82.81
2318400,89.35
2322000,94.71
2325600,98.52
2329200,100.52
2332800,100.58
2336400,98.69
2340000,94.99
2343600,89.71
2347200,83.23
2350800,75.98
2354400,68.47
2358000,61.19
2361600,54.65
2365200,49.29
2368800,45.48
2372400,43.48
2376000,43.42
2379600,45.31
2383200,49.01
2386800,54.29
2390400,60.77
2394000,68.02
2397600,75.53
2401200,82.81
2404800,89.35
2408400,94.71
2412000,98.52
2415600,100.52
2419200,100.58
2422800,98.69
2426400,94.99
2430000,89.71
2433600,83.23
2437200,75.98
2440800,68.47
2444400,61.19
2448000,54.65
2451600,49.29
2455200,45.48
2458800,43.48
2462400,43.42
2466000,45.31
2469600,49.01
2473200,54.29
2476800,60.77
2480400,68.02
2484000,75.53
2487600,82.81
2491200,89.35
2494800,94.71
2498400,98.52
2502000,100.52
2505600,100.58
2509200,98.69
2512800,94.99
2516400,89.71
2520000,83.23
2523600,75.98
2527200,68.47
2530800,61.19
2534400,54.65
2538000,49.29
2541600,45.48
2545200,43.48
2548800,43.42
2552400,45.31
2556000,49.01
2559600,54.29
2563200,60.77
2566800,68.02
2570400,75.53
2574000,82.81
2577600,89.35
2581200,94.71
2584800,98.52
2588400,100.52
2592000,100.58
2595600,98.69
2599200,94.99
2602800,89.71
2606400,83.23
2610000,75.98
2613600,68.47
2617200,61.19
2620800,54.65
2624400,49.29
2628000,45.48
2631600,43.48
2635200,43.42
2638800,45.31
2642400,49.01
2646000,54.29
2649600,60.77
2653200,68.02
2656800,75.53
2660400,82.81
2664000,89.35
2667600,94.71
2671200,98.52
2674800,100.52
2678400,100.58
2682000,98.69
2685600,94.99
2689200,89.71
2692800,83.23
2696400,75.98
2700000,68.47
