t_seconds,gco2_per_kwh
0,123.19
3600,121.76
7200,118.03
10800,112.26
14400,104.83
18000,96.25
21600,87.12
25200,78.04
28800,69.64
32400,62.49
36000,57.08
39600,53.78
43200,52.81
46800,54.24
50400,57.97
54000,63.74
57600,71.17
61200,79.75
64800,88.88
68400,97.96
72000,106.36
75600,113.51
79200,118.92
82800,122.22
86400,123.19
90000,121.76
93600,118.03
97200,112.26
100800,104.83
104400,96.25
108000,87.12
111600,78.04
115200,69.64
118800,62.49
122400,57.08
126000,53.78
129600,52.81
133200,54.24
136800,57.97
140400,63.74
144000,71.17
147600,79.75
151200,88.88
154800,97.96
158400,106.36
162000,113.51
165600,118.92
169200,122.22
172800,123.19
176400,121.76
180000,118.03
183600,112.26
187200,104.83
190800,96.25
194400,87.12
198000,78.04
201600,69.64
205200,62.49
208800,57.08
212400,53.78
216000,52.81
219600,54.24
223200,57.97
226800,63.74
230400,71.17
234000,79.75
237600,88.88
241200,97.96
244800,106.36
248400,113.51
252000,118.92
255600,122.22
259200,123.19
262800,121.76
266400,118.03
270000,112.26
273600,104.83
277200,96.25
280800,87.12
284400,78.04
288000,69.64
291600,62.49
295200,57.08
298800,53.78
302400,52.81
306000,54.24
309600,57.97
313200,63.74
316800,71.17
320400,79.75
324000,88.88
327600,97.96
331200,106.36
334800,113.51
338400,118.92
342000,122.22
345600,123.19
349200,121.76
352800,118.03
356400,112.26
360000,104.83
363600,96.25
367200,87.12
370800,78.04
374400,69.64
378000,62.49
381600,57.08
385200,53.78
388800,52.81
392400,54.24
396000,57.97
399600,63.74
403200,71.17
406800,79.75
410400,88.88
414000,97.96
417600,106.36
421200,113.51
424800,118.92
428400,122.22
432000,123.19
435600,121.76
439200,118.03
442800,112.26
446400,104.83
450000,96.25
453600,87.12
457200,78.04
460800,69.64
464400,62.49
468000,57.08
471600,53.78
475200,52.81
478800,54.24
482400,57.97
486000,63.74
489600,71.17
493200,79.75
496800,88.88
500400,97.96
504000,106.36
507600,113.51
511200,118.92
514800,122.22
518400,123.19
522000,121.76
525600,118.03
529200,112.26
532800,104.83
536400,96.25
540000,87.12
543600,78.04
547200,69.64
550800,62.49
554400,57.08
558000,53.78
561600,52.81
565200,54.24
568800,57.97
572400,63.74
576000,71.17
579600,79.75
583200,88.88
586800,97.96
590400,106.36
594000,113.51
597600,118.92
601200,122.22
604800,123.19
608400,121.76
612000,118.03
615600,112.26
619200,104.83
622800,96.25
626400,87.12
630000,78.04
633600,69.64
637200,62.49
640800,57.08
644400,53.78
648000,52.81
651600,54.24
655200,57.97
658800,63.74
662400,71.17
666000,79.75
669600,88.88
673200,97.96
676800,106.36
680400,113.51
684000,118.92
687600,122.22
691200,123.19
694800,121.76
698400,118.03
702000,112.26
705600,104.83
709200,96.25
712800,87.12
716400,78.04
720000,69.64
723600,62.49
727200,57.08
730800,53.78
734400,52.81
738000,54.24
741600,57.97
745200,63.74
748800,71.17
752400,79.75
756000,88.88
759600,97.96
763200,106.36
766800,113.51
770400,118.92
774000,122.22
777600,123.19
781200,121.76
784800,118.03
788400,112.26
792000,104.83
795600,96.25
799200,87.12
802800,78.04
806400,69.64
810000,62.49
813600,57.08
817200,53.78
820800,52.81
824400,54.24
828000,57.97
831600,63.74
835200,71.17
838800,79.75
842400,88.88
846000,97.96
849600,106.36
853200,113.51
856800,118.92
860400,122.22
864000,123.19
867600,121.76
871200,118.03
874800,112.26
878400,104.83
882000,96.25
885600,87.12
889200,78.04
892800,69.64
896400,62.49
900000,57.08
903600,53.78
907200,52.81
910800,54.24
914400,57.97
918000,63.74
921600,71.17
925200,79.75
928800,88.88
932400,97.96
936000,106.36
939600,113.51
943200,118.92
946800,122.22
950400,123.19
954000,121.76
957600,118.03
961200,112.26
964800,104.83
968400,96.25
972000,87.12
975600,78.04
979200,69.64
982800,62.49
986400,57.08
990000,53.78
993600,52.81
997200,54.24
1000800,57.97
1004400,63.74
1008000,71.17
1011600,79.75
1015200,88.88
1018800,97.96
1022400,106.36
1026000,113.51
1029600,118.92
1033200,122.22
1036800,123.19
1040400,121.76
1044000,118.03
1047600,112.26
1051200,104.83
1054800,96.25
1058400,87.12
1062000,78.04
1065600,69.64
1069200,62.49
1072800,57.08
1076400,53.78
1080000,52.81
1083600,54.24
1087200,57.97
1090800,63.74
1094400,71.17
1098000,79.75
1101600,88.88
1105200,97.96
1108800,106.36
1112400,113.51
1116000,118.92
1119600,122.22
1123200,123.19
1126800,121.76
1130400,118.03
1134000,112.26
1137600,104.83
1141200,96.25
1144800,87.12
1148400,78.04
1152000,69.64
1155600,62.49
1159200,57.08
1162800,53.78
1166400,52.81
1170000,54.24
1173600,57.97
1177200,63.74
1180800,71.17
1184400,79.75
1188000,88.88
1191600,97.96
1195200,106.36
1198800,113.51
1202400,118.92
1206000,122.22
1209600,123.19
1213200,121.76
1216800,118.03
1220400,112.26
1224000,104.83
1227600,96.25
1231200,87.12
1234800,78.04
