t_seconds,gco2_per_kwh
0,73.62
3600,72.68
7200,70.37
10800,66.85
14400,62.36
18000,57.21
21600,51.74
25200,46.33
28800,41.34
32400,37.12
36000,33.96
39600,32.07
43200,31.58
46800,32.52
50400,34.83
54000,38.35
57600,42.84
61200,47.99
64800,53.46
68400,58.87
72000,63.86
75600,68.08
79200,71.24
82800,73.13
86400,73.62
90000,72.68
93600,70.37
97200,66.85
100800,62.36
104400,57.21
108000,51.74
111600,46.33
115200,41.34
118800,37.12
122400,33.96
126000,32.07
129600,31.58
133200,32.52
136800,34.83
140400,38.35
144000,42.84
147600,47.99
151200,53.46
154800,58.87
158400,63.86
162000,68.08
165600,71.24
169200,73.13
172800,73.62
176400,72.68
180000,70.37
183600,66.85
187200,62.36
190800,57.21
194400,51.74
198000,46.33
201600,41.34
205200,37.12
208800,33.96
212400,32.07
216000,31.58
219600,32.52
223200,34.83
226800,38.35
230400,42.84
234000,47.99
237600,53.46
241200,58.87
244800,63.86
248400,68.08
252000,71.24
255600,73.13
259200,73.62
262800,72.68
266400,70.37
270000,66.85
273600,62.36
277200,57.21
280800,51.74
284400,46.33
288000,41.34
291600,37.12
295200,33.96
298800,32.07
302400,31.58
306000,32.52
309600,34.83
313200,38.35
316800,42.84
320400,47.99
324000,53.46
327600,58.87
331200,63.86
334800,68.08
338400,71.24
342000,73.13
345600,73.62
349200,72.68
352800,70.37
356400,66.85
360000,62.36
363600,57.21
367200,51.74
370800,46.33
374400,41.34
378000,37.12
381600,33.96
385200,32.07
388800,31.58
392400,32.52
396000,34.83
399600,38.35
403200,42.84
406800,47.99
410400,53.46
414000,58.87
417600,63.86
421200,68.08
424800,71.24
428400,73.13
432000,73.62
435600,72.68
439200,70.37
442800,66.85
446400,62.36
450000,57.21
453600,51.74
457200,46.33
460800,41.34
464400,37.12
468000,33.96
471600,32.07
475200,31.58
478800,32.52
482400,34.83
486000,38.35
489600,42.84
493200,47.99
496800,53.46
500400,58.87
504000,63.86
507600,68.08
511200,71.24
514800,73.13
518400,73.62
522000,72.68
525600,70.37
529200,66.85
532800,62.36
536400,57.21
540000,51.74
543600,46.33
547200,41.34
550800,37.12
554400,33.96
558000,32.07
561600,31.58
565200,32.52
568800,34.83
572400,38.35
576000,42.84
579600,47.99
583200,53.46
586800,58.87
590400,63.86
594000,68.08
597600,71.24
601200,73.13
604800,73.62
608400,72.68
612000,70.37
615600,66.85
619200,62.36
622800,57.21
626400,51.74
630000,46.33
633600,41.34
637200,37.12
640800,33.96
644400,32.07
648000,31.58
651600,32.52
655200,34.83
658800,38.35
662400,42.84
666000,47.99
669600,53.46
673200,58.87
676800,63.86
680400,68.08
684000,71.24
687600,73.13
691200,73.62
694800,72.68
698400,70.37
702000,66.85
705600,62.36
709200,57.21
712800,51.74
716400,46.33
720000,41.34
723600,37.12
727200,33.96
730800,32.07
734400,31.58
738000,32.52
741600,34.83
745200,38.35
748800,42.84
752400,47.99
756000,53.46
759600,58.87
763200,63.86
766800,68.08
770400,71.24
774000,73.13
777600,73.62
781200,72.68
784800,70.37
788400,66.85
792000,62.36
795600,57.21
799200,51.74
802800,46.33
806400,41.34
810000,37.12
813600,33.96
817200,32.07
820800,31.58
824400,32.52
828000,34.83
831600,38.35
835200,42.84
838800,47.99
842400,53.46
846000,58.87
849600,63.86
853200,68.08
856800,71.24
860400,73.13
864000,73.62
867600,72.68
871200,70.37
874800,66.85
878400,62.36
882000,57.21
885600,51.74
889200,46.33
892800,41.34
896400,37.12
900000,33.96
903600,32.07
907200,31.58
910800,32.52
914400,34.83
918000,38.35
921600,42.84
925200,47.99
928800,53.46
932400,58.87
936000,63.86
939600,68.08
943200,71.24
946800,73.13
950400,73.62
954000,72.68
957600,70.37
961200,66.85
964800,62.36
968400,57.21
972000,51.74
975600,46.33
979200,41.34
982800,37.12
986400,33.96
990000,32.07
993600,31.58
997200,32.52
1000800,34.83
1004400,38.35
1008000,42.84
1011600,47.99
1015200,53.46
1018800,58.87
1022400,63.86
1026000,68.08
1029600,71.24
1033200,73.13
1036800,73.62
1040400,72.68
1044000,70.37
1047600,66.85
1051200,62.36
1054800,57.21
1058400,51.74
1062000,46.33
1065600,41.34
1069200,37.12
1072800,33.96
1076400,32.07
1080000,31.58
1083600,32.52
1087200,34.83
1090800,38.35
1094400,42.84
1098000,47.99
1101600,53.46
1105200,58.87
1108800,63.86
1112400,68.08
1116000,71.24
1119600,73.13
1123200,73.62
1126800,72.68
1130400,70.37
1134000,66.85
1137600,62.36
1141200,57.21
1144800,51.74
1148400,46.33
1152000,41.34
1155600,37.12
1159200,33.96
1162800,32.07
1166400,31.58
1170000,32.52
1173600,34.83
1177200,38.35
1180800,42.84
1184400,47.99
1188000,53.46
1191600,58.87
1195200,63.86
1198800,68.08
1202400,71.24
1206000,73.13
1209600,73.62
1213200,72.68
1216800,70.37
1220400,66.85
1224000,62.36
1227600,57.21
1231200,51.74
1234800,46.33
1238400,41.34
1242000,37.12
1245600,33.96
1249200,32.07
1252800,31.58
1256400,32.52
1260000,34.83
1263600,38.35
1267200,42.84
1270800,47.99
1274400,53.46
1278000,58.87
1281600,63.86
1285200,68.08
1288800,71.24
1292400,73.13
1296000,73.62
1299600,72.68
1303200,70.37
1306800,66.85
1310400,62.36
1314000,57.21
1317600,51.74
1321200,46.33
1324800,41.34
1328400,37.12
1332000,33.96
1335600,32.07
1339200,31.58
1342800,32.52
1346400,34.83
1350000,38.35
1353600,42.84
1357200,47.99
1360800,53.46
1364400,58.87
1368000,63.86
1371600,68.08
1375200,71.24
1378800,73.13
1382400,73.62
1386000,72.68
1389600,70.37
1393200,66.85
1396800,62.36
1400400,57.21
1404000,51.74
1407600,46.33
1411200,41.34
1414800,37.12
1418400,33.96
1422000,32.07
1425600,31.58
1429200,32.52
1432800,34.83
1436400,38.35
1440000,42.84
1443600,47.99
1447200,53.46
1450800,58.87
1454400,63.86
1458000,68.08
1461600,71.24
1465200,73.13
1468800,73.62
1472400,72.68
1476000,70.37
1479600,66.85
1483200,62.36
1486800,57.21
1490400,51.74
1494000,46.33
1497600,41.34
1501200,37.12
1504800,33.96
1508400,32.07
1512000,31.58
1515600,32.52
1519200,34.83
1522800,38.35
1526400,42.84
1530000,47.99
1533600,53.46
1537200,58.87
1540800,63.86
1544400,68.08
1548000,71.24
1551600,73.13
1555200,73.62
1558800,72.68
1562400,70.37
1566000,66.85
1569600,62.36
1573200,57.21
1576800,51.74
1580400,46.33
1584000,41.34
1587600,37.12
1591200,33.96
1594800,32.07
1598400,31.58
1602000,32.52
1605600,34.83
1609200,38.35
1612800,42.84
1616400,47.99
1620000,53.46
1623600,58.87
1627200,63.86
1630800,68.08
1634400,71.24
1638000,73.13
1641600,73.62
1645200,72.68
1648800,70.37
1652400,66.85
1656000,62.36
1659600,57.21
1663200,51.74
1666800,46.33
1670400,41.34
1674000,37.12
1677600,33.96
1681200,32.07
1684800,31.58
1688400,32.52
1692000,34.83
1695600,38.35
1699200,42.84
1702800,47.99
1706400,53.46
1710000,58.87
1713600,63.86
1717200,68.08
1720800,71.24
1724400,73.13
1728000,73.62
1731600,72.68
1735200,70.37
1738800,66.85
1742400,62.36
1746000,57.21
1749600,51.74
1753200,46.33
1756800,41.34
1760400,37.12
1764000,33.96
1767600,32.07
1771200,31.58
1774800,32.52
1778400,34.83
1782000,38.35
1785600,42.84
1789200,47.99
1792800,53.46
1796400,58.87
1800000,63.86
1803600,68.08
1807200,71.24
1810800,73.13
1814400,73.62
1818000,72.68
1821600,70.37
1825200,66.85
1828800,62.36
1832400,57.21
1836000,51.74
1839600,46.33
1843200,41.34
1846800,37.12
1850400,33.96
1854000,32.07
1857600,31.58
1861200,32.52
1864800,34.83
1868400,38.35
1872000,42.84
1875600,47.99
1879200,53.46
1882800,58.87
1886400,63.86
1890000,68.08
1893600,71.24
1897200,73.13
1900800,73.62
1904400,72.68
1908000,70.37
1911600,66.85
1915200,62.36
1918800,57.21
1922400,51.74
1926000,46.33
1929600,41.34
1933200,37.12
1936800,33.96
1940400,32.07
1944000,31.58
1947600,32.52
1951200,34.83
1954800,38.35
1958400,42.84
1962000,47.99
1965600,53.46
1969200,58.87
1972800,63.86
1976400,68.08
1980000,71.24
1983600,73.13
1987200,73.62
1990800,72.68
1994400,70.37
1998000,66.85
2001600,62.36
2005200,57.21
2008800,51.74
2012400,46.33
2016000,41.34
2019600,37.12
2023200,33.96
2026800,32.07
2030400,31.58
2034000,32.52
2037600,34.83
2041200,38.35
2044800,42.84
