t_seconds,gco2_per_kwh
0,780.95
3600,708.39
7200,635.46
10800,567.11
14400,508.01
18000,462.19
21600,432.76
25200,421.74
28800,429.87
32400,456.59
36000,500.1
39600,557.42
43200,624.65
46800,697.21
50400,770.14
54000,838.49
57600,897.59
61200,943.41
64800,972.84
68400,983.86
72000,975.73
75600,949.01
79200,905.5
82800,848.18
86400,780.95
90000,708.39
93600,635.46
97200,567.11
100800,508.01
104400,462.19
108000,432.76
111600,421.74
115200,429.87
118800,456.59
122400,500.1
126000,557.42
129600,624.65
133200,697.21
136800,770.14
140400,838.49
144000,897.59
147600,943.41
151200,972.84
154800,983.86
158400,975.73
162000,949.01
165600,905.5
169200,848.18
172800,780.95
176400,708.39
180000,635.46
183600,567.11
187200,508.01
190800,462.19
194400,432.76
198000,421.74
201600,429.87
205200,456.59
208800,500.1
212400,557.42
216000,624.65
219600,697.21
223200,770.14
226800,838.49
230400,897.59
234000,943.41
237600,972.84
241200,983.86
244800,975.73
248400,949.01
252000,905.5
255600,848.18
259200,780.95
262800,708.39
266400,635.46
270000,567.11
273600,508.01
277200,462.19
280800,432.76
284400,421.74
288000,429.87
291600,456.59
295200,500.1
298800,557.42
302400,624.65
306000,697.21
309600,770.14
313200,838.49
316800,897.59
320400,943.41
324000,972.84
327600,983.86
331200,975.73
334800,949.01
338400,905.5
342000,848.18
345600,780.95
349200,708.39
352800,635.46
356400,567.11
360000,508.01
363600,462.19
367200,432.76
370800,421.74
374400,429.87
378000,456.59
381600,500.1
385200,557.42
388800,624.65
392400,697.21
396000,770.14
399600,838.49
403200,897.59
406800,943.41
410400,972.84
414000,983.86
417600,975.73
421200,949.01
424800,905.5
428400,848.18
432000,780.95
435600,708.39
439200,635.46
442800,567.11
446400,508.01
450000,462.19
453600,432.76
457200,421.74
460800,429.87
464400,456.59
468000,500.1
471600,557.42
475200,624.65
478800,697.21
482400,770.14
486000,838.49
489600,897.59
493200,943.41
496800,972.84
500400,983.86
504000,975.73
507600,949.01
511200,905.5
514800,848.18
518400,780.95
522000,708.39
525600,635.46
529200,567.11
532800,508.01
536400,462.19
540000,432.76
543600,421.74
547200,429.87
550800,456.59
554400,500.1
558000,557.42
561600,624.65
565200,697.21
568800,770.14
572400,838.49
576000,897.59
579600,943.41
583200,972.84
586800,983.86
590400,975.73
594000,949.01
597600,905.5
601200,848.18
604800,780.95
608400,708.39
612000,635.46
615600,567.11
619200,508.01
622800,462.19
626400,432.76
630000,421.74
633600,429.87
637200,456.59
640800,500.1
644400,557.42
648000,624.65
651600,697.21
655200,770.14
658800,838.49
662400,897.59
666000,943.41
669600,972.84
673200,983.86
676800,975.73
680400,949.01
684000,905.5
687600,848.18
691200,780.95
694800,708.39
698400,635.46
702000,567.11
705600,508.01
709200,462.19
712800,432.76
716400,421.74
720000,429.87
723600,456.59
727200,500.1
730800,557.42
734400,624.65
738000,697.21
741600,770.14
745200,838.49
748800,897.59
752400,943.41
756000,972.84
759600,983.86
763200,975.73
766800,949.01
770400,905.5
774000,848.18
777600,780.95
781200,708.39
784800,635.46
788400,567.11
792000,508.01
795600,462.19
799200,432.76
802800,421.74
806400,429.87
810000,456.59
813600,500.1
817200,557.42
820800,624.65
824400,697.21
828000,770.14
