t_seconds,gco2_per_kwh
0,315.6
3600,284.64
7200,262.6
10800,250.99
14400,250.59
18000,261.44
21600,282.8
25200,313.21
28800,350.59
32400,392.41
36000,435.8
39600,477.82
43200,515.6
46800,546.56
50400,568.6
54000,580.21
57600,580.61
61200,569.76
64800,548.4
68400,517.99
72000,480.61
75600,438.79
79200,395.4
82800,353.38
86400,315.6
90000,284.64
93600,262.6
97200,250.99
100800,250.59
104400,261.44
108000,282.8
111600,313.21
115200,350.59
118800,392.41
122400,435.8
126000,477.82
129600,515.6
133200,546.56
136800,568.6
140400,580.21
144000,580.61
147600,569.76
151200,548.4
154800,517.99
158400,480.61
162000,438.79
165600,395.4
169200,353.38
172800,315.6
176400,284.64
180000,262.6
183600,250.99
187200,250.59
190800,261.44
194400,282.8
198000,313.21
201600,350.59
205200,392.41
208800,435.8
212400,477.82
216000,515.6
219600,546.56
223200,568.6
226800,580.21
230400,580.61
234000,569.76
237600,548.4
241200,517.99
244800,480.61
248400,438.79
252000,395.4
255600,353.38
259200,315.6
262800,284.64
266400,262.6
270000,250.99
273600,250.59
277200,261.44
280800,282.8
284400,313.21
288000,350.59
291600,392.41
295200,435.8
298800,477.82
302400,515.6
306000,546.56
309600,568.6
313200,580.21
316800,580.61
320400,569.76
324000,548.4
327600,517.99
331200,480.61
334800,438.79
338400,395.4
342000,353.38
345600,315.6
349200,284.64
352800,262.6
356400,250.99
360000,250.59
363600,261.44
367200,282.8
370800,313.21
374400,350.59
378000,392.41
381600,435.8
385200,477.82
388800,515.6
392400,546.56
396000,568.6
399600,580.21
403200,580.61
406800,569.76
410400,548.4
414000,517.99
417600,480.61
421200,438.79
424800,395.4
428400,353.38
432000,315.6
435600,284.64
439200,262.6
442800,250.99
446400,250.59
450000,261.44
453600,282.8
457200,313.21
460800,350.59
464400,392.41
468000,435.8
471600,477.82
475200,515.6
478800,546.56
482400,568.6
486000,580.21
489600,580.61
493200,569.76
496800,548.4
500400,517.99
504000,480.61
507600,438.79
511200,395.4
514800,353.38
518400,315.6
522000,284.64
525600,262.6
529200,250.99
532800,250.59
536400,261.44
540000,282.8
543600,313.21
547200,350.59
550800,392.41
554400,435.8
558000,477.82
561600,515.6
565200,546.56
568800,568.6
572400,580.21
576000,580.61
579600,569.76
583200,548.4
586800,517.99
590400,480.61
594000,438.79
597600,395.4
601200,353.38
604800,315.6
608400,284.64
612000,262.6
615600,250.99
619200,250.59
622800,261.44
626400,282.8
630000,313.21
633600,350.59
637200,392.41
640800,435.8
644400,477.82
648000,515.6
651600,546.56
655200,568.6
658800,580.21
662400,580.61
666000,569.76
669600,548.4
673200,517.99
676800,480.61
680400,438.79
684000,395.4
687600,353.38
691200,315.6
694800,284.64
698400,262.6
702000,250.99
705600,250.59
709200,261.44
712800,282.8
716400,313.21
720000,350.59
723600,392.41
727200,435.8
730800,477.82
734400,515.6
738000,546.56
741600,568.6
745200,580.21
748800,580.61
752400,569.76
756000,548.4
759600,517.99
763200,480.61
766800,438.79
770400,395.4
774000,353.38
777600,315.6
781200,284.64
784800,262.6
788400,250.99
792000,250.59
795600,261.44
799200,282.8
802800,313.21
806400,350.59
810000,392.41
813600,435.8
817200,477.82
820800,515.6
824400,546.56
828000,568.6
831600,580.21
835200,580.61
838800,569.76
842400,548.4
846000,517.99
849600,480.61
853200,438.79
856800,395.4
860400,353.38
864000,315.6
867600,284.64
871200,262.6
874800,250.99
878400,250.59
882000,261.44
885600,282.8
889200,313.21
892800,350.59
896400,392.41
900000,435.8
903600,477.82
907200,515.6
910800,546.56
914400,568.6
918000,580.21
921600,580.61
925200,569.76
928800,548.4
932400,517.99
936000,480.61
939600,438.79
943200,395.4
946800,353.38
950400,315.6
954000,284.64
957600,262.6
961200,250.99
964800,250.59
968400,261.44
972000,282.8
975600,313.21
979200,350.59
982800,392.41
986400,435.8
990000,477.82
993600,515.6
997200,546.56
1000800,568.6
1004400,580.21
1008000,580.61
1011600,569.76
1015200,548.4
1018800,517.99
1022400,480.61
1026000,438.79
1029600,395.4
1033200,353.38
1036800,315.6
1040400,284.64
1044000,262.6
1047600,250.99
1051200,250.59
1054800,261.44
1058400,282.8
1062000,313.21
1065600,350.59
1069200,392.41
1072800,435.8
1076400,477.82
1080000,515.6
1083600,546.56
1087200,568.6
1090800,580.21
1094400,580.61
1098000,569.76
1101600,548.4
1105200,517.99
1108800,480.61
1112400,438.79
1116000,395.4
1119600,353.38
