t_seconds,gco2_per_kwh
0,447.7
3600,399.55
7200,357.91
10800,325.6
14400,304.84
18000,297.04
21600,302.73
25200,321.52
28800,352.14
32400,392.49
36000,439.83
39600,490.92
43200,542.3
46800,590.45
50400,632.09
54000,664.4
57600,685.16
61200,692.96
64800,687.27
68400,668.48
72000,637.86
75600,597.51
79200,550.17
82800,499.08
86400,447.7
90000,399.55
93600,357.91
97200,325.6
100800,304.84
104400,297.04
108000,302.73
111600,321.52
115200,352.14
118800,392.49
122400,439.83
126000,490.92
129600,542.3
133200,590.45
136800,632.09
140400,664.4
144000,685.16
147600,692.96
151200,687.27
154800,668.48
158400,637.86
162000,597.51
165600,550.17
169200,499.08
172800,447.7
176400,399.55
180000,357.91
183600,325.6
187200,304.84
190800,297.04
194400,302.73
198000,321.52
201600,352.14
205200,392.49
208800,439.83
212400,490.92
216000,542.3
219600,590.45
223200,632.09
226800,664.4
230400,685.16
234000,692.96
237600,687.27
241200,668.48
244800,637.86
248400,597.51
252000,550.17
255600,499.08
259200,447.7
262800,399.55
266400,357.91
270000,325.6
273600,304.84
277200,297.04
280800,302.73
284400,321.52
288000,352.14
291600,392.49
295200,439.83
298800,490.92
302400,542.3
306000,590.45
309600,632.09
313200,664.4
316800,685.16
320400,692.96
324000,687.27
327600,668.48
331200,637.86
334800,597.51
338400,550.17
342000,499.08
345600,447.7
349200,399.55
352800,357.91
356400,325.6
360000,304.84
363600,297.04
367200,302.73
370800,321.52
374400,352.14
378000,392.49
381600,439.83
385200,490.92
388800,542.3
392400,590.45
396000,632.09
399600,664.4
403200,685.16
406800,692.96
410400,687.27
414000,668.48
417600,637.86
421200,597.51
424800,550.17
428400,499.08
432000,447.7
435600,399.55
439200,357.91
442800,325.6
446400,304.84
450000,297.04
453600,302.73
457200,321.52
460800,352.14
464400,392.49
468000,439.83
471600,490.92
475200,542.3
478800,590.45
482400,632.09
486000,664.4
489600,685.16
493200,692.96
496800,687.27
500400,668.48
504000,637.86
507600,597.51
511200,550.17
514800,499.08
518400,447.7
522000,399.55
525600,357.91
529200,325.6
532800,304.84
536400,297.04
540000,302.73
543600,321.52
547200,352.14
550800,392.49
554400,439.83
558000,490.92
561600,542.3
565200,590.45
568800,632.09
572400,664.4
576000,685.16
579600,692.96
583200,687.27
586800,668.48
590400,637.86
594000,597.51
597600,550.17
601200,499.08
604800,447.7
608400,399.55
612000,357.91
615600,325.6
619200,304.84
622800,297.04
626400,302.73
630000,321.52
633600,352.14
637200,392.49
640800,439.83
644400,490.92
648000,542.3
651600,590.45
655200,632.09
658800,664.4
662400,685.16
666000,692.96
669600,687.27
673200,668.48
676800,637.86
680400,597.51
684000,550.17
687600,499.08
691200,447.7
694800,399.55
698400,357.91
702000,325.6
705600,304.84
709200,297.04
712800,302.73
716400,321.52
720000,352.14
723600,392.49
727200,439.83
730800,490.92
734400,542.3
738000,590.45
741600,632.09
745200,664.4
748800,685.16
752400,692.96
756000,687.27
759600,668.48
763200,637.86
766800,597.51
770400,550.17
774000,499.08
777600,447.7
781200,399.55
784800,357.91
788400,325.6
792000,304.84
795600,297.04
799200,302.73
802800,321.52
806400,352.14
810000,392.49
813600,439.83
817200,490.92
820800,542.3
824400,590.45
828000,632.09
831600,664.4
835200,685.16
838800,692.96
842400,687.27
846000,668.48
849600,637.86
853200,597.51
856800,550.17
860400,499.08
864000,447.7
867600,399.55
871200,357.91
874800,325.6
878400,304.84
882000,297.04
885600,302.73
889200,321.52
892800,352.14
896400,392.49
900000,439.83
903600,490.92
907200,542.3
910800,590.45
914400,632.09
918000,664.4
921600,685.16
925200,692.96
928800,687.27
932400,668.48
936000,637.86
939600,597.51
943200,550.17
946800,499.08
950400,447.7
954000,399.55
957600,357.91
961200,325.6
964800,304.84
968400,297.04
972000,302.73
975600,321.52
979200,352.14
982800,392.49
986400,439.83
990000,490.92
993600,542.3
997200,590.45
1000800,632.09
1004400,664.4
1008000,685.16
1011600,692.96
1015200,687.27
1018800,668.48
1022400,637.86
1026000,597.51
1029600,550.17
1033200,499.08
1036800,447.7
1040400,399.55
1044000,357.91
1047600,325.6
1051200,304.84
1054800,297.04
1058400,302.73
1062000,321.52
1065600,352.14
1069200,392.49
1072800,439.83
1076400,490.92
1080000,542.3
1083600,590.45
1087200,632.09
1090800,664.4
1094400,685.16
1098000,692.96
1101600,687.27
1105200,668.48
1108800,637.86
1112400,597.51
1116000,550.17
1119600,499.08
1123200,447.7
1126800,399.55
1130400,357.91
1134000,325.6
1137600,304.84
1141200,297.04
1144800,302.73
1148400,321.52
1152000,352.14
1155600,392.49
1159200,439.83
1162800,490.92
1166400,542.3
1170000,590.45
1173600,632.09
1177200,664.4
1180800,685.16
1184400,692.96
1188000,687.27
1191600,668.48
1195200,637.86
1198800,597.51
1202400,550.17
1206000,499.08
1209600,447.7
1213200,399.55
1216800,357.91
1220400,325.6
1224000,304.84
1227600,297.04
1231200,302.73
1234800,321.52
1238400,352.14
1242000,392.49
1245600,439.83
1249200,490.92
1252800,542.3
1256400,590.45
1260000,632.09
1263600,664.4
1267200,685.16
1270800,692.96
1274400,687.27
1278000,668.48
1281600,637.86
1285200,597.51
1288800,550.17
1292400,499.08
1296000,447.7
1299600,399.55
1303200,357.91
1306800,325.6
1310400,304.84
1314000,297.04
1317600,302.73
1321200,321.52
1324800,352.14
1328400,392.49
1332000,439.83
1335600,490.92
1339200,542.3
1342800,590.45
1346400,632.09
1350000,664.4
1353600,685.16
1357200,692.96
1360800,687.27
1364400,668.48
1368000,637.86
1371600,597.51
1375200,550.17
1378800,499.08
1382400,447.7
1386000,399.55
1389600,357.91
1393200,325.6
1396800,304.84
1400400,297.04
1404000,302.73
1407600,321.52
1411200,352.14
1414800,392.49
1418400,439.83
1422000,490.92
1425600,542.3
1429200,590.45
1432800,632.09
1436400,664.4
1440000,685.16
1443600,692.96
1447200,687.27
1450800,668.48
1454400,637.86
1458000,597.51
1461600,550.17
1465200,499.08
1468800,447.7
1472400,399.55
1476000,357.91
1479600,325.6
1483200,304.84
1486800,297.04
1490400,302.73
1494000,321.52
1497600,352.14
1501200,392.49
1504800,439.83
1508400,490.92
1512000,542.3
1515600,590.45
1519200,632.09
1522800,664.4
1526400,685.16
1530000,692.96
1533600,687.27
1537200,668.48
1540800,637.86
1544400,597.51
1548000,550.17
1551600,499.08
1555200,447.7
1558800,399.55
1562400,357.91
1566000,325.6
1569600,304.84
1573200,297.04
1576800,302.73
1580400,321.52
1584000,352.14
1587600,392.49
1591200,439.83
1594800,490.92
1598400,542.3
1602000,590.45
1605600,632.09
1609200,664.4
1612800,685.16
1616400,692.96
1620000,687.27
1623600,668.48
1627200,637.86
1630800,597.51
1634400,550.17
1638000,499.08
1641600,447.7
1645200,399.55
1648800,357.91
1652400,325.6
1656000,304.84
1659600,297.04
1663200,302.73
1666800,321.52
1670400,352.14
1674000,392.49
1677600,439.83
1681200,490.92
1684800,542.3
1688400,590.45
1692000,632.09
1695600,664.4
1699200,685.16
1702800,692.96
1706400,687.27
1710000,668.48
1713600,637.86
1717200,597.51
1720800,550.17
1724400,499.08
1728000,447.7
1731600,399.55
1735200,357.91
1738800,325.6
1742400,304.84
1746000,297.04
1749600,302.73
1753200,321.52
1756800,352.14
