t_seconds,gco2_per_kwh
0,78.65
3600,82.71
7200,85.35
10800,86.37
14400,85.71
18000,83.42
21600,79.64
25200,74.64
28800,68.76
32400,62.4
36000,55.99
39600,49.97
43200,44.75
46800,40.69
50400,38.05
54000,37.03
57600,37.69
61200,39.98
64800,43.76
68400,48.76
72000,54.64
75600,61.0
79200,67.41
82800,73.43
86400,78.65
90000,82.71
93600,85.35
97200,86.37
100800,85.71
104400,83.42
108000,79.64
111600,74.64
115200,68.76
118800,62.4
122400,55.99
126000,49.97
129600,44.75
133200,40.69
136800,38.05
140400,37.03
144000,37.69
147600,39.98
151200,43.76
154800,48.76
158400,54.64
162000,61.0
165600,67.41
169200,73.43
172800,78.65
176400,82.71
180000,85.35
183600,86.37
187200,85.71
190800,83.42
194400,79.64
198000,74.64
201600,68.76
205200,62.4
208800,55.99
212400,49.97
216000,44.75
219600,40.69
223200,38.05
226800,37.03
230400,37.69
234000,39.98
237600,43.76
241200,48.76
244800,54.64
248400,61.0
252000,67.41
255600,73.43
259200,78.65
262800,82.71
266400,85.35
270000,86.37
273600,85.71
277200,83.42
280800,79.64
284400,74.64
288000,68.76
291600,62.4
295200,55.99
298800,49.97
302400,44.75
306000,40.69
309600,38.05
313200,37.03
316800,37.69
320400,39.98
324000,43.76
327600,48.76
331200,54.64
334800,61.0
338400,67.41
342000,73.43
345600,78.65
349200,82.71
352800,85.35
356400,86.37
360000,85.71
363600,83.42
367200,79.64
370800,74.64
374400,68.76
378000,62.4
381600,55.99
385200,49.97
388800,44.75
392400,40.69
396000,38.05
399600,37.03
403200,37.69
406800,39.98
410400,43.76
414000,48.76
417600,54.64
421200,61.0
424800,67.41
428400,73.43
432000,78.65
435600,82.71
439200,85.35
442800,86.37
446400,85.71
450000,83.42
453600,79.64
457200,74.64
460800,68.76
464400,62.4
468000,55.99
471600,49.97
475200,44.75
478800,40.69
482400,38.05
486000,37.03
489600,37.69
493200,39.98
496800,43.76
500400,48.76
504000,54.64
507600,61.0
511200,67.41
514800,73.43
518400,78.65
522000,82.71
525600,85.35
529200,86.37
532800,85.71
536400,83.42
540000,79.64
543600,74.64
547200,68.76
550800,62.4
554400,55.99
558000,49.97
561600,44.75
565200,40.69
568800,38.05
572400,37.03
576000,37.69
579600,39.98
583200,43.76
586800,48.76
590400,54.64
594000,61.0
