t_seconds,gco2_per_kwh
0,369.79
3600,403.66
7200,433.39
10800,456.94
14400,472.72
18000,479.64
21600,477.24
25200,465.67
28800,445.73
32400,418.78
36000,386.65
39600,351.53
43200,315.81
46800,281.94
50400,252.21
54000,228.66
57600,212.88
61200,205.96
64800,208.36
68400,219.93
72000,239.87
75600,266.82
79200,298.95
82800,334.07
86400,369.79
90000,403.66
93600,433.39
97200,456.94
100800,472.72
104400,479.64
108000,477.24
111600,465.67
115200,445.73
118800,418.78
122400,386.65
126000,351.53
129600,315.81
133200,281.94
136800,252.21
140400,228.66
144000,212.88
147600,205.96
151200,208.36
154800,219.93
158400,239.87
162000,266.82
165600,298.95
169200,334.07
172800,369.79
176400,403.66
180000,433.39
183600,456.94
187200,472.72
190800,479.64
194400,477.24
198000,465.67
201600,445.73
205200,418.78
208800,386.65
212400,351.53
216000,315.81
219600,281.94
223200,252.21
226800,228.66
230400,212.88
234000,205.96
237600,208.36
241200,219.93
244800,239.87
248400,266.82
252000,298.95
255600,334.07
259200,369.79
262800,403.66
266400,433.39
270000,456.94
273600,472.72
277200,479.64
280800,477.24
284400,465.67
288000,445.73
291600,418.78
295200,386.65
298800,351.53
302400,315.81
306000,281.94
309600,252.21
313200,228.66
316800,212.88
320400,205.96
324000,208.36
327600,219.93
331200,239.87
334800,266.82
338400,298.95
342000,334.07
345600,369.79
349200,403.66
352800,433.39
356400,456.94
360000,472.72
363600,479.64
367200,477.24
370800,465.67
374400,445.73
378000,418.78
381600,386.65
385200,351.53
388800,315.81
392400,281.94
396000,252.21
399600,228.66
403200,212.88
406800,205.96
410400,208.36
414000,219.93
417600,239.87
421200,266.82
424800,298.95
428400,334.07
432000,369.79
435600,403.66
439200,433.39
442800,456.94
446400,472.72
450000,479.64
453600,477.24
457200,465.67
460800,445.73
464400,418.78
468000,386.65
471600,351.53
475200,315.81
478800,281.94
482400,252.21
486000,228.66
489600,212.88
493200,205.96
496800,208.36
500400,219.93
504000,239.87
507600,266.82
511200,298.95
514800,334.07
518400,369.79
522000,403.66
525600,433.39
529200,456.94
532800,472.72
536400,479.64
540000,477.24
543600,465.67
547200,445.73
550800,418.78
554400,386.65
558000,351.53
561600,315.81
565200,281.94
568800,252.21
572400,228.66
576000,212.88
579600,205.96
583200,208.36
586800,219.93
590400,239.87
594000,266.82
597600,298.95
601200,334.07
604800,369.79
608400,403.66
612000,433.39
615600,456.94
619200,472.72
622800,479.64
626400,477.24
630000,465.67
633600,445.73
637200,418.78
640800,386.65
644400,351.53
648000,315.81
651600,281.94
655200,252.21
658800,228.66
662400,212.88
666000,205.96
669600,208.36
673200,219.93
676800,239.87
680400,266.82
684000,298.95
687600,334.07
691200,369.79
694800,403.66
698400,433.39
702000,456.94
705600,472.72
709200,479.64
712800,477.24
716400,465.67
720000,445.73
723600,418.78
727200,386.65
730800,351.53
734400,315.81
738000,281.94
741600,252.21
745200,228.66
748800,212.88
