celula	algoritmo	seed	migracao	cenario	inicio	fim	parede_s	cpu_usuario_s	cpu_sistema_s	pico_memoria_kb	codigo_saida	tentativas	trabalhador_pid	sha256_binario
az-anticorr-alta	best_fit	42	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T00:41:39-03:00	2026-08-07T00:42:05-03:00	25.73	25.36	0.30	106384	0	1	3964970	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	43	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T00:41:40-03:00	2026-08-07T00:41:53-03:00	12.84	12.49	0.29	109372	0	1	3964994	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	44	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T00:41:47-03:00	2026-08-07T00:42:13-03:00	26.06	25.65	0.36	109112	0	1	3965183	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	45	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T00:41:49-03:00	2026-08-07T00:42:06-03:00	16.46	16.16	0.27	107512	0	1	3965245	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	46	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T00:41:52-03:00	2026-08-07T00:42:19-03:00	27.16	26.63	0.37	107656	0	1	3965315	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	47	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T00:41:53-03:00	2026-08-07T00:42:13-03:00	20.86	20.49	0.35	107100	0	1	3965328	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	48	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T00:41:53-03:00	2026-08-07T00:42:14-03:00	21.32	20.98	0.32	108724	0	1	3965362	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	49	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T00:42:05-03:00	2026-08-07T00:42:33-03:00	28.25	27.86	0.33	108500	0	1	3965602	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	50	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T00:42:06-03:00	2026-08-07T00:42:29-03:00	22.92	22.58	0.33	107440	0	1	3965656	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	51	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T00:42:13-03:00	2026-08-07T00:42:32-03:00	19.45	19.06	0.31	107364	0	1	3965794	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
