celula	execucoes	parede_total_s	parede_mediana_s	parede_max_s	cpu_total_s	pico_memoria_max_kb	retentativas	falhas
az-anticorr-alta	110	20007.35	24.75	1448.01	19950.49	197756.0	0	0
az-anticorr-folgada	110	166.26	1.45	3.90	164.27	73516.0	0	0
az-flat-alta	110	5119.67	21.05	414.70	5104.10	127684.0	0	0
az-flat-folgada	110	160.17	1.42	2.74	157.69	58588.0	0	0
az-realjan-alta	110	30197.13	22.11	2265.75	30118.98	196160.0	0	0
az-realjan-folgada	110	164.10	1.44	2.96	162.15	73412.0	0	0
az-realjun-alta	110	28757.38	24.32	2091.37	28636.36	196384.0	0	0
az-realjun-folgada	110	210.23	1.94	3.13	208.05	71864.0	0	0
go-anticorr-alta	110	218530.99	23.78	17190.53	28456.73	157124.0	0	0
go-anticorr-folgada	110	147.81	1.26	3.81	145.60	50508.0	0	0
go-flat-alta	110	3817.11	20.73	289.90	3803.92	108912.0	0	0
go-flat-folgada	110	145.23	1.25	3.98	143.31	49104.0	0	0
go-realjan-alta	110	79054.17	23.15	18859.84	47256.74	164144.0	0	0
go-realjan-folgada	110	149.71	1.27	4.61	147.82	49504.0	0	0
go-realjun-alta	110	45054.46	21.95	3055.91	44929.26	164180.0	0	0
go-realjun-folgada	110	144.95	1.24	4.63	143.02	48776.0	0	0
