celula,algoritmo,seed,git_sha,total_kwh,total_gco2,total_migrations,total_mig_bytes,mean_active_hosts,final_sla_violations,total_unplaced_vms,algo_wall_total_us
geo3-az-realjun-folgada,best_fit,42,305e2b27726305e196eea090fabc312280b39e1f,45.2045934230061,13477.456662695542,0,0.0,132.20416666666668,0,0,839
geo3-az-realjun-folgada,best_fit,43,305e2b27726305e196eea090fabc312280b39e1f,45.20609536778272,13434.394264212697,0,0.0,134.85833333333332,0,0,794
geo3-az-realjun-folgada,best_fit,44,305e2b27726305e196eea090fabc312280b39e1f,45.04718475143858,13389.227103559268,0,0.0,133.04166666666666,0,0,789
geo3-az-realjun-folgada,best_fit,45,305e2b27726305e196eea090fabc312280b39e1f,45.13026237607043,13543.547385457194,0,0.0,132.3125,0,0,854
geo3-az-realjun-folgada,best_fit,46,305e2b27726305e196eea090fabc312280b39e1f,45.42921993881609,13526.914849223946,0,0.0,133.97083333333333,0,0,886
geo3-az-realjun-folgada,best_fit,47,305e2b27726305e196eea090fabc312280b39e1f,45.117549161177024,13436.755557691715,0,0.0,134.94583333333333,0,0,820
geo3-az-realjun-folgada,best_fit,48,305e2b27726305e196eea090fabc312280b39e1f,45.49698432915696,13538.097578130244,0,0.0,134.8875,0,0,737
geo3-az-realjun-folgada,best_fit,49,305e2b27726305e196eea090fabc312280b39e1f,45.11137450767599,13396.697459537987,0,0.0,133.76666666666668,0,0,1034
geo3-az-realjun-folgada,best_fit,50,305e2b27726305e196eea090fabc312280b39e1f,44.917914019012876,13342.841765129386,0,0.0,133.7625,0,0,1001
geo3-az-realjun-folgada,best_fit,51,305e2b27726305e196eea090fabc312280b39e1f,44.95427332619883,13310.883101339416,0,0.0,133.32083333333333,0,0,787
geo3-az-realjun-folgada,bfd,42,305e2b27726305e196eea090fabc312280b39e1f,48.51566151101347,14959.952217272796,0,0.0,135.39166666666668,0,0,1387
geo3-az-realjun-folgada,bfd,43,305e2b27726305e196eea090fabc312280b39e1f,47.738047156075815,14521.609164690468,0,0.0,135.45416666666668,0,0,1381
geo3-az-realjun-folgada,bfd,44,305e2b27726305e196eea090fabc312280b39e1f,47.700931516758175,14455.41766982914,0,0.0,135.875,0,0,1331
geo3-az-realjun-folgada,bfd,45,305e2b27726305e196eea090fabc312280b39e1f,47.81707291688489,14521.747146807456,0,0.0,136.3625,0,0,1045
geo3-az-realjun-folgada,bfd,46,305e2b27726305e196eea090fabc312280b39e1f,47.916492954240205,14628.765444575423,0,0.0,136.56666666666666,0,0,1025
geo3-az-realjun-folgada,bfd,47,305e2b27726305e196eea090fabc312280b39e1f,47.64218438877965,14571.163163736455,0,0.0,134.65833333333333,0,0,1572
geo3-az-realjun-folgada,bfd,48,305e2b27726305e196eea090fabc312280b39e1f,49.180770603791224,15111.275516514179,0,0.0,138.95,0,0,1244
geo3-az-realjun-folgada,bfd,49,305e2b27726305e196eea090fabc312280b39e1f,47.370579443699285,14294.52353136271,0,0.0,136.19166666666666,0,0,1000
geo3-az-realjun-folgada,bfd,50,305e2b27726305e196eea090fabc312280b39e1f,48.22505389838222,14734.271740109543,0,0.0,136.87083333333334,0,0,1266
geo3-az-realjun-folgada,bfd,51,305e2b27726305e196eea090fabc312280b39e1f,48.873492482619476,14974.152987571702,0,0.0,138.10833333333332,0,0,1428
geo3-az-realjun-folgada,cnemesis,42,305e2b27726305e196eea090fabc312280b39e1f,43.40424862434429,12775.626456807495,456,2945787.8426942825,117.67916666666666,452,0,7793
geo3-az-realjun-folgada,cnemesis,43,305e2b27726305e196eea090fabc312280b39e1f,41.9651792118825,12195.637475697404,458,2794417.669160843,112.40833333333333,362,0,7931
geo3-az-realjun-folgada,cnemesis,44,305e2b27726305e196eea090fabc312280b39e1f,42.46490192379484,12306.436704177086,460,2933091.416018486,115.2125,99,0,7816
geo3-az-realjun-folgada,cnemesis,45,305e2b27726305e196eea090fabc312280b39e1f,43.38731946365367,12892.10945574312,460,3067471.7951316833,117.40833333333333,1277,0,9328
geo3-az-realjun-folgada,cnemesis,46,305e2b27726305e196eea090fabc312280b39e1f,43.2250621972516,12756.378876747642,460,2944704.943546295,118.6375,754,0,9421
geo3-az-realjun-folgada,cnemesis,47,305e2b27726305e196eea090fabc312280b39e1f,43.122853467447186,12792.107217654591,459,2978631.4783325195,117.55833333333334,556,0,8863
geo3-az-realjun-folgada,cnemesis,48,305e2b27726305e196eea090fabc312280b39e1f,42.54326664762156,12530.2753983791,460,2867116.306347847,113.88333333333334,756,0,8376
