celula	algoritmo	seed	migracao	cenario	inicio	fim	parede_s	cpu_usuario_s	cpu_sistema_s	pico_memoria_kb	codigo_saida	tentativas	trabalhador_pid	sha256_binario
az-em2021-alta	best_fit	42	none	configs/scenarios/em2021/geo9_azure_em2021_alta.yaml	2026-08-07T09:26:28-03:00	2026-08-07T09:26:56-03:00	27.84	27.33	0.36	106404	0	1	139752	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-em2021-alta	best_fit	43	none	configs/scenarios/em2021/geo9_azure_em2021_alta.yaml	2026-08-07T09:26:28-03:00	2026-08-07T09:26:50-03:00	21.58	21.04	0.37	109492	0	1	139756	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-em2021-alta	best_fit	44	none	configs/scenarios/em2021/geo9_azure_em2021_alta.yaml	2026-08-07T09:26:28-03:00	2026-08-07T09:26:56-03:00	27.83	27.26	0.40	109104	0	1	139761	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-em2021-alta	best_fit	45	none	configs/scenarios/em2021/geo9_azure_em2021_alta.yaml	2026-08-07T09:26:28-03:00	2026-08-07T09:26:58-03:00	29.34	28.72	0.40	106824	0	1	139766	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-em2021-alta	best_fit	46	none	configs/scenarios/em2021/geo9_azure_em2021_alta.yaml	2026-08-07T09:26:49-03:00	2026-08-07T09:27:14-03:00	24.35	23.79	0.36	107716	0	1	140224	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-em2021-alta	best_fit	47	none	configs/scenarios/em2021/geo9_azure_em2021_alta.yaml	2026-08-07T09:26:50-03:00	2026-08-07T09:27:13-03:00	23.19	22.50	0.43	107124	0	1	140257	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-em2021-alta	best_fit	48	none	configs/scenarios/em2021/geo9_azure_em2021_alta.yaml	2026-08-07T09:26:51-03:00	2026-08-07T09:27:17-03:00	25.64	25.15	0.38	109020	0	1	140291	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-em2021-alta	best_fit	49	none	configs/scenarios/em2021/geo9_azure_em2021_alta.yaml	2026-08-07T09:26:52-03:00	2026-08-07T09:27:18-03:00	26.18	25.51	0.55	108476	0	1	140314	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-em2021-alta	best_fit	50	none	configs/scenarios/em2021/geo9_azure_em2021_alta.yaml	2026-08-07T09:26:52-03:00	2026-08-07T09:27:16-03:00	23.85	23.38	0.30	105620	0	1	140327	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-em2021-alta	best_fit	51	none	configs/scenarios/em2021/geo9_azure_em2021_alta.yaml	2026-08-07T09:26:53-03:00	2026-08-07T09:27:15-03:00	21.30	20.79	0.33	106932	0	1	140372	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-em2021-alta	bfd	42	none	configs/scenarios/em2021/geo9_azure_em2021_alta.yaml	2026-08-07T09:27:46-03:00	2026-08-07T09:28:09-03:00	22.94	22.42	0.34	104768	0	1	141845	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-em2021-alta	bfd	43	none	configs/scenarios/em2021/geo9_azure_em2021_alta.yaml	2026-08-07T09:27:46-03:00	2026-08-07T09:28:10-03:00	23.94	23.23	0.38	106708	0	1	141879	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-em2021-alta	bfd	44	none	configs/scenarios/em2021/geo9_azure_em2021_alta.yaml	2026-08-07T09:27:47-03:00	2026-08-07T09:28:12-03:00	24.22	23.65	0.36	106504	0	1	141902	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-em2021-alta	bfd	45	none	configs/scenarios/em2021/geo9_azure_em2021_alta.yaml	2026-08-07T09:27:48-03:00	2026-08-07T09:28:08-03:00	20.56	20.21	0.32	105956	0	1	141915	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
