celula,algoritmo,seed,git_sha,total_kwh,total_gco2,total_migrations,total_mig_bytes,mean_active_hosts,final_sla_violations,total_unplaced_vms,algo_wall_total_us,fonte_carbono
az-em2021-alta,best_fit,42,305e2b27726305e196eea090fabc312280b39e1f,144.4632879407688,66761.32338993465,0,0.0,413.7875,0,552,14121,em2021
az-em2021-alta,best_fit,43,305e2b27726305e196eea090fabc312280b39e1f,143.7372994071943,66438.2702468747,0,0.0,412.525,0,297,13244,em2021
az-em2021-alta,best_fit,44,305e2b27726305e196eea090fabc312280b39e1f,144.35683887886915,66669.64659684205,0,0.0,413.87916666666666,0,466,17080,em2021
az-em2021-alta,best_fit,45,305e2b27726305e196eea090fabc312280b39e1f,144.4111377734015,66769.67926383227,0,0.0,414.75,0,546,17071,em2021
az-em2021-alta,best_fit,46,305e2b27726305e196eea090fabc312280b39e1f,144.36917049068467,66729.80428103481,0,0.0,414.7291666666667,0,456,11683,em2021
az-em2021-alta,best_fit,47,305e2b27726305e196eea090fabc312280b39e1f,144.4285993305564,66791.98922134178,0,0.0,414.47083333333336,0,516,12614,em2021
az-em2021-alta,best_fit,48,305e2b27726305e196eea090fabc312280b39e1f,144.3712383519686,66618.02455249714,0,0.0,413.67083333333335,0,326,13837,em2021
az-em2021-alta,best_fit,49,305e2b27726305e196eea090fabc312280b39e1f,144.22563062455407,66668.9887765148,0,0.0,413.6,0,389,14135,em2021
az-em2021-alta,best_fit,50,305e2b27726305e196eea090fabc312280b39e1f,144.16522637689644,66530.90222169328,0,0.0,413.99583333333334,0,488,13018,em2021
az-em2021-alta,best_fit,51,305e2b27726305e196eea090fabc312280b39e1f,143.9413860831778,66546.38825457192,0,0.0,413.6125,0,445,15262,em2021
az-em2021-alta,bfd,42,305e2b27726305e196eea090fabc312280b39e1f,145.48183443655662,67148.15328020291,0,0.0,415.875,0,638,17097,em2021
az-em2021-alta,bfd,43,305e2b27726305e196eea090fabc312280b39e1f,144.796387129029,66906.79734704016,0,0.0,415.0541666666667,0,381,15949,em2021
az-em2021-alta,bfd,44,305e2b27726305e196eea090fabc312280b39e1f,145.3960881270956,67156.76481507043,0,0.0,416.2,0,524,18130,em2021
az-em2021-alta,bfd,45,305e2b27726305e196eea090fabc312280b39e1f,144.97813257509003,66941.0337333985,0,0.0,414.8875,0,619,17677,em2021
az-em2021-alta,bfd,46,305e2b27726305e196eea090fabc312280b39e1f,145.2199351181216,67117.05584746144,0,0.0,415.6666666666667,0,474,14584,em2021
az-em2021-alta,bfd,47,305e2b27726305e196eea090fabc312280b39e1f,145.03969608991392,66988.71343437034,0,0.0,415.3875,0,552,17498,em2021
az-em2021-alta,bfd,48,305e2b27726305e196eea090fabc312280b39e1f,145.69226956829286,67244.35749647781,0,0.0,416.59583333333336,0,450,14265,em2021
az-em2021-alta,bfd,49,305e2b27726305e196eea090fabc312280b39e1f,144.8201804264599,66910.76922050795,0,0.0,414.3958333333333,0,482,14521,em2021
az-em2021-alta,bfd,50,305e2b27726305e196eea090fabc312280b39e1f,145.0541840307812,66953.9822124046,0,0.0,415.8875,0,567,17882,em2021
az-em2021-alta,bfd,51,305e2b27726305e196eea090fabc312280b39e1f,144.59676831040298,66758.1033567915,0,0.0,414.65416666666664,0,496,20302,em2021
az-em2021-alta,cnemesis,42,305e2b27726305e196eea090fabc312280b39e1f,143.67776609909689,63539.43110358534,460,5721084.652043343,396.9625,12332,433,209790,em2021
