celula	decisions_jsonl	metrics_cientificas	resultado
az-realjun-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
az-realjun-alta	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
az-realjan-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
az-realjan-alta	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
az-flat-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
az-flat-alta	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
az-anticorr-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
az-anticorr-alta	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
go-realjun-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
go-realjun-alta	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
go-realjan-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
go-realjan-alta	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
go-flat-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
go-flat-alta	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
go-anticorr-folgada	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
go-anticorr-alta	identico_byte_a_byte	identicas_cols_1-10	DETERMINISTICO
