celula	algoritmo	seed	migracao	cenario	inicio	fim	parede_s	cpu_usuario_s	cpu_sistema_s	pico_memoria_kb	codigo_saida	tentativas	trabalhador_pid	sha256_binario
az-anticorr-alta	best_fit	52	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:37:52-03:00	2026-08-07T13:38:17-03:00	25.17	24.76	0.33	104352	0	1	488057	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	53	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:37:57-03:00	2026-08-07T13:38:21-03:00	23.94	23.53	0.32	107532	0	1	488181	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	54	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:37:58-03:00	2026-08-07T13:38:17-03:00	18.77	18.38	0.31	108604	0	1	488234	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	55	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:38:00-03:00	2026-08-07T13:38:17-03:00	16.74	16.46	0.26	107476	0	1	488278	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	56	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:38:08-03:00	2026-08-07T13:38:34-03:00	26.90	26.45	0.34	107884	0	1	488483	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	57	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:38:08-03:00	2026-08-07T13:38:28-03:00	20.45	20.04	0.35	107348	0	1	488496	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	58	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:38:10-03:00	2026-08-07T13:38:29-03:00	19.44	19.07	0.32	108332	0	1	488539	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	59	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:38:10-03:00	2026-08-07T13:38:26-03:00	15.94	15.54	0.31	107384	0	1	488552	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	60	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:38:17-03:00	2026-08-07T13:38:38-03:00	21.41	20.98	0.30	108748	0	1	488689	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	61	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:38:17-03:00	2026-08-07T13:38:39-03:00	22.53	22.08	0.32	106992	0	1	488705	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	62	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:38:17-03:00	2026-08-07T13:38:42-03:00	25.42	24.73	0.63	107564	0	1	488723	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	63	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:38:17-03:00	2026-08-07T13:38:40-03:00	23.04	22.61	0.31	107936	0	1	488736	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	best_fit	64	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:38:17-03:00	2026-08-07T13:38:32-03:00	14.69	14.34	0.31	107132	0	1	488767	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
